	Candida_tropicalis	Saccharomyces_cerevisiae
OG0001921	snap_masked-NW_003020055.1-processed-gene-8.58-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.58&CDS=1-2532	YGL216W
OG0001922	genemark-NW_003020055.1-processed-gene-8.126-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.126&CDS=1-2367	YBL061C
OG0001923	snap_masked-NW_003020055.1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.59&CDS=1-657	YER100W
OG0001924	snap_masked-NW_003020055.1-processed-gene-8.81-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.81&CDS=1-1518	YNL154C
OG0001925	genemark-NW_003020055.1-processed-gene-8.130-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.130&CDS=1-1467	YER078C
OG0001926	snap_masked-NW_003020055.1-processed-gene-8.86-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.86&CDS=1-465	YPR153W
OG0001927	augustus_masked-NW_003020055.1-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-8.23&CDS=1-2589	YGR135W
OG0001928	genemark-NW_003020055.1-processed-gene-8.113-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-8.113&CDS=1-2034	YDR295C
OG0001929	snap_masked-NW_003020055.1-processed-gene-8.66-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.66&CDS=1-1788	YDR294C
OG0001930	maker-NW_003020055.1-augustus-gene-8.0-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-8.0&CDS=1-1404	YDR352W
OG0001931	snap_masked-NW_003020055.1-processed-gene-8.87-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.87&CDS=1-1893	YOR129C
OG0001932	maker-NW_003020055.1-snap-gene-9.68-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-9.68&CDS=1-681	YDR381W
OG0001933	snap_masked-NW_003020055.1-processed-gene-9.74-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.74&CDS=1-1080	YDL237W
OG0001934	snap_masked-NW_003020055.1-processed-gene-9.83-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.83&CDS=1-942	YOR130C
OG0001935	maker-NW_003020055.1-snap-gene-9.69-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-9.69&CDS=1-426	YOL040C
OG0001936	genemark-NW_003020055.1-processed-gene-9.38-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-9.38&CDS=1-330	YDR382W
OG0001937	snap_masked-NW_003020055.1-processed-gene-9.75-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.75&CDS=1-1179	YDR192C
OG0001938	genemark-NW_003020055.1-processed-gene-9.40-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-9.40&CDS=1-759	YLR242C
OG0001939	genemark-NW_003020055.1-processed-gene-9.50-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-9.50&CDS=1-2532	YLR241W
OG0001940	snap_masked-NW_003020055.1-processed-gene-9.87-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.87&CDS=1-1857	YLR234W
OG0001941	snap_masked-NW_003020055.1-processed-gene-9.88-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.88&CDS=1-6183	YLR430W
OG0001942	snap_masked-NW_003020055.1-processed-gene-9.90-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.90&CDS=1-1065	YML067C
OG0001943	snap_masked-NW_003020055.1-processed-gene-9.78-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.78&CDS=1-1446	YML068W
OG0001944	snap_masked-NW_003020055.1-processed-gene-9.91-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.91&CDS=1-1794	YHR150W
OG0001945	snap_masked-NW_003020055.1-processed-gene-9.92-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.92&CDS=1-777	YLR150W
OG0001946	snap_masked-NW_003020055.1-processed-gene-9.93-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.93&CDS=1-5556	YDR170C
OG0001947	snap_masked-NW_003020055.1-processed-gene-9.94-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.94&CDS=1-5649	YPL231W
OG0001948	snap_masked-NW_003020055.1-processed-gene-9.79-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.79&CDS=1-1425	YLR403W
OG0001949	snap_masked-NW_003020055.1-processed-gene-9.81-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.81&CDS=1-1671	YLR133W
OG0001950	snap_masked-NW_003020055.1-processed-gene-9.82-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-9.82&CDS=1-1095	YDR142C
OG0001951	maker-NW_003020055.1-snap-gene-10.97-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-10.97&CDS=1-11637	YKR054C
OG0001952	snap_masked-NW_003020055.1-processed-gene-10.68-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.68&CDS=1-1383	YOR197W
OG0001953	snap_masked-NW_003020055.1-processed-gene-10.85-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.85&CDS=1-558	YCR027C
OG0001954	genemark-NW_003020055.1-processed-gene-10.35-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-10.35&CDS=1-2787	YDL031W
OG0001955	snap_masked-NW_003020055.1-processed-gene-10.87-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.87&CDS=1-1416	YOL123W
OG0001956	snap_masked-NW_003020055.1-processed-gene-10.71-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.71&CDS=1-1302	YOL124C
OG0001957	snap_masked-NW_003020055.1-processed-gene-10.72-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.72&CDS=1-987	YGR144W
OG0001958	snap_masked-NW_003020055.1-processed-gene-10.88-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.88&CDS=1-1569	YJR152W
OG0001959	genemark-NW_003020055.1-processed-gene-10.53-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-10.53&CDS=1-2754	YDL149W
OG0001960	snap_masked-NW_003020055.1-processed-gene-10.76-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.76&CDS=1-1323	YER061C
OG0001961	snap_masked-NW_003020055.1-processed-gene-10.78-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.78&CDS=1-1035	YOL073C
OG0001962	snap_masked-NW_003020055.1-processed-gene-10.92-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.92&CDS=1-552	YGR078C
OG0001963	snap_masked-NW_003020055.1-processed-gene-10.79-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.79&CDS=1-624	YGR232W
OG0001964	maker-NW_003020055.1-augustus-gene-10.62-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-10.62&CDS=1-3483	YOR056C
OG0001965	snap_masked-NW_003020055.1-processed-gene-10.96-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.96&CDS=1-354	YGL080W
OG0001966	snap_masked-NW_003020055.1-processed-gene-11.2-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.2&CDS=1-699	YPL193W
OG0001967	genemark-NW_003020055.1-processed-gene-11.75-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-11.75&CDS=1-1716	YMR013C
OG0001968	snap_masked-NW_003020055.1-processed-gene-11.22-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.22&CDS=1-3579	YJL074C
OG0001969	snap_masked-NW_003020055.1-processed-gene-11.24-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.24&CDS=1-495	YML077W
OG0001970	snap_masked-NW_003020055.1-processed-gene-11.26-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.26&CDS=1-1344	YDR030C
OG0001971	snap_masked-NW_003020055.1-processed-gene-11.8-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.8&CDS=1-1386	YDR023W
OG0001972	snap_masked-NW_003020055.1-processed-gene-11.27-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.27&CDS=1-1527	YPL214C
OG0001973	genemark-NW_003020055.1-processed-gene-11.98-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-11.98&CDS=1-377	YAL033W
OG0001974	augustus_masked-NW_003020055.1-processed-gene-11.49-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-11.49&CDS=1-2808	YGR047C
OG0001975	snap_masked-NW_003020055.1-processed-gene-11.16-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.16&CDS=1-489	YDL219W
OG0001976	genemark-NW_003020055.1-processed-gene-11.89-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-11.89&CDS=1-5184	YOR336W
OG0001977	snap_masked-NW_003020055.1-processed-gene-11.19-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.19&CDS=1-1827	YGL125W
OG0001978	snap_masked-NW_003020055.1-processed-gene-11.34-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.34&CDS=1-1404	YHR132C
OG0001979	snap_masked-NW_003020055.1-processed-gene-12.5-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.5&CDS=1-1584	YDL178W
OG0001980	snap_masked-NW_003020055.1-processed-gene-12.26-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.26&CDS=1-1362	YPL254W
OG0001981	genemark-NW_003020055.1-processed-gene-12.88-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-12.88&CDS=1-894	YLR208W
OG0001982	snap_masked-NW_003020055.1-processed-gene-12.30-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.30&CDS=1-921	YLR209C
OG0001983	augustus_masked-NW_003020055.1-processed-gene-12.69-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-12.69&CDS=1-1725	YJR122W
OG0001984	snap_masked-NW_003020055.1-processed-gene-12.19-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.19&CDS=1-423	YFR033C
OG0001985	snap_masked-NW_003020055.1-processed-gene-12.21-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.21&CDS=1-4935	YLL048C
OG0001986	maker-NW_003020055.1-snap-gene-12.2-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-12.2&CDS=1-4389	YDR044W
OG0001987	genemark-NW_003020055.1-processed-gene-12.99-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-12.99&CDS=1-4140	YML059C
OG0001988	genemark-NW_003020055.1-processed-gene-12.114-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-12.114&CDS=1-843	YML015C
OG0001989	snap_masked-NW_003020055.1-processed-gene-12.42-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.42&CDS=1-1041	YJL053W
OG0001990	snap_masked-NW_003020055.1-processed-gene-13.52-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.52&CDS=1-528	YER134C
OG0001991	snap_masked-NW_003020055.1-processed-gene-13.73-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.73&CDS=1-3294	YDL164C
OG0001992	snap_masked-NW_003020055.1-processed-gene-13.76-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.76&CDS=1-288	YMR286W
OG0001993	augustus_masked-NW_003020055.1-processed-gene-13.102-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-13.102&CDS=1-2562	YOR349W
OG0001994	snap_masked-NW_003020055.1-processed-gene-13.78-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.78&CDS=1-1362	YMR033W
OG0001995	snap_masked-NW_003020055.1-processed-gene-13.59-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.59&CDS=1-477	YBL059W
OG0001996	snap_masked-NW_003020055.1-processed-gene-13.60-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.60&CDS=1-2625	YDL056W
OG0001997	snap_masked-NW_003020055.1-processed-gene-13.81-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.81&CDS=1-1182	YNL092W
OG0001998	genemark-NW_003020055.1-processed-gene-13.19-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-13.19&CDS=1-2193	YDR320C
OG0001999	snap_masked-NW_003020055.1-processed-gene-13.64-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.64&CDS=1-243	YDR320C-A
OG0002000	snap_masked-NW_003020055.1-processed-gene-13.83-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.83&CDS=1-177	YHR072W-A
OG0002001	snap_masked-NW_003020055.1-processed-gene-13.66-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.66&CDS=1-1134	YGL148W
OG0002002	snap_masked-NW_003020055.1-processed-gene-13.84-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.84&CDS=1-1677	YLR103C
OG0002003	augustus_masked-NW_003020055.1-processed-gene-13.127-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-13.127&CDS=1-1788	YNR038W
OG0002004	augustus_masked-NW_003020055.1-processed-gene-13.113-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-13.113&CDS=1-273	YNR037C
OG0002005	snap_masked-NW_003020055.1-processed-gene-13.86-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.86&CDS=1-1206	YCR079W
OG0002006	snap_masked-NW_003020055.1-processed-gene-13.72-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.72&CDS=1-846	YKL154W
OG0002007	snap_masked-NW_003020055.1-processed-gene-14.85-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.85&CDS=1-990	YER133W
OG0002008	snap_masked-NW_003020055.1-processed-gene-14.83-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.83&CDS=1-588	YER128W
OG0002009	snap_masked-NW_003020055.1-processed-gene-14.86-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.86&CDS=1-1248	YLR027C
OG0002010	augustus_masked-NW_003020055.1-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-14.46&CDS=1-3198	YAL019W
OG0002011	snap_masked-NW_003020055.1-processed-gene-14.89-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.89&CDS=1-3975	YJR035W
OG0002012	snap_masked-NW_003020055.1-processed-gene-14.90-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.90&CDS=1-453	YHR191C
OG0002013	snap_masked-NW_003020055.1-processed-gene-14.114-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.114&CDS=1-1992	YDL057W
OG0002014	genemark-NW_003020055.1-processed-gene-14.7-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-14.7&CDS=1-699	YPL002C
OG0002015	snap_masked-NW_003020055.1-processed-gene-14.115-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.115&CDS=1-1242	YFL001W
OG0002016	genemark-NW_003020055.1-processed-gene-14.8-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-14.8&CDS=1-1800	YFL002C
OG0002017	snap_masked-NW_003020055.1-processed-gene-14.116-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.116&CDS=1-1548	YPL003W
OG0002018	genemark-NW_003020055.1-processed-gene-14.9-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-14.9&CDS=1-4641	YNL014W
OG0002019	snap_masked-NW_003020055.1-processed-gene-14.96-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.96&CDS=1-1464	YPL091W
OG0002020	snap_masked-NW_003020055.1-processed-gene-14.118-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.118&CDS=1-318	YLR147C
OG0002021	snap_masked-NW_003020055.1-processed-gene-14.98-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.98&CDS=1-1791	YLR253W
OG0002022	snap_masked-NW_003020055.1-processed-gene-14.119-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.119&CDS=1-450	YLR068W
OG0002023	maker-NW_003020055.1-snap-gene-14.78-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-14.78&CDS=1-393	YNL147W
OG0002024	snap_masked-NW_003020055.1-processed-gene-14.101-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.101&CDS=1-654	YHR128W
OG0002025	snap_masked-NW_003020055.1-processed-gene-14.102-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.102&CDS=1-516	YPR188C
OG0002026	snap_masked-NW_003020055.1-processed-gene-14.123-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.123&CDS=1-474	YPR187W
OG0002027	snap_masked-NW_003020055.1-processed-gene-14.124-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.124&CDS=1-1122	YPR191W
OG0002028	snap_masked-NW_003020055.1-processed-gene-14.109-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.109&CDS=1-957	YNL289W
OG0002029	snap_masked-NW_003020055.1-processed-gene-14.111-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-14.111&CDS=1-288	YDL045W-A
OG0002030	snap_masked-NW_003020055.1-processed-gene-15.81-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.81&CDS=1-1494	YDR257C
OG0002031	snap_masked-NW_003020055.1-processed-gene-15.101-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.101&CDS=1-684	YIL139C
OG0002032	snap_masked-NW_003020055.1-processed-gene-15.103-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.103&CDS=1-2871	YOR160W
OG0002033	snap_masked-NW_003020055.1-processed-gene-15.104-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.104&CDS=1-3891	YNL273W
OG0002034	genemark-NW_003020055.1-processed-gene-15.43-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-15.43&CDS=1-864	YMR178W
OG0002035	snap_masked-NW_003020055.1-processed-gene-15.105-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.105&CDS=1-1665	YDR026C
OG0002036	maker-NW_003020055.1-snap-gene-15.37-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-15.37&CDS=1-1611	YNR053C
OG0002037	snap_masked-NW_003020055.1-processed-gene-15.107-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.107&CDS=1-1566	YNR052C
OG0002038	snap_masked-NW_003020055.1-processed-gene-15.108-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.108&CDS=1-1188	YCR094W
OG0002039	snap_masked-NW_003020055.1-processed-gene-15.92-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.92&CDS=1-2880	YOR335C
OG0002040	snap_masked-NW_003020055.1-processed-gene-15.109-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.109&CDS=1-1425	YHL004W
OG0002041	snap_masked-NW_003020055.1-processed-gene-15.110-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.110&CDS=1-666	YKL117W
OG0002042	snap_masked-NW_003020055.1-processed-gene-15.111-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.111&CDS=1-2814	YNL325C
OG0002043	snap_masked-NW_003020055.1-processed-gene-15.93-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.93&CDS=1-1416	YOL119C
OG0002044	snap_masked-NW_003020055.1-processed-gene-15.115-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.115&CDS=1-1122	YER107C
OG0002045	snap_masked-NW_003020055.1-processed-gene-15.118-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.118&CDS=1-1035	YER120W
OG0002046	snap_masked-NW_003020055.1-processed-gene-15.119-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.119&CDS=1-1296	YBL091C
OG0002047	snap_masked-NW_003020055.1-processed-gene-15.98-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.98&CDS=1-1383	YGL065C
OG0002048	snap_masked-NW_003020055.1-processed-gene-16.6-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.6&CDS=1-1422	YBL082C
OG0002049	snap_masked-NW_003020055.1-processed-gene-16.7-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.7&CDS=1-1863	YOL144W
OG0002050	snap_masked-NW_003020055.1-processed-gene-16.8-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.8&CDS=1-693	YOL147C
OG0002051	maker-NW_003020055.1-snap-gene-16.0-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-16.0&CDS=1-1413	YNR051C
OG0002052	snap_masked-NW_003020055.1-processed-gene-16.30-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.30&CDS=1-660	YDR177W
OG0002053	snap_masked-NW_003020055.1-processed-gene-16.31-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.31&CDS=1-6639	YCR093W
OG0002054	genemark-NW_003020055.1-processed-gene-16.62-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-16.62&CDS=1-687	YMR132C
OG0002055	snap_masked-NW_003020055.1-processed-gene-16.32-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.32&CDS=1-249	YLR038C
OG0002056	genemark-NW_003020055.1-processed-gene-16.63-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-16.63&CDS=1-1227	YFL030W
OG0002057	genemark-NW_003020055.1-processed-gene-16.64-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-16.64&CDS=1-2232	YMR301C
OG0002058	snap_masked-NW_003020055.1-processed-gene-16.35-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.35&CDS=1-2670	YIL137C
OG0002059	snap_masked-NW_003020055.1-processed-gene-16.13-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.13&CDS=1-1452	YDR531W
OG0002060	snap_masked-NW_003020055.1-processed-gene-16.14-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.14&CDS=1-1500	YPL112C
OG0002061	genemark-NW_003020055.1-processed-gene-16.86-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-16.86&CDS=1-1176	YGR012W
OG0002062	genemark-NW_003020055.1-processed-gene-16.69-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-16.69&CDS=1-804	YLL027W
OG0002063	snap_masked-NW_003020055.1-processed-gene-16.18-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.18&CDS=1-1038	YMR315W
OG0002064	snap_masked-NW_003020055.1-processed-gene-16.40-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.40&CDS=1-1002	YDR498C
OG0002065	snap_masked-NW_003020055.1-processed-gene-16.19-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.19&CDS=1-1497	YMR285C
OG0002066	snap_masked-NW_003020055.1-processed-gene-16.41-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.41&CDS=1-834	YIL106W
OG0002067	snap_masked-NW_003020055.1-processed-gene-16.20-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.20&CDS=1-2523	YPL190C
OG0002068	snap_masked-NW_003020055.1-processed-gene-16.42-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.42&CDS=1-1578	YDR168W
OG0002069	snap_masked-NW_003020055.1-processed-gene-16.44-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.44&CDS=1-2445	YML097C
OG0002070	snap_masked-NW_003020055.1-processed-gene-16.45-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.45&CDS=1-1113	YKR088C
OG0002071	maker-NW_003020055.1-snap-gene-16.1-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-16.1&CDS=1-1302	YOR008C
OG0002072	snap_masked-NW_003020055.1-processed-gene-16.47-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.47&CDS=1-1734	YPL184C
OG0002073	genemark-NW_003020055.1-processed-gene-16.75-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-16.75&CDS=1-8487	YBL088C
OG0002074	snap_masked-NW_003020055.1-processed-gene-16.25-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-16.25&CDS=1-1182	YDR019C
OG0002075	snap_masked-NW_003020055.1-processed-gene-17.93-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.93&CDS=1-1890	YPL210C
OG0002076	snap_masked-NW_003020055.1-processed-gene-17.91-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.91&CDS=1-981	YPL215W
OG0002077	snap_masked-NW_003020055.1-processed-gene-17.92-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.92&CDS=1-738	YAL032C
OG0002078	snap_masked-NW_003020055.1-processed-gene-17.118-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.118&CDS=1-1164	YPL206C
OG0002079	snap_masked-NW_003020055.1-processed-gene-17.119-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.119&CDS=1-1344	YGL067W
