	Lipomyces_starkeyi	Saccharomyces_cerevisiae
OG0001966	maker-scaffold_3-snap-gene-9.146-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.146&CDS=1-3630	YGL251C
OG0001967	maker-scaffold_3-augustus-gene-9.38-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.38&CDS=1-843	YKL110C
OG0001968	augustus_masked-scaffold_3-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.121&CDS=1-864	YPL199C
OG0001969	genemark-scaffold_3-processed-gene-9.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.11&CDS=1-1389	YLR212C
OG0001970	maker-scaffold_3-augustus-gene-9.50-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.50&CDS=1-438	YOR052C
OG0001971	maker-scaffold_3-augustus-gene-9.51-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.51&CDS=1-432	YOR224C
OG0001972	genemark-scaffold_3-processed-gene-9.13-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.13&CDS=1-5895	YDR170C
OG0001973	genemark-scaffold_3-processed-gene-9.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.14&CDS=1-2526	YNL313C
OG0001974	maker-scaffold_3-augustus-gene-9.52-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.52&CDS=1-762	YLL023C
OG0001975	augustus_masked-scaffold_3-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.112&CDS=1-789	YLR285W
OG0001976	maker-scaffold_3-augustus-gene-9.53-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.53&CDS=1-1890	YLR286C
OG0001977	augustus_masked-scaffold_3-processed-gene-9.128-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.128&CDS=1-2094	YNL278W
OG0001978	augustus_masked-scaffold_3-processed-gene-9.129-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.129&CDS=1-603	YBR171W
OG0001979	augustus_masked-scaffold_3-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.113&CDS=1-1494	YBR170C
OG0001980	augustus_masked-scaffold_3-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.130&CDS=1-711	YBR252W
OG0001981	augustus_masked-scaffold_3-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.117&CDS=1-588	YBL107C
OG0001982	maker-scaffold_3-snap-gene-9.141-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.141&CDS=1-3351	YML002W
OG0001983	maker-scaffold_3-augustus-gene-10.80-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.80&CDS=1-1035	YOR007C
OG0001984	augustus_masked-scaffold_3-processed-gene-10.135-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.135&CDS=1-867	YDR428C
OG0001985	maker-scaffold_3-augustus-gene-10.96-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.96&CDS=1-1047	YJL167W
OG0001986	augustus_masked-scaffold_3-processed-gene-10.137-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.137&CDS=1-1935	YKL022C
OG0001987	maker-scaffold_3-augustus-gene-10.82-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.82&CDS=1-1440	YDL167C
OG0001988	maker-scaffold_3-augustus-gene-10.99-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.99&CDS=1-2193	YDR325W
OG0001989	maker-scaffold_3-augustus-gene-10.100-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.100&CDS=1-3264	YLR389C
OG0001990	maker-scaffold_3-augustus-gene-10.84-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.84&CDS=1-1629	YOR002W
OG0001991	maker-scaffold_3-augustus-gene-10.101-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.101&CDS=1-240	YLL009C
OG0001992	maker-scaffold_3-augustus-gene-10.85-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.85&CDS=1-1254	YMR235C
OG0001993	maker-scaffold_3-snap-gene-10.112-mRNA-1_1&gene=maker-scaffold_3-snap-gene-10.112&CDS=1-741	YPL162C
OG0001994	genemark-scaffold_3-processed-gene-10.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.9&CDS=1-1425	YHR183W
OG0001995	augustus_masked-scaffold_3-processed-gene-10.163-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.163&CDS=1-672	YBL102W
OG0001996	augustus_masked-scaffold_3-processed-gene-10.145-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.145&CDS=1-1305	YOL067C
OG0001997	augustus_masked-scaffold_3-processed-gene-10.164-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.164&CDS=1-714	YDR152W
OG0001998	maker-scaffold_3-augustus-gene-10.89-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.89&CDS=1-1071	YDR161W
OG0001999	maker-scaffold_3-augustus-gene-10.90-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.90&CDS=1-2058	YOL070C
OG0002000	augustus_masked-scaffold_3-processed-gene-10.166-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.166&CDS=1-2790	YFR002W
OG0002001	augustus_masked-scaffold_3-processed-gene-10.151-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.151&CDS=1-1551	YFR051C
OG0002002	maker-scaffold_3-augustus-gene-11.101-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.101&CDS=1-1878	YJL025W
OG0002003	maker-scaffold_3-augustus-gene-11.102-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.102&CDS=1-3540	YKL101W
OG0002004	augustus_masked-scaffold_3-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.53&CDS=1-1248	YHR071W
OG0002005	maker-scaffold_3-augustus-gene-11.93-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.93&CDS=1-1551	YHR166C
OG0002006	augustus_masked-scaffold_3-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.56&CDS=1-1842	YAR018C
OG0002007	maker-scaffold_3-augustus-gene-11.98-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.98&CDS=1-1119	YMR226C
OG0002008	augustus_masked-scaffold_3-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.61&CDS=1-1947	YBR121C
OG0002009	augustus_masked-scaffold_3-processed-gene-11.47-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.47&CDS=1-927	YHR088W
OG0002010	maker-scaffold_3-augustus-gene-11.106-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.106&CDS=1-2946	YOL145C
OG0002011	augustus_masked-scaffold_3-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.48&CDS=1-1899	YBL037W
OG0002012	augustus_masked-scaffold_3-processed-gene-11.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.63&CDS=1-753	YBL036C
OG0002013	maker-scaffold_3-augustus-gene-11.100-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.100&CDS=1-2598	YBL023C
OG0002014	maker-scaffold_3-augustus-gene-11.108-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.108&CDS=1-786	YDR005C
OG0002015	maker-scaffold_3-augustus-gene-12.36-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.36&CDS=1-2895	YPR019W
OG0002016	genemark-scaffold_3-processed-gene-12.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.1&CDS=1-4320	YOR116C
OG0002017	maker-scaffold_3-augustus-gene-12.38-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.38&CDS=1-2547	YFL042C
OG0002018	augustus_masked-scaffold_3-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.96&CDS=1-1464	YKL211C
OG0002019	maker-scaffold_3-augustus-gene-12.50-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.50&CDS=1-726	YNL168C
OG0002020	maker-scaffold_3-augustus-gene-12.51-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.51&CDS=1-3207	YEL055C
OG0002021	augustus_masked-scaffold_3-processed-gene-12.99-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.99&CDS=1-909	YPL069C
OG0002022	maker-scaffold_3-augustus-gene-12.52-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.52&CDS=1-1191	YGL048C
OG0002023	maker-scaffold_3-augustus-gene-12.40-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.40&CDS=1-1515	YLR097C
OG0002024	maker-scaffold_3-augustus-gene-12.53-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.53&CDS=1-3240	YNL321W
OG0002025	augustus_masked-scaffold_3-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.117&CDS=1-693	YDR007W
OG0002026	augustus_masked-scaffold_3-processed-gene-12.103-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.103&CDS=1-2919	YML103C
OG0002027	augustus_masked-scaffold_3-processed-gene-12.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.118&CDS=1-1125	YLR100W
OG0002028	augustus_masked-scaffold_3-processed-gene-12.119-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.119&CDS=1-1080	YGL211W
OG0002029	augustus_masked-scaffold_3-processed-gene-12.104-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.104&CDS=1-1242	YNL097C
OG0002030	maker-scaffold_3-augustus-gene-12.45-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.45&CDS=1-1509	YEL036C
OG0002031	augustus_masked-scaffold_3-processed-gene-12.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.107&CDS=1-1902	YHL027W
OG0002032	augustus_masked-scaffold_3-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.121&CDS=1-2616	YPR029C
OG0002033	maker-scaffold_3-augustus-gene-12.55-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.55&CDS=1-828	YLR403W
OG0002034	augustus_masked-scaffold_3-processed-gene-12.125-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.125&CDS=1-1215	YDR282C
OG0002035	genemark-scaffold_3-processed-gene-13.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-13.1&CDS=1-363	YJR034W
OG0002036	maker-scaffold_3-augustus-gene-13.89-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.89&CDS=1-546	YGL127C
OG0002037	augustus_masked-scaffold_3-processed-gene-13.102-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.102&CDS=1-1008	YGL126W
OG0002038	maker-scaffold_3-augustus-gene-13.78-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.78&CDS=1-5454	YCR093W
OG0002039	augustus_masked-scaffold_3-processed-gene-13.121-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.121&CDS=1-2313	YPL207W
OG0002040	augustus_masked-scaffold_3-processed-gene-13.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.107&CDS=1-858	YDL045C
OG0002041	snap_masked-scaffold_3-processed-gene-13.46-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.46&CDS=1-3807	YHR023W
OG0002042	augustus_masked-scaffold_3-processed-gene-13.123-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.123&CDS=1-2058	YKL140W
OG0002043	maker-scaffold_3-augustus-gene-13.93-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.93&CDS=1-972	YLR354C
OG0002044	augustus_masked-scaffold_3-processed-gene-13.130-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.130&CDS=1-1959	YPL029W
OG0002045	augustus_masked-scaffold_3-processed-gene-13.112-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.112&CDS=1-2088	YDR164C
OG0002046	maker-scaffold_3-augustus-gene-13.97-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.97&CDS=1-828	YNL312W
OG0002047	maker-scaffold_3-augustus-gene-13.84-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.84&CDS=1-2919	YDL031W
OG0002048	genemark-scaffold_3-processed-gene-13.16-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-13.16&CDS=1-1617	YOR244W
OG0002049	maker-scaffold_3-augustus-gene-13.98-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.98&CDS=1-3081	YKL210W
OG0002050	maker-scaffold_3-augustus-gene-13.86-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.86&CDS=1-1398	YGR158C
OG0002051	augustus_masked-scaffold_3-processed-gene-13.134-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.134&CDS=1-1152	YGR157W
OG0002052	maker-scaffold_3-augustus-gene-13.99-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.99&CDS=1-666	YJR073C
OG0002053	snap_masked-scaffold_3-processed-gene-13.57-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.57&CDS=1-969	YGR001C
OG0002054	maker-scaffold_3-snap-gene-14.145-mRNA-1_1&gene=maker-scaffold_3-snap-gene-14.145&CDS=1-1713	YCR061W
OG0002055	augustus_masked-scaffold_3-processed-gene-14.100-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.100&CDS=1-810	YKR062W
OG0002056	maker-scaffold_3-augustus-gene-14.0-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-14.0&CDS=1-591	YKL196C
OG0002057	maker-scaffold_3-augustus-gene-14.1-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-14.1&CDS=1-1287	YLR085C
OG0002058	augustus_masked-scaffold_3-processed-gene-14.108-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.108&CDS=1-312	YDR510W
OG0002059	augustus_masked-scaffold_3-processed-gene-14.124-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.124&CDS=1-1941	YJR001W
OG0002060	augustus_masked-scaffold_3-processed-gene-14.125-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.125&CDS=1-261	YMR194C-B
OG0002061	maker-scaffold_3-augustus-gene-14.16-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-14.16&CDS=1-3873	YGL006W
OG0002062	maker-scaffold_3-augustus-gene-14.9-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-14.9&CDS=1-1326	YOR274W
OG0002063	augustus_masked-scaffold_3-processed-gene-14.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.118&CDS=1-2142	YDL234C
OG0002064	augustus_masked-scaffold_3-processed-gene-15.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.31&CDS=1-1617	YOR037W
OG0002065	maker-scaffold_3-augustus-gene-15.105-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.105&CDS=1-1599	YMR023C
OG0002066	augustus_masked-scaffold_3-processed-gene-15.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.35&CDS=1-1251	YHR208W
OG0002067	maker-scaffold_3-augustus-gene-15.108-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.108&CDS=1-1188	YKL080W
OG0002068	maker-scaffold_3-augustus-gene-15.118-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.118&CDS=1-2580	YGL083W
OG0002069	maker-scaffold_3-augustus-gene-15.109-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.109&CDS=1-3813	YDR407C
OG0002070	maker-scaffold_3-augustus-gene-15.119-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.119&CDS=1-408	YJR044C
OG0002071	snap_masked-scaffold_3-processed-gene-15.136-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.136&CDS=1-1368	YPR036W
OG0002072	augustus_masked-scaffold_3-processed-gene-15.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.40&CDS=1-1005	YDL119C
OG0002073	maker-scaffold_3-augustus-gene-15.120-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.120&CDS=1-1737	YER087W
OG0002074	augustus_masked-scaffold_3-processed-gene-15.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.41&CDS=1-5100	YPL085W
OG0002075	maker-scaffold_3-snap-gene-15.20-mRNA-1_1&gene=maker-scaffold_3-snap-gene-15.20&CDS=1-606	YDR013W
OG0002076	genemark-scaffold_3-processed-gene-15.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-15.96&CDS=1-3267	YIL048W
OG0002077	maker-scaffold_4-augustus-gene-1.62-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.62&CDS=1-1281	YKL221W
OG0002078	maker-scaffold_4-augustus-gene-1.70-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.70&CDS=1-2601	YLR347C
OG0002079	augustus_masked-scaffold_4-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.17&CDS=1-408	YNL147W
OG0002080	maker-scaffold_4-augustus-gene-1.71-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.71&CDS=1-2121	YKL025C
OG0002081	maker-scaffold_4-snap-gene-1.41-mRNA-1_1&gene=maker-scaffold_4-snap-gene-1.41&CDS=1-2169	YDR118W
OG0002082	maker-scaffold_4-augustus-gene-2.94-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.94&CDS=1-1563	YDL091C
OG0002083	maker-scaffold_4-augustus-gene-2.95-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.95&CDS=1-2547	YLR001C
OG0002084	maker-scaffold_4-augustus-gene-2.104-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.104&CDS=1-687	YDR262W
OG0002085	augustus_masked-scaffold_4-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.161&CDS=1-2304	YKL125W
OG0002086	maker-scaffold_4-augustus-gene-2.105-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.105&CDS=1-2526	YHR102W
OG0002087	augustus_masked-scaffold_4-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.163&CDS=1-1110	YCL018W
OG0002088	augustus_masked-scaffold_4-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.151&CDS=1-2460	YML093W
OG0002089	snap_masked-scaffold_4-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.18&CDS=1-2409	YOR168W
OG0002090	augustus_masked-scaffold_4-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.154&CDS=1-3669	YML049C
OG0002091	maker-scaffold_4-augustus-gene-2.98-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.98&CDS=1-1491	YLR033W
OG0002092	snap_masked-scaffold_4-processed-gene-2.21-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.21&CDS=1-1233	YMR166C
OG0002093	maker-scaffold_4-augustus-gene-2.107-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.107&CDS=1-2187	YDR484W
OG0002094	maker-scaffold_4-augustus-gene-2.109-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.109&CDS=1-2157	YIL144W
OG0002095	maker-scaffold_4-snap-gene-2.134-mRNA-1_1&gene=maker-scaffold_4-snap-gene-2.134&CDS=1-1572	YBL080C
OG0002096	augustus_masked-scaffold_4-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.173&CDS=1-657	YGL240W
OG0002097	maker-scaffold_4-augustus-gene-2.112-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.112&CDS=1-2352	YLR035C
OG0002098	augustus_masked-scaffold_4-processed-gene-2.176-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.176&CDS=1-1524	YLR004C
OG0002099	maker-scaffold_4-augustus-gene-3.33-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.33&CDS=1-5544	YNL172W
OG0002100	snap_masked-scaffold_4-processed-gene-3.60-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.60&CDS=1-2790	YMR061W
OG0002101	augustus_masked-scaffold_4-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.120&CDS=1-1407	YLR058C
OG0002102	maker-scaffold_4-snap-gene-3.133-mRNA-1_1&gene=maker-scaffold_4-snap-gene-3.133&CDS=1-1446	YPR001W
OG0002103	maker-scaffold_4-snap-gene-3.136-mRNA-1_1&gene=maker-scaffold_4-snap-gene-3.136&CDS=1-2982	YIL125W
OG0002104	maker-scaffold_4-augustus-gene-3.47-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.47&CDS=1-2829	YIL109C
OG0002105	augustus_masked-scaffold_4-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.106&CDS=1-570	YGR029W
OG0002106	genemark-scaffold_4-processed-gene-3.9-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.9&CDS=1-1158	YBL016W
OG0002107	maker-scaffold_4-snap-gene-3.151-mRNA-1_1&gene=maker-scaffold_4-snap-gene-3.151&CDS=1-2772	YML123C
OG0002108	maker-scaffold_4-augustus-gene-3.38-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.38&CDS=1-315	YGR230W
OG0002109	maker-scaffold_4-augustus-gene-3.49-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.49&CDS=1-2658	YOR138C
OG0002110	genemark-scaffold_4-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.12&CDS=1-2790	YOR022C
OG0002111	maker-scaffold_4-augustus-gene-3.39-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.39&CDS=1-1038	YMR315W
OG0002112	maker-scaffold_4-augustus-gene-3.50-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.50&CDS=1-951	YPL237W
OG0002113	augustus_masked-scaffold_4-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.126&CDS=1-762	YIL020C
OG0002114	snap_masked-scaffold_4-processed-gene-3.77-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.77&CDS=1-1083	YIL019W
OG0002115	maker-scaffold_4-augustus-gene-3.54-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.54&CDS=1-1182	YEL037C
OG0002116	snap_masked-scaffold_4-processed-gene-3.78-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.78&CDS=1-2373	YJL168C
OG0002117	maker-scaffold_4-augustus-gene-3.43-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.43&CDS=1-717	YEL038W
OG0002118	maker-scaffold_4-augustus-gene-3.55-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.55&CDS=1-735	YPR016C
OG0002119	maker-scaffold_4-augustus-gene-4.101-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.101&CDS=1-1221	YKL178C
OG0002120	augustus_masked-scaffold_4-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.43&CDS=1-438	YCR028C-A
OG0002121	maker-scaffold_4-augustus-gene-4.102-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.102&CDS=1-1296	YOR303W
OG0002122	augustus_masked-scaffold_4-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.44&CDS=1-762	YOR278W
OG0002123	augustus_masked-scaffold_4-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.45&CDS=1-1167	YAL042W
OG0002124	maker-scaffold_4-augustus-gene-4.112-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.112&CDS=1-1089	YPL236C
OG0002125	snap_masked-scaffold_4-processed-gene-4.150-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.150&CDS=1-2430	YJR143C
OG0002126	maker-scaffold_4-augustus-gene-4.104-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.104&CDS=1-1545	YPR178W
OG0002127	maker-scaffold_4-augustus-gene-4.114-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.114&CDS=1-1161	YDR322C-A
OG0002128	maker-scaffold_4-augustus-gene-4.115-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.115&CDS=1-1467	YBL054W
OG0002129	maker-scaffold_4-augustus-gene-4.116-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.116&CDS=1-2229	YAL043C
OG0002130	augustus_masked-scaffold_4-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.47&CDS=1-2631	YLR071C
OG0002131	maker-scaffold_4-augustus-gene-4.117-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.117&CDS=1-2418	YLL001W
OG0002132	snap_masked-scaffold_4-processed-gene-4.159-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.159&CDS=1-1458	YJL002C
OG0002133	augustus_masked-scaffold_4-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.51&CDS=1-3072	YMR288W
OG0002134	genemark-scaffold_4-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.30&CDS=1-1380	YHL021C
OG0002135	snap_masked-scaffold_4-processed-gene-4.161-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.161&CDS=1-1269	YPL254W
OG0002136	maker-scaffold_4-augustus-gene-4.121-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.121&CDS=1-1659	YBR248C
OG0002137	augustus_masked-scaffold_4-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.71&CDS=1-1008	YOR085W
OG0002138	maker-scaffold_4-augustus-gene-4.122-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.122&CDS=1-3603	YJR109C
OG0002139	augustus_masked-scaffold_4-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.56&CDS=1-1857	YIL154C
OG0002140	augustus_masked-scaffold_4-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.75&CDS=1-1053	YER127W
OG0002141	maker-scaffold_4-augustus-gene-4.109-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.109&CDS=1-1872	YDR311W
