	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
OG0002387	YKL172W	snap_masked-scaffold_3-processed-gene-6.106-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.106&CDS=1-1149
OG0002388	YKL173W	snap_masked-scaffold_7-processed-gene-4.142-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.142&CDS=1-2895
OG0002389	YKL174C	snap_masked-scaffold_7-processed-gene-4.171-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.171&CDS=1-1779
OG0002390	YKL175W	snap_masked-scaffold_7-processed-gene-4.141-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.141&CDS=1-1491
OG0002391	YKL176C	snap_masked-scaffold_7-processed-gene-4.170-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.170&CDS=1-2310
OG0002392	YKL178C	snap_masked-scaffold_7-processed-gene-4.166-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.166&CDS=1-1401
OG0002393	YKL179C	snap_masked-scaffold_7-processed-gene-4.137-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.137&CDS=1-1911
OG0002394	YKL181W	snap_masked-scaffold_5-processed-gene-2.0-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.0&CDS=1-1284
OG0002395	YKL182W	snap_masked-scaffold_5-processed-gene-1.29-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.29&CDS=1-6153
OG0002396	YKL183W	snap_masked-scaffold_5-processed-gene-1.28-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.28&CDS=1-663
OG0002397	YKL184W	snap_masked-scaffold_5-processed-gene-1.27-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.27&CDS=1-1332
OG0002398	YKL185W	snap_masked-scaffold_5-processed-gene-1.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.26&CDS=1-1527
OG0002399	YKL186C	snap_masked-scaffold_5-processed-gene-1.50-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.50&CDS=1-540
OG0002400	YKL188C	snap_masked-scaffold_5-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.48&CDS=1-2478
OG0002401	YKL189W	augustus_masked-scaffold_6-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.48&CDS=1-2091
OG0002402	YKL190W	maker-scaffold_8-augustus-gene-2.0-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-2.0&CDS=1-525
OG0002403	YKL191W	snap_masked-scaffold_8-processed-gene-2.25-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.25&CDS=1-1635
OG0002404	YKL192C	snap_masked-scaffold_8-processed-gene-2.52-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.52&CDS=1-381
OG0002405	YKL193C	snap_masked-scaffold_8-processed-gene-2.51-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.51&CDS=1-1083
OG0002406	YKL194C	snap_masked-scaffold_4-processed-gene-2.63-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.63&CDS=1-1305
OG0002407	YKL195W	snap_masked-scaffold_4-processed-gene-2.43-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.43&CDS=1-1041
OG0002408	YKL196C	snap_masked-scaffold_4-processed-gene-2.61-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.61&CDS=1-600
OG0002409	YKL197C	snap_masked-scaffold_6-processed-gene-1.6-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.6&CDS=1-3096
OG0002410	YKL203C	snap_masked-scaffold_6-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.44&CDS=1-7383
OG0002411	YKL204W	snap_masked-scaffold_6-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.25&CDS=1-1779
OG0002412	YKL205W	snap_masked-scaffold_6-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.24&CDS=1-3171
OG0002413	YKL206C	snap_masked-scaffold_6-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.42&CDS=1-834
OG0002414	YKL207W	genemark-scaffold_6-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.98&CDS=1-801
OG0002415	YKL209C	snap_masked-scaffold_6-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.41&CDS=1-3771
OG0002416	YKL210W	snap_masked-scaffold_6-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.18&CDS=1-3051
OG0002417	YKL211C	augustus_masked-scaffold_6-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.75&CDS=1-1467
OG0002418	YKL212W	snap_masked-scaffold_6-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.16&CDS=1-1869
OG0002419	YKL213C	snap_masked-scaffold_6-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.37&CDS=1-2559
OG0002420	YKL215C	snap_masked-scaffold_4-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.77&CDS=1-3852
OG0002421	YKL216W	snap_masked-scaffold_6-processed-gene-9.194-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.194&CDS=1-936
OG0002422	YKL217W	snap_masked-scaffold_7-processed-gene-8.123-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.123&CDS=1-1707
OG0002423	YKL221W	snap_masked-scaffold_4-processed-gene-6.9-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.9&CDS=1-1368
OG0002424	YKR002W	maker-scaffold_1-augustus-gene-5.173-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.173&CDS=1-3294
OG0002425	YKR004C	augustus_masked-scaffold_1-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.97&CDS=1-1794
OG0002426	YKR009C	snap_masked-scaffold_1-processed-gene-5.153-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.153&CDS=1-2706
OG0002427	YKR011C	snap_masked-scaffold_4-processed-gene-3.112-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.112&CDS=1-897
OG0002428	YKR014C	snap_masked-scaffold_4-processed-gene-3.111-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.111&CDS=1-651
OG0002429	YKR016W	snap_masked-scaffold_4-processed-gene-3.133-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.133&CDS=1-1629
OG0002430	YKR017C	snap_masked-scaffold_4-processed-gene-3.110-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.110&CDS=1-1656
OG0002431	YKR018C	snap_masked-scaffold_4-processed-gene-3.109-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.109&CDS=1-2340
OG0002432	YKR020W	snap_masked-scaffold_4-processed-gene-3.108-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.108&CDS=1-405
OG0002433	YKR023W	snap_masked-scaffold_8-processed-gene-2.50-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.50&CDS=1-1485
OG0002434	YKR024C	snap_masked-scaffold_8-processed-gene-2.21-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.21&CDS=1-2145
OG0002435	YKR025W	snap_masked-scaffold_8-processed-gene-2.49-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.49&CDS=1-771
OG0002436	YKR026C	snap_masked-scaffold_8-processed-gene-2.20-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.20&CDS=1-921
OG0002437	YKR029C	snap_masked-scaffold_4-processed-gene-2.65-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.65&CDS=1-2316
OG0002438	YKR031C	snap_masked-scaffold_4-processed-gene-2.68-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.68&CDS=1-4653
OG0002439	YKR035W-A	snap_masked-scaffold_4-processed-gene-2.49-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.49&CDS=1-606
OG0002440	YKR038C	maker-scaffold_4-augustus-gene-2.80-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.80&CDS=1-4236
OG0002441	YKR041W	snap_masked-scaffold_8-processed-gene-2.47-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.47&CDS=1-687
OG0002442	YKR043C	snap_masked-scaffold_8-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.18&CDS=1-810
OG0002443	YKR044W	snap_masked-scaffold_8-processed-gene-2.44-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.44&CDS=1-1284
OG0002444	YKR045C	snap_masked-scaffold_8-processed-gene-2.16-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.16&CDS=1-552
OG0002445	YKR046C	snap_masked-scaffold_8-processed-gene-2.15-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.15&CDS=1-945
OG0002446	YKR048C	snap_masked-scaffold_8-processed-gene-2.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.14&CDS=1-1284
OG0002447	YKR049C	snap_masked-scaffold_8-processed-gene-2.6-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.6&CDS=1-399
OG0002448	YKR051W	snap_masked-scaffold_8-processed-gene-1.109-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.109&CDS=1-1269
OG0002449	YKR052C	snap_masked-scaffold_8-processed-gene-1.82-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.82&CDS=1-909
OG0002450	YKR054C	augustus_masked-scaffold_8-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.131&CDS=1-12237
OG0002451	YKR055W	snap_masked-scaffold_8-processed-gene-1.107-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.107&CDS=1-867
OG0002452	YKR060W	snap_masked-scaffold_8-processed-gene-1.103-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.103&CDS=1-816
OG0002453	YKR061W	snap_masked-scaffold_8-processed-gene-1.102-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.102&CDS=1-1266
OG0002454	YKR062W	snap_masked-scaffold_8-processed-gene-1.98-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.98&CDS=1-921
OG0002455	YKR063C	snap_masked-scaffold_8-processed-gene-1.74-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.74&CDS=1-1407
OG0002456	YKR064W	snap_masked-scaffold_8-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.97&CDS=1-2481
OG0002457	YKR065C	snap_masked-scaffold_8-processed-gene-1.72-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.72&CDS=1-585
OG0002458	YKR068C	snap_masked-scaffold_2-processed-gene-5.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.100&CDS=1-591
OG0002459	YKR069W	maker-scaffold_2-augustus-gene-4.57-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-4.57&CDS=1-2829
OG0002460	YKR071C	snap_masked-scaffold_2-processed-gene-4.81-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.81&CDS=1-906
OG0002461	YKR074W	snap_masked-scaffold_2-processed-gene-4.107-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.107&CDS=1-435
OG0002462	YKR075C	snap_masked-scaffold_2-processed-gene-4.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.75&CDS=1-804
OG0002463	YKR076W	snap_masked-scaffold_2-processed-gene-4.103-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.103&CDS=1-1086
OG0002464	YKR079C	genemark-scaffold_2-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.15&CDS=1-4359
OG0002465	YKR080W	snap_masked-scaffold_2-processed-gene-4.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.100&CDS=1-978
OG0002466	YKR081C	snap_masked-scaffold_2-processed-gene-4.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.70&CDS=1-1053
OG0002467	YKR082W	snap_masked-scaffold_2-processed-gene-4.99-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.99&CDS=1-3447
OG0002468	YKR083C	augustus_masked-scaffold_2-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.122&CDS=1-348
OG0002469	YKR084C	maker-scaffold_2-snap-gene-4.54-mRNA-1_1&gene=maker-scaffold_2-snap-gene-4.54&CDS=1-1722
OG0002470	YKR085C	snap_masked-scaffold_2-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.65&CDS=1-612
OG0002471	YKR087C	snap_masked-scaffold_2-processed-gene-4.64-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.64&CDS=1-1002
OG0002472	YKR088C	snap_masked-scaffold_2-processed-gene-4.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.63&CDS=1-963
OG0002473	YKR089C	snap_masked-scaffold_2-processed-gene-4.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.61&CDS=1-2715
OG0002474	YKR090W	genemark-scaffold_2-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.33&CDS=1-2007
OG0002475	YKR092C	genemark-scaffold_2-processed-gene-4.4-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.4&CDS=1-1128
OG0002476	YKR093W	snap_masked-scaffold_2-processed-gene-4.84-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.84&CDS=1-1722
OG0002477	YKR095W	augustus_masked-scaffold_2-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.111&CDS=1-5430
OG0002478	YKR096W	snap_masked-scaffold_2-processed-gene-3.108-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.108&CDS=1-3441
OG0002479	YKR097W	snap_masked-scaffold_2-processed-gene-3.107-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.107&CDS=1-1644
OG0002480	YKR099W	maker-scaffold_6-snap-gene-9.4-mRNA-1_1&gene=maker-scaffold_6-snap-gene-9.4&CDS=1-1857
OG0002481	YKR100C	snap_masked-scaffold_6-processed-gene-9.191-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.191&CDS=1-1011
OG0002482	YLL003W	snap_masked-scaffold_5-processed-gene-7.53-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.53&CDS=1-2874
OG0002483	YLL004W	augustus_masked-scaffold_5-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.102&CDS=1-2208
OG0002484	YLL005C	snap_masked-scaffold_5-processed-gene-7.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.26&CDS=1-1062
OG0002485	YLL006W	snap_masked-scaffold_5-processed-gene-7.56-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.56&CDS=1-1320
OG0002486	YLL007C	snap_masked-scaffold_5-processed-gene-7.27-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.27&CDS=1-1953
OG0002487	YLL008W	snap_masked-scaffold_5-processed-gene-7.57-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.57&CDS=1-2220
OG0002488	YLL009C	snap_masked-scaffold_5-processed-gene-8.57-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.57&CDS=1-180
OG0002489	YLL011W	maker-scaffold_5-augustus-gene-8.146-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.146&CDS=1-3084
OG0002490	YLL013C	snap_masked-scaffold_5-processed-gene-8.63-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.63&CDS=1-1767
OG0002491	YLL014W	snap_masked-scaffold_5-processed-gene-8.80-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.80&CDS=1-312
OG0002492	YLL018C	snap_masked-scaffold_6-processed-gene-2.69-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.69&CDS=1-1638
OG0002493	YLL018C-A	snap_masked-scaffold_6-processed-gene-2.70-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.70&CDS=1-258
OG0002494	YLL019C	snap_masked-scaffold_6-processed-gene-2.71-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.71&CDS=1-2106
OG0002495	YLL021W	snap_masked-scaffold_6-processed-gene-3.50-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.50&CDS=1-3687
OG0002496	YLL022C	augustus_masked-scaffold_6-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.0&CDS=1-1044
OG0002497	YLL023C	snap_masked-scaffold_6-processed-gene-3.47-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.47&CDS=1-840
OG0002498	YLL026W	snap_masked-scaffold_6-processed-gene-3.72-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.72&CDS=1-3414
OG0002499	YLL028W	snap_masked-scaffold_6-processed-gene-3.73-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.73&CDS=1-1746
OG0002500	YLL029W	snap_masked-scaffold_6-processed-gene-3.74-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.74&CDS=1-2157
OG0002501	YLL031C	genemark-scaffold_6-processed-gene-3.106-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.106&CDS=1-3015
OG0002502	YLL032C	snap_masked-scaffold_6-processed-gene-3.53-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.53&CDS=1-2355
OG0002503	YLL033W	snap_masked-scaffold_6-processed-gene-3.75-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.75&CDS=1-417
OG0002504	YLL034C	snap_masked-scaffold_7-processed-gene-3.18-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.18&CDS=1-2418
OG0002505	YLL035W	snap_masked-scaffold_7-processed-gene-3.43-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.43&CDS=1-1869
OG0002506	YLL036C	snap_masked-scaffold_7-processed-gene-3.21-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.21&CDS=1-1509
OG0002507	YLL038C	snap_masked-scaffold_7-processed-gene-3.22-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.22&CDS=1-771
OG0002508	YLL040C	snap_masked-scaffold_7-processed-gene-3.23-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.23&CDS=1-9312
OG0002509	YLL041C	snap_masked-scaffold_7-processed-gene-3.24-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.24&CDS=1-780
OG0002510	YLL042C	snap_masked-scaffold_7-processed-gene-3.25-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.25&CDS=1-471
OG0002511	YLL043W	snap_masked-scaffold_7-processed-gene-3.47-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.47&CDS=1-2031
OG0002512	YLL048C	maker-scaffold_7-augustus-gene-3.101-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.101&CDS=1-5760
OG0002513	YLL049W	snap_masked-scaffold_7-processed-gene-3.49-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.49&CDS=1-201
OG0002514	YLL050C	snap_masked-scaffold_7-processed-gene-3.32-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.32&CDS=1-429
OG0002515	YLR001C	snap_masked-scaffold_5-processed-gene-7.24-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.24&CDS=1-2283
OG0002516	YLR002C	snap_masked-scaffold_5-processed-gene-7.23-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.23&CDS=1-2010
OG0002517	YLR003C	snap_masked-scaffold_5-processed-gene-7.19-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.19&CDS=1-852
OG0002518	YLR004C	snap_masked-scaffold_5-processed-gene-7.18-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.18&CDS=1-1620
OG0002519	YLR005W	snap_masked-scaffold_5-processed-gene-7.44-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.44&CDS=1-1392
OG0002520	YLR006C	snap_masked-scaffold_5-processed-gene-7.17-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.17&CDS=1-2208
OG0002521	YLR007W	snap_masked-scaffold_5-processed-gene-7.43-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.43&CDS=1-909
OG0002522	YLR008C	snap_masked-scaffold_5-processed-gene-7.16-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.16&CDS=1-504
OG0002523	YLR009W	genemark-scaffold_5-processed-gene-7.151-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.151&CDS=1-591
OG0002524	YLR011W	snap_masked-scaffold_4-processed-gene-11.66-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.66&CDS=1-579
OG0002525	YLR014C	snap_masked-scaffold_5-processed-gene-7.13-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.13&CDS=1-2586
OG0002526	YLR015W	snap_masked-scaffold_5-processed-gene-7.40-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.40&CDS=1-1401
OG0002527	YLR016C	snap_masked-scaffold_5-processed-gene-7.12-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.12&CDS=1-591
OG0002528	YLR017W	snap_masked-scaffold_5-processed-gene-8.58-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.58&CDS=1-936
OG0002529	YLR018C	snap_masked-scaffold_5-processed-gene-8.61-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.61&CDS=1-975
OG0002530	YLR022C	augustus_masked-scaffold_5-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.122&CDS=1-2016
OG0002531	YLR024C	snap_masked-scaffold_5-processed-gene-8.82-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.82&CDS=1-5472
OG0002532	YLR025W	snap_masked-scaffold_1-processed-gene-3.105-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.105&CDS=1-687
OG0002533	YLR027C	maker-scaffold_1-augustus-gene-3.167-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.167&CDS=1-2190
OG0002534	YLR032W	augustus_masked-scaffold_1-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.151&CDS=1-3414
OG0002535	YLR033W	snap_masked-scaffold_1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.97&CDS=1-1488
OG0002536	YLR035C	augustus_masked-scaffold_1-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.122&CDS=1-2025
OG0002537	YLR038C	snap_masked-scaffold_7-processed-gene-6.13-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.13&CDS=1-288
OG0002538	YLR045C	snap_masked-scaffold_5-processed-gene-9.129-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.129&CDS=1-2502
OG0002539	YLR047C	genemark-scaffold_5-processed-gene-9.74-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.74&CDS=1-2145
OG0002540	YLR049C	snap_masked-scaffold_3-processed-gene-1.36-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.36&CDS=1-1059
OG0002541	YLR050C	snap_masked-scaffold_3-processed-gene-1.37-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.37&CDS=1-498
OG0002542	YLR051C	snap_masked-scaffold_3-processed-gene-1.12-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.12&CDS=1-567
OG0002543	YLR054C	snap_masked-scaffold_3-processed-gene-1.10-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.10&CDS=1-3228
OG0002544	YLR055C	snap_masked-scaffold_3-processed-gene-1.7-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.7&CDS=1-1875
OG0002545	YLR056W	snap_masked-scaffold_3-processed-gene-1.28-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.28&CDS=1-1098
OG0002546	YLR057W	snap_masked-scaffold_3-processed-gene-1.26-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.26&CDS=1-2337
OG0002547	YLR059C	snap_masked-scaffold_3-processed-gene-1.1-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.1&CDS=1-750
OG0002548	YLR060W	genemark-scaffold_3-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.97&CDS=1-6588
OG0002549	YLR061W	maker-scaffold_3-snap-gene-0.52-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.52&CDS=1-357
OG0002550	YLR064W	snap_masked-scaffold_3-processed-gene-0.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.96&CDS=1-801
OG0002551	YLR065C	snap_masked-scaffold_3-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.74&CDS=1-534
OG0002552	YLR066W	snap_masked-scaffold_3-processed-gene-0.93-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.93&CDS=1-582
OG0002553	YLR067C	snap_masked-scaffold_3-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.71&CDS=1-2829
OG0002554	YLR068W	snap_masked-scaffold_3-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.92&CDS=1-453
OG0002555	YLR069C	snap_masked-scaffold_3-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.70&CDS=1-2304
