	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0001660	YGR276C	augustus_masked-scaffold_1-processed-gene-11.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.77&CDS=1-1926
OG0001661	YGR277C	augustus_masked-scaffold_3-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.22&CDS=1-897
OG0001662	YGR278W	augustus_masked-scaffold_3-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.36&CDS=1-1692
OG0001663	YGR280C	augustus_masked-scaffold_1-processed-gene-21.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.95&CDS=1-852
OG0001664	YGR282C	maker-scaffold_1-augustus-gene-16.44-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.44&CDS=1-924
OG0001665	YGR284C	augustus_masked-scaffold_1-processed-gene-17.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.59&CDS=1-945
OG0001666	YGR285C	maker-scaffold_1-augustus-gene-17.88-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.88&CDS=1-2055
OG0001667	YGR286C	augustus_masked-scaffold_1-processed-gene-19.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.28&CDS=1-1062
OG0001668	YHL002W	augustus_masked-scaffold_2-processed-gene-18.55-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.55&CDS=1-1311
OG0001669	YHL004W	augustus_masked-scaffold_7-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.83&CDS=1-1317
OG0001670	YHL007C	augustus_masked-scaffold_4-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.17&CDS=1-3885
OG0001671	YHL008C	snap_masked-scaffold_7-processed-gene-3.13-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.13&CDS=1-1422
OG0001672	YHL010C	augustus_masked-scaffold_3-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.34&CDS=1-1656
OG0001673	YHL011C	snap_masked-scaffold_3-processed-gene-13.82-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.82&CDS=1-1617
OG0001674	YHL013C	augustus_masked-scaffold_4-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.67&CDS=1-897
OG0001675	YHL015W	augustus_masked-scaffold_2-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.65&CDS=1-357
OG0001676	YHL016C	augustus_masked-scaffold_1-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.26&CDS=1-2187
OG0001677	YHL018W	snap_masked-scaffold_3-processed-gene-19.21-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.21&CDS=1-372
OG0001678	YHL021C	augustus_masked-scaffold_8-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.112&CDS=1-1323
OG0001679	YHL022C	maker-scaffold_3-snap-gene-5.104-mRNA-1_1&gene=maker-scaffold_3-snap-gene-5.104&CDS=1-963
OG0001680	YHL024W	augustus_masked-scaffold_1-processed-gene-18.135-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.135&CDS=1-1968
OG0001681	YHL027W	augustus_masked-scaffold_4-processed-gene-16.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-16.22&CDS=1-2358
OG0001682	YHL029C	augustus_masked-scaffold_5-processed-gene-15.165-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.165&CDS=1-1962
OG0001683	YHL030W	augustus_masked-scaffold_5-processed-gene-15.164-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.164&CDS=1-5427
OG0001684	YHL031C	snap_masked-scaffold_8-processed-gene-4.5-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.5&CDS=1-711
OG0001685	YHL032C	augustus_masked-scaffold_2-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.41&CDS=1-1884
OG0001686	YHL036W	augustus_masked-scaffold_5-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.19&CDS=1-1683
OG0001687	YHL040C	augustus_masked-scaffold_3-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.67&CDS=1-1851
OG0001688	YHR002W	augustus_masked-scaffold_3-processed-gene-19.97-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.97&CDS=1-1239
OG0001689	YHR004C	augustus_masked-scaffold_6-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.119&CDS=1-1317
OG0001690	YHR005C	maker-scaffold_6-augustus-gene-10.178-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.178&CDS=1-2616
OG0001691	YHR007C	augustus_masked-scaffold_4-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.45&CDS=1-1563
OG0001692	YHR008C	augustus_masked-scaffold_1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.100&CDS=1-684
OG0001693	YHR009C	augustus_masked-scaffold_6-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.41&CDS=1-1500
OG0001694	YHR011W	augustus_masked-scaffold_7-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.51&CDS=1-1359
OG0001695	YHR012W	augustus_masked-scaffold_1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.8&CDS=1-798
OG0001696	YHR013C	augustus_masked-scaffold_2-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.50&CDS=1-1317
OG0001697	YHR018C	augustus_masked-scaffold_8-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.30&CDS=1-1392
OG0001698	YHR019C	augustus_masked-scaffold_8-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.31&CDS=1-1656
OG0001699	YHR020W	augustus_masked-scaffold_8-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.12&CDS=1-2052
OG0001700	YHR023W	snap_masked-scaffold_4-processed-gene-2.62-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.62&CDS=1-7191
OG0001701	YHR024C	augustus_masked-scaffold_4-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.40&CDS=1-1434
OG0001702	YHR025W	maker-scaffold_4-augustus-gene-3.82-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.82&CDS=1-2475
OG0001703	YHR026W	augustus_masked-scaffold_4-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.14&CDS=1-591
OG0001704	YHR027C	augustus_masked-scaffold_4-processed-gene-13.32-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.32&CDS=1-2889
OG0001705	YHR028C	augustus_masked-scaffold_2-processed-gene-18.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.65&CDS=1-2463
OG0001706	YHR029C	augustus_masked-scaffold_7-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.127&CDS=1-849
OG0001707	YHR030C	augustus_masked-scaffold_2-processed-gene-20.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.31&CDS=1-1671
OG0001708	YHR031C	augustus_masked-scaffold_2-processed-gene-20.29-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.29&CDS=1-2055
OG0001709	YHR037W	augustus_masked-scaffold_6-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.11&CDS=1-1770
OG0001710	YHR039C	maker-scaffold_3-augustus-gene-7.78-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-7.78&CDS=1-4011
OG0001711	YHR040W	augustus_masked-scaffold_3-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.57&CDS=1-1014
OG0001712	YHR041C	augustus_masked-scaffold_1-processed-gene-10.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.75&CDS=1-711
OG0001713	YHR042W	augustus_masked-scaffold_1-processed-gene-18.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.106&CDS=1-2037
OG0001714	YHR045W	augustus_masked-scaffold_6-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.65&CDS=1-1341
OG0001715	YHR048W	augustus_masked-scaffold_7-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.103&CDS=1-2001
OG0001716	YHR049W	augustus_masked-scaffold_5-processed-gene-15.178-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.178&CDS=1-783
OG0001717	YHR051W	maker-scaffold_3-augustus-gene-17.0-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-17.0&CDS=1-444
OG0001718	YHR052W	snap_masked-scaffold_7-processed-gene-1.106-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.106&CDS=1-1038
OG0001719	YHR062C	augustus_masked-scaffold_1-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.42&CDS=1-906
OG0001720	YHR063C	augustus_masked-scaffold_6-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.24&CDS=1-1074
OG0001721	YHR064C	augustus_masked-scaffold_1-processed-gene-21.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.127&CDS=1-1635
OG0001722	YHR065C	augustus_masked-scaffold_2-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.23&CDS=1-1425
OG0001723	YHR067W	augustus_masked-scaffold_1-processed-gene-18.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.112&CDS=1-885
OG0001724	YHR068W	augustus_masked-scaffold_5-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.83&CDS=1-1134
OG0001725	YHR069C	augustus_masked-scaffold_1-processed-gene-18.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.121&CDS=1-1032
OG0001726	YHR070W	maker-scaffold_1-augustus-gene-18.53-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.53&CDS=1-1617
OG0001727	YHR071W	augustus_masked-scaffold_6-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.26&CDS=1-888
OG0001728	YHR072W	augustus_masked-scaffold_3-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.38&CDS=1-2178
OG0001729	YHR072W-A	snap_masked-scaffold_2-processed-gene-5.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.33&CDS=1-177
OG0001730	YHR073W	augustus_masked-scaffold_1-processed-gene-18.138-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.138&CDS=1-2523
OG0001731	YHR074W	augustus_masked-scaffold_3-processed-gene-17.71-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.71&CDS=1-2139
OG0001732	YHR075C	augustus_masked-scaffold_3-processed-gene-17.88-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.88&CDS=1-1086
OG0001733	YHR076W	augustus_masked-scaffold_6-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.30&CDS=1-1176
OG0001734	YHR077C	augustus_masked-scaffold_3-processed-gene-17.66-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.66&CDS=1-3093
OG0001735	YHR078W	augustus_masked-scaffold_1-processed-gene-15.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.34&CDS=1-1800
OG0001736	YHR079C	augustus_masked-scaffold_1-processed-gene-12.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.5&CDS=1-3474
OG0001737	YHR081W	augustus_masked-scaffold_1-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.1&CDS=1-615
OG0001738	YHR082C	augustus_masked-scaffold_1-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.9&CDS=1-2481
OG0001739	YHR084W	augustus_masked-scaffold_1-processed-gene-12.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.10&CDS=1-1575
OG0001740	YHR085W	augustus_masked-scaffold_2-processed-gene-13.76-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.76&CDS=1-1053
OG0001741	YHR087W	augustus_masked-scaffold_3-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.52&CDS=1-339
OG0001742	YHR088W	augustus_masked-scaffold_1-processed-gene-18.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.126&CDS=1-894
OG0001743	YHR089C	augustus_masked-scaffold_4-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.85&CDS=1-621
OG0001744	YHR090C	augustus_masked-scaffold_3-processed-gene-17.60-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.60&CDS=1-903
OG0001745	YHR098C	augustus_masked-scaffold_3-processed-gene-17.59-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.59&CDS=1-3129
OG0001746	YHR099W	augustus_masked-scaffold_7-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.65&CDS=1-11370
OG0001747	YHR100C	augustus_masked-scaffold_7-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.82&CDS=1-1311
OG0001748	YHR102W	augustus_masked-scaffold_3-processed-gene-14.52-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.52&CDS=1-5343
OG0001749	YHR104W	maker-scaffold_4-snap-gene-8.3-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.3&CDS=1-1842
OG0001750	YHR107C	augustus_masked-scaffold_1-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.10&CDS=1-1188
OG0001751	YHR108W	augustus_masked-scaffold_1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.16&CDS=1-1758
OG0001752	YHR109W	augustus_masked-scaffold_2-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.23&CDS=1-1806
OG0001753	YHR110W	augustus_masked-scaffold_6-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.14&CDS=1-648
OG0001754	YHR111W	augustus_masked-scaffold_6-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.15&CDS=1-1314
OG0001755	YHR112C	augustus_masked-scaffold_2-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.39&CDS=1-1170
OG0001756	YHR113W	augustus_masked-scaffold_6-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.40&CDS=1-1485
OG0001757	YHR114W	augustus_masked-scaffold_5-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.98&CDS=1-1821
OG0001758	YHR116W	augustus_masked-scaffold_2-processed-gene-18.69-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.69&CDS=1-417
OG0001759	YHR118C	augustus_masked-scaffold_1-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.154&CDS=1-1122
OG0001760	YHR119W	augustus_masked-scaffold_1-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.140&CDS=1-3180
OG0001761	YHR120W	augustus_masked-scaffold_2-processed-gene-12.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.80&CDS=1-2850
OG0001762	YHR121W	augustus_masked-scaffold_8-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.56&CDS=1-681
OG0001763	YHR122W	augustus_masked-scaffold_8-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.58&CDS=1-579
OG0001764	YHR123W	augustus_masked-scaffold_8-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.89&CDS=1-1182
OG0001765	YHR128W	augustus_masked-scaffold_4-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.23&CDS=1-654
OG0001766	YHR132C	snap_masked-scaffold_5-processed-gene-8.28-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.28&CDS=1-1860
OG0001767	YHR140W	augustus_masked-scaffold_4-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.3&CDS=1-705
OG0001768	YHR142W	augustus_masked-scaffold_1-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.92&CDS=1-942
OG0001769	YHR143W-A	augustus_masked-scaffold_4-processed-gene-16.43-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-16.43&CDS=1-219
OG0001770	YHR144C	augustus_masked-scaffold_4-processed-gene-16.46-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-16.46&CDS=1-1086
OG0001771	YHR147C	augustus_masked-scaffold_2-processed-gene-19.77-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.77&CDS=1-675
OG0001772	YHR148W	augustus_masked-scaffold_2-processed-gene-19.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.58&CDS=1-549
OG0001773	YHR150W	augustus_masked-scaffold_5-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.17&CDS=1-1563
OG0001774	YHR151C	augustus_masked-scaffold_5-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.16&CDS=1-1659
OG0001775	YHR154W	augustus_masked-scaffold_3-processed-gene-18.60-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.60&CDS=1-2439
OG0001776	YHR156C	augustus_masked-scaffold_2-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.82&CDS=1-1068
OG0001777	YHR164C	augustus_masked-scaffold_7-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.94&CDS=1-4407
OG0001778	YHR165C	augustus_masked-scaffold_2-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.72&CDS=1-7170
OG0001779	YHR166C	augustus_masked-scaffold_2-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.71&CDS=1-1632
OG0001780	YHR168W	augustus_masked-scaffold_2-processed-gene-10.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.23&CDS=1-1587
OG0001781	YHR169W	augustus_masked-scaffold_2-processed-gene-10.45-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.45&CDS=1-1293
OG0001782	YHR170W	snap_masked-scaffold_2-processed-gene-10.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.66&CDS=1-1548
OG0001783	YHR171W	augustus_masked-scaffold_2-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.18&CDS=1-1959
OG0001784	YHR172W	augustus_masked-scaffold_2-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.19&CDS=1-2649
OG0001785	YHR175W	maker-scaffold_6-augustus-gene-5.157-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.157&CDS=1-522
OG0001786	YHR178W	augustus_masked-scaffold_1-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.146&CDS=1-2604
OG0001787	YHR181W	augustus_masked-scaffold_4-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.82&CDS=1-651
OG0001788	YHR183W	snap_masked-scaffold_4-processed-gene-15.30-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.30&CDS=1-1536
OG0001789	YHR186C	augustus_masked-scaffold_1-processed-gene-15.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.12&CDS=1-4311
OG0001790	YHR187W	augustus_masked-scaffold_1-processed-gene-17.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.87&CDS=1-861
OG0001791	YHR188C	augustus_masked-scaffold_1-processed-gene-17.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.71&CDS=1-1818
OG0001792	YHR189W	genemark-scaffold_7-processed-gene-5.120-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.120&CDS=1-633
OG0001793	YHR190W	augustus_masked-scaffold_3-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.50&CDS=1-1332
OG0001794	YHR191C	augustus_masked-scaffold_4-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.94&CDS=1-450
OG0001795	YHR193C	augustus_masked-scaffold_5-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.6&CDS=1-531
OG0001796	YHR194W	snap_masked-scaffold_1-processed-gene-4.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.101&CDS=1-1731
OG0001797	YHR197W	augustus_masked-scaffold_1-processed-gene-23.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.1&CDS=1-4851
OG0001798	YHR200W	augustus_masked-scaffold_3-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.42&CDS=1-840
OG0001799	YHR201C	augustus_masked-scaffold_3-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.18&CDS=1-1230
OG0001800	YHR206W	snap_masked-scaffold_4-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.71&CDS=1-1818
OG0001801	YHR207C	augustus_masked-scaffold_4-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.74&CDS=1-2337
OG0001802	YIL001W	augustus_masked-scaffold_8-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.48&CDS=1-1851
OG0001803	YIL002C	augustus_masked-scaffold_3-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.18&CDS=1-2865
OG0001804	YIL003W	augustus_masked-scaffold_3-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.49&CDS=1-831
OG0001805	YIL004C	augustus_masked-scaffold_3-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.28&CDS=1-414
OG0001806	YIL005W	augustus_masked-scaffold_3-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.24&CDS=1-2046
OG0001807	YIL007C	augustus_masked-scaffold_1-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.35&CDS=1-687
OG0001808	YIL008W	augustus_masked-scaffold_1-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.13&CDS=1-303
OG0001809	YIL010W	augustus_masked-scaffold_5-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.116&CDS=1-792
OG0001810	YIL019W	augustus_masked-scaffold_1-processed-gene-24.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.89&CDS=1-969
OG0001811	YIL020C	augustus_masked-scaffold_1-processed-gene-24.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.88&CDS=1-825
OG0001812	YIL021W	augustus_masked-scaffold_1-processed-gene-24.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.85&CDS=1-906
OG0001813	YIL022W	augustus_masked-scaffold_5-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.109&CDS=1-1293
OG0001814	YIL026C	augustus_masked-scaffold_4-processed-gene-17.13-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-17.13&CDS=1-3189
