	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0001899	YIL046W	genemark-LQHL01001787.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001787.1-processed-gene-0.13&CDS=1-2106
OG0001900	YIL047C	genemark-LQHL01001773.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001773.1-processed-gene-0.23&CDS=1-2961
OG0001901	YIL048W	augustus_masked-LQHL01001773.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQHL01001773.1-processed-gene-0.29&CDS=1-3654
OG0001902	YIL049W	maker-LQHL01001597.1-snap-gene-0.29-mRNA-1_1&gene=maker-LQHL01001597.1-snap-gene-0.29&CDS=1-2130
OG0001903	YIL061C	genemark-LQHL01001480.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001480.1-processed-gene-0.15&CDS=1-963
OG0001904	YIL062C	augustus_masked-LQHL01001812.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LQHL01001812.1-processed-gene-0.19&CDS=1-795
OG0001905	YIL063C	genemark-LQHL01001480.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001480.1-processed-gene-0.14&CDS=1-1155
OG0001906	YIL064W	maker-LQHL01001480.1-augustus-gene-0.17-mRNA-1_1&gene=maker-LQHL01001480.1-augustus-gene-0.17&CDS=1-741
OG0001907	YIL067C	genemark-LQHL01001334.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001334.1-processed-gene-0.0&CDS=1-2088
OG0001908	YIL068C	genemark-LQHL01001848.1-processed-gene-0.74-mRNA-1_1&gene=genemark-LQHL01001848.1-processed-gene-0.74&CDS=1-2514
OG0001909	YIL072W	maker-LQHL01001787.1-augustus-gene-0.31-mRNA-1_1&gene=maker-LQHL01001787.1-augustus-gene-0.31&CDS=1-1608
OG0001910	YIL073C	genemark-LQHL01001731.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001731.1-processed-gene-0.6&CDS=1-1701
OG0001911	YIL075C	genemark-LQHL01001794.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001794.1-processed-gene-0.15&CDS=1-2847
OG0001912	YIL078W	augustus_masked-LQHL01001714.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LQHL01001714.1-processed-gene-0.27&CDS=1-2487
OG0001913	YIL083C	genemark-LQHL01001670.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001670.1-processed-gene-0.34&CDS=1-1029
OG0001914	YIL087C	genemark-LQHL01001654.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001654.1-processed-gene-0.9&CDS=1-441
OG0001915	YIL090W	genemark-LQHL01001654.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001654.1-processed-gene-0.11&CDS=1-1437
OG0001916	YIL091C	genemark-LQHL01001654.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001654.1-processed-gene-0.10&CDS=1-2196
OG0001917	YIL093C	genemark-LQHL01001713.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001713.1-processed-gene-0.29&CDS=1-864
OG0001918	YIL094C	genemark-LQHL01001451.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001451.1-processed-gene-0.15&CDS=1-1128
OG0001919	YIL098C	genemark-LQHL01001505.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001505.1-processed-gene-0.5&CDS=1-543
OG0001920	YIL099W	genemark-LQHL01001780.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001780.1-processed-gene-0.34&CDS=1-1650
OG0001921	YIL101C	genemark-LQHL01001860.1-processed-gene-0.43-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.43&CDS=1-1911
OG0001922	YIL103W	snap_masked-LQHL01001860.1-processed-gene-0.134-mRNA-1_1&gene=snap_masked-LQHL01001860.1-processed-gene-0.134&CDS=1-1287
OG0001923	YIL104C	genemark-LQHL01001860.1-processed-gene-0.41-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.41&CDS=1-1512
OG0001924	YIL106W	genemark-LQHL01001419.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001419.1-processed-gene-0.10&CDS=1-807
OG0001925	YIL107C	augustus_masked-LQHL01001201.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001201.1-processed-gene-0.2&CDS=1-3138
OG0001926	YIL109C	genemark-LQHL01001832.1-processed-gene-0.55-mRNA-1_1&gene=genemark-LQHL01001832.1-processed-gene-0.55&CDS=1-2787
OG0001927	YIL110W	augustus_masked-LQHL01001758.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQHL01001758.1-processed-gene-0.29&CDS=1-1563
OG0001928	YIL115C	snap_masked-LQHL01001779.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQHL01001779.1-processed-gene-0.7&CDS=1-3057
OG0001929	YIL116W	augustus_masked-LQHL01001594.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LQHL01001594.1-processed-gene-0.26&CDS=1-4929
OG0001930	YIL118W	snap_masked-LQHL01001706.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LQHL01001706.1-processed-gene-0.19&CDS=1-666
OG0001931	YIL126W	genemark-LQHL01001769.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQHL01001769.1-processed-gene-0.33&CDS=1-3876
OG0001932	YIL128W	genemark-LQHL01001861.1-processed-gene-0.71-mRNA-1_1&gene=genemark-LQHL01001861.1-processed-gene-0.71&CDS=1-3138
OG0001933	YIL129C	genemark-LQHL01001848.1-processed-gene-0.101-mRNA-1_1&gene=genemark-LQHL01001848.1-processed-gene-0.101&CDS=1-8865
OG0001934	YIL130W	genemark-LQHL01001847.1-processed-gene-0.46-mRNA-1_1&gene=genemark-LQHL01001847.1-processed-gene-0.46&CDS=1-2829
OG0001935	YIL134W	genemark-LQHL01001862.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001862.1-processed-gene-0.17&CDS=1-900
OG0001936	YIL137C	genemark-LQHL01001393.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001393.1-processed-gene-0.1&CDS=1-2385
OG0001937	YIL140W	genemark-LQHL01001809.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQHL01001809.1-processed-gene-0.25&CDS=1-2439
OG0001938	YIL142W	genemark-LQHL01001746.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LQHL01001746.1-processed-gene-0.48&CDS=1-1578
OG0001939	YIL143C	genemark-LQHL01001853.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001853.1-processed-gene-0.17&CDS=1-2493
OG0001940	YIL144W	snap_masked-LQHL01001853.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LQHL01001853.1-processed-gene-0.64&CDS=1-1893
OG0001941	YIL145C	genemark-LQHL01001853.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQHL01001853.1-processed-gene-0.33&CDS=1-921
OG0001942	YIL147C	genemark-LQHL01001775.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001775.1-processed-gene-0.13&CDS=1-3723
OG0001943	YIL153W	genemark-LQHL01001778.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001778.1-processed-gene-0.14&CDS=1-1203
OG0001944	YIL155C	maker-LQHL01001747.1-augustus-gene-0.32-mRNA-1_1&gene=maker-LQHL01001747.1-augustus-gene-0.32&CDS=1-4005
OG0001945	YIL156W-B	augustus_masked-LQHL01001873.1-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-LQHL01001873.1-processed-gene-0.143&CDS=1-231
OG0001946	YIL157C	genemark-LQHL01001700.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001700.1-processed-gene-0.38&CDS=1-600
OG0001947	YIR002C	augustus_masked-LQHL01001792.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQHL01001792.1-processed-gene-0.29&CDS=1-1965
OG0001948	YIR004W	genemark-LQHL01001800.1-processed-gene-0.44-mRNA-1_1&gene=genemark-LQHL01001800.1-processed-gene-0.44&CDS=1-1548
OG0001949	YIR005W	genemark-LQHL01001846.1-processed-gene-0.75-mRNA-1_1&gene=genemark-LQHL01001846.1-processed-gene-0.75&CDS=1-852
OG0001950	YIR008C	genemark-LQHL01001865.1-processed-gene-0.117-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.117&CDS=1-1392
OG0001951	YIR009W	genemark-LQHL01001794.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001794.1-processed-gene-0.17&CDS=1-411
OG0001952	YIR011C	genemark-LQHL01001692.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001692.1-processed-gene-0.10&CDS=1-1050
OG0001953	YIR012W	genemark-LQHL01001865.1-processed-gene-0.116-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.116&CDS=1-1272
OG0001954	YIR015W	snap_masked-LQHL01001866.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LQHL01001866.1-processed-gene-0.44&CDS=1-414
OG0001955	YIR022W	genemark-LQHL01001775.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001775.1-processed-gene-0.2&CDS=1-507
OG0001956	YIR023W	genemark-LQHL01001739.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQHL01001739.1-processed-gene-0.25&CDS=1-3204
OG0001957	YIR026C	genemark-LQHL01001817.1-processed-gene-0.92-mRNA-1_1&gene=genemark-LQHL01001817.1-processed-gene-0.92&CDS=1-987
OG0001958	YIR034C	genemark-LQHL01001560.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001560.1-processed-gene-0.10&CDS=1-1107
OG0001959	YIR037W	genemark-LQHL01001843.1-processed-gene-0.54-mRNA-1_1&gene=genemark-LQHL01001843.1-processed-gene-0.54&CDS=1-483
OG0001960	YIR038C	snap_masked-LQHL01001766.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQHL01001766.1-processed-gene-0.3&CDS=1-2208
OG0001961	YJL001W	genemark-LQHL01001711.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQHL01001711.1-processed-gene-0.22&CDS=1-651
OG0001962	YJL002C	genemark-LQHL01001711.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001711.1-processed-gene-0.23&CDS=1-1485
OG0001963	YJL003W	augustus_masked-LQHL01001868.1-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-LQHL01001868.1-processed-gene-0.166&CDS=1-789
OG0001964	YJL004C	genemark-LQHL01001799.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQHL01001799.1-processed-gene-0.25&CDS=1-609
OG0001965	YJL005W	genemark-LQHL01001820.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001820.1-processed-gene-0.0&CDS=1-8598
OG0001966	YJL006C	genemark-LQHL01001796.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.49&CDS=1-1158
OG0001967	YJL008C	genemark-LQHL01001777.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001777.1-processed-gene-0.14&CDS=1-1647
OG0001968	YJL010C	genemark-LQHL01001796.1-processed-gene-0.46-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.46&CDS=1-2112
OG0001969	YJL011C	genemark-LQHL01001856.1-processed-gene-0.123-mRNA-1_1&gene=genemark-LQHL01001856.1-processed-gene-0.123&CDS=1-513
OG0001970	YJL012C	genemark-LQHL01001317.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001317.1-processed-gene-0.1&CDS=1-2169
OG0001971	YJL014W	genemark-LQHL01001226.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001226.1-processed-gene-0.3&CDS=1-1578
OG0001972	YJL020C	genemark-LQHL01001600.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001600.1-processed-gene-0.7&CDS=1-3057
OG0001973	YJL024C	maker-LQHL01001339.1-snap-gene-0.8-mRNA-1_1&gene=maker-LQHL01001339.1-snap-gene-0.8&CDS=1-639
OG0001974	YJL025W	genemark-LQHL01001698.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQHL01001698.1-processed-gene-0.28&CDS=1-1443
OG0001975	YJL026W	genemark-LQHL01001554.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001554.1-processed-gene-0.4&CDS=1-1263
OG0001976	YJL029C	maker-LQHL01001777.1-augustus-gene-0.18-mRNA-1_1&gene=maker-LQHL01001777.1-augustus-gene-0.18&CDS=1-3093
OG0001977	YJL030W	genemark-LQHL01001796.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.36&CDS=1-621
OG0001978	YJL031C	genemark-LQHL01001796.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.48&CDS=1-1116
OG0001979	YJL033W	genemark-LQHL01001733.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001733.1-processed-gene-0.38&CDS=1-2280
OG0001980	YJL034W	snap_masked-LQHL01001729.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-LQHL01001729.1-processed-gene-0.25&CDS=1-2070
OG0001981	YJL036W	genemark-LQHL01001757.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001757.1-processed-gene-0.11&CDS=1-1815
OG0001982	YJL039C	genemark-LQHL01001778.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001778.1-processed-gene-0.19&CDS=1-5826
OG0001983	YJL041W	genemark-LQHL01001721.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQHL01001721.1-processed-gene-0.30&CDS=1-2478
OG0001984	YJL042W	genemark-LQHL01001849.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001849.1-processed-gene-0.8&CDS=1-4182
OG0001985	YJL046W	genemark-LQHL01001477.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001477.1-processed-gene-0.13&CDS=1-1407
OG0001986	YJL049W	genemark-LQHL01001781.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001781.1-processed-gene-0.35&CDS=1-1503
OG0001987	YJL050W	maker-LQHL01001693.1-augustus-gene-0.13-mRNA-1_1&gene=maker-LQHL01001693.1-augustus-gene-0.13&CDS=1-5826
OG0001988	YJL053W	augustus_masked-LQHL01001791.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LQHL01001791.1-processed-gene-0.54&CDS=1-2208
OG0001989	YJL054W	maker-LQHL01001658.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQHL01001658.1-augustus-gene-0.1&CDS=1-2463
OG0001990	YJL055W	genemark-LQHL01001780.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQHL01001780.1-processed-gene-0.30&CDS=1-735
OG0001991	YJL060W	augustus_masked-LQHL01001601.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LQHL01001601.1-processed-gene-0.24&CDS=1-825
OG0001992	YJL062W	genemark-LQHL01001645.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001645.1-processed-gene-0.29&CDS=1-2673
OG0001993	YJL062W-A	snap_masked-LQHL01001474.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LQHL01001474.1-processed-gene-0.11&CDS=1-267
OG0001994	YJL063C	genemark-LQHL01001819.1-processed-gene-0.73-mRNA-1_1&gene=genemark-LQHL01001819.1-processed-gene-0.73&CDS=1-759
OG0001995	YJL068C	genemark-LQHL01001762.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001762.1-processed-gene-0.13&CDS=1-855
OG0001996	YJL069C	augustus_masked-LQHL01001474.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001474.1-processed-gene-0.1&CDS=1-1734
OG0001997	YJL071W	genemark-LQHL01001645.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001645.1-processed-gene-0.26&CDS=1-1719
OG0001998	YJL074C	augustus_masked-LQHL01001719.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LQHL01001719.1-processed-gene-0.18&CDS=1-3609
OG0001999	YJL080C	genemark-LQHL01001521.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001521.1-processed-gene-0.12&CDS=1-3618
OG0002000	YJL085W	genemark-LQHL01001864.1-processed-gene-0.112-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.112&CDS=1-1869
OG0002001	YJL087C	genemark-LQHL01001864.1-processed-gene-0.93-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.93&CDS=1-2418
OG0002002	YJL088W	augustus_masked-LQHL01001477.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001477.1-processed-gene-0.3&CDS=1-1008
OG0002003	YJL091C	genemark-LQHL01001860.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.37&CDS=1-1443
OG0002004	YJL092W	genemark-LQHL01001863.1-processed-gene-0.80-mRNA-1_1&gene=genemark-LQHL01001863.1-processed-gene-0.80&CDS=1-2649
OG0002005	YJL095W	genemark-LQHL01001820.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001820.1-processed-gene-0.12&CDS=1-5655
OG0002006	YJL096W	genemark-LQHL01001820.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001820.1-processed-gene-0.2&CDS=1-483
OG0002007	YJL097W	genemark-LQHL01001820.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001820.1-processed-gene-0.9&CDS=1-645
OG0002008	YJL100W	augustus_masked-LQHL01001855.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LQHL01001855.1-processed-gene-0.103&CDS=1-1881
OG0002009	YJL101C	genemark-LQHL01001570.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001570.1-processed-gene-0.9&CDS=1-2307
OG0002010	YJL102W	augustus_masked-LQHL01001689.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LQHL01001689.1-processed-gene-0.21&CDS=1-2541
OG0002011	YJL104W	genemark-LQHL01001872.1-processed-gene-0.168-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.168&CDS=1-372
OG0002012	YJL106W	genemark-LQHL01001817.1-processed-gene-0.86-mRNA-1_1&gene=genemark-LQHL01001817.1-processed-gene-0.86&CDS=1-1605
OG0002013	YJL108C	genemark-LQHL01001841.1-processed-gene-0.95-mRNA-1_1&gene=genemark-LQHL01001841.1-processed-gene-0.95&CDS=1-2946
OG0002014	YJL109C	genemark-LQHL01001872.1-processed-gene-0.173-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.173&CDS=1-5790
OG0002015	YJL111W	genemark-LQHL01001446.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001446.1-processed-gene-0.6&CDS=1-1635
OG0002016	YJL115W	genemark-LQHL01001627.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001627.1-processed-gene-0.14&CDS=1-819
OG0002017	YJL117W	genemark-LQHL01001538.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001538.1-processed-gene-0.5&CDS=1-1035
OG0002018	YJL121C	genemark-LQHL01001318.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001318.1-processed-gene-0.2&CDS=1-693
OG0002019	YJL122W	genemark-LQHL01001318.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001318.1-processed-gene-0.4&CDS=1-477
OG0002020	YJL123C	genemark-LQHL01001841.1-processed-gene-0.85-mRNA-1_1&gene=genemark-LQHL01001841.1-processed-gene-0.85&CDS=1-1281
OG0002021	YJL124C	genemark-LQHL01001830.1-processed-gene-0.73-mRNA-1_1&gene=genemark-LQHL01001830.1-processed-gene-0.73&CDS=1-534
OG0002022	YJL126W	genemark-LQHL01001830.1-processed-gene-0.59-mRNA-1_1&gene=genemark-LQHL01001830.1-processed-gene-0.59&CDS=1-888
OG0002023	YJL127C	genemark-LQHL01001603.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001603.1-processed-gene-0.7&CDS=1-1779
OG0002024	YJL128C	genemark-LQHL01001765.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001765.1-processed-gene-0.3&CDS=1-2259
OG0002025	YJL130C	genemark-LQHL01001603.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001603.1-processed-gene-0.3&CDS=1-6645
OG0002026	YJL131C	snap_masked-LQHL01001493.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001493.1-processed-gene-0.1&CDS=1-1815
OG0002027	YJL140W	genemark-LQHL01001581.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001581.1-processed-gene-0.13&CDS=1-612
OG0002028	YJL141C	snap_masked-LQHL01001581.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001581.1-processed-gene-0.0&CDS=1-2181
OG0002029	YJL143W	genemark-LQHL01001499.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001499.1-processed-gene-0.11&CDS=1-462
OG0002030	YJL145W	maker-LQHL01001539.1-snap-gene-0.10-mRNA-1_1&gene=maker-LQHL01001539.1-snap-gene-0.10&CDS=1-1695
OG0002031	YJL148W	genemark-LQHL01001699.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001699.1-processed-gene-0.14&CDS=1-684
OG0002032	YJL153C	genemark-LQHL01001822.1-processed-gene-0.47-mRNA-1_1&gene=genemark-LQHL01001822.1-processed-gene-0.47&CDS=1-1560
OG0002033	YJL154C	genemark-LQHL01001712.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001712.1-processed-gene-0.34&CDS=1-2778
OG0002034	YJL155C	genemark-LQHL01001628.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001628.1-processed-gene-0.12&CDS=1-1398
OG0002035	YJL156C	augustus_masked-LQHL01001628.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQHL01001628.1-processed-gene-0.10&CDS=1-2685
OG0002036	YJL157C	snap_masked-LQHL01001784.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LQHL01001784.1-processed-gene-0.14&CDS=1-2448
OG0002037	YJL163C	snap_masked-LQHL01001832.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LQHL01001832.1-processed-gene-0.24&CDS=1-1866
OG0002038	YJL166W	augustus_masked-LQHL01001312.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001312.1-processed-gene-0.4&CDS=1-285
OG0002039	YJL167W	augustus_masked-LQHL01001312.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001312.1-processed-gene-0.3&CDS=1-3414
OG0002040	YJL168C	genemark-LQHL01001734.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQHL01001734.1-processed-gene-0.22&CDS=1-2493
OG0002041	YJL171C	genemark-LQHL01001543.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001543.1-processed-gene-0.15&CDS=1-1155
OG0002042	YJL176C	genemark-LQHL01001581.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001581.1-processed-gene-0.17&CDS=1-3156
OG0002043	YJL179W	genemark-LQHL01001722.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.10&CDS=1-351
OG0002044	YJL180C	genemark-LQHL01001722.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.3&CDS=1-1077
OG0002045	YJL183W	genemark-LQHL01001805.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001805.1-processed-gene-0.14&CDS=1-1299
OG0002046	YJL184W	genemark-LQHL01001722.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.2&CDS=1-339
OG0002047	YJL187C	genemark-LQHL01001832.1-processed-gene-0.70-mRNA-1_1&gene=genemark-LQHL01001832.1-processed-gene-0.70&CDS=1-3189
OG0002048	YJL194W	augustus_masked-LQHL01001785.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LQHL01001785.1-processed-gene-0.19&CDS=1-1542
OG0002049	YJL197W	snap_masked-LQHL01001758.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LQHL01001758.1-processed-gene-0.6&CDS=1-4257
OG0002050	YJL200C	genemark-LQHL01001849.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001849.1-processed-gene-0.23&CDS=1-2409
OG0002051	YJL201W	genemark-LQHL01001502.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001502.1-processed-gene-0.10&CDS=1-1746
OG0002052	YJL203W	snap_masked-LQHL01001852.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LQHL01001852.1-processed-gene-0.22&CDS=1-1194
OG0002053	YJL204C	snap_masked-LQHL01001446.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01001446.1-processed-gene-0.2&CDS=1-2376
OG0002054	YJL207C	augustus_masked-LQHL01001297.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001297.1-processed-gene-0.2&CDS=1-3918
OG0002055	YJL208C	genemark-LQHL01001723.1-processed-gene-0.27-mRNA-1_1&gene=genemark-LQHL01001723.1-processed-gene-0.27&CDS=1-984
OG0002056	YJL212C	genemark-LQHL01001681.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001681.1-processed-gene-0.18&CDS=1-2346
OG0002057	YJL218W	genemark-LQHL01001738.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001738.1-processed-gene-0.35&CDS=1-756
OG0002058	YJR001W	augustus_masked-LQHL01001784.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LQHL01001784.1-processed-gene-0.44&CDS=1-3216
OG0002059	YJR002W	augustus_masked-LQHL01001543.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQHL01001543.1-processed-gene-0.10&CDS=1-4086
OG0002060	YJR005W	genemark-LQHL01001872.1-processed-gene-0.148-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.148&CDS=1-2061
OG0002061	YJR007W	genemark-LQHL01001731.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001731.1-processed-gene-0.4&CDS=1-900
OG0002062	YJR008W	genemark-LQHL01001872.1-processed-gene-0.147-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.147&CDS=1-1014
OG0002063	YJR010W	genemark-LQHL01001516.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001516.1-processed-gene-0.4&CDS=1-1566
OG0002064	YJR012C	genemark-LQHL01001837.1-processed-gene-0.47-mRNA-1_1&gene=genemark-LQHL01001837.1-processed-gene-0.47&CDS=1-570
OG0002065	YJR016C	snap_masked-LQHL01001856.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LQHL01001856.1-processed-gene-0.72&CDS=1-1794
OG0002066	YJR017C	genemark-LQHL01001548.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001548.1-processed-gene-0.6&CDS=1-531
