	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0001877	augustus_masked-sim-_s305-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sim-_s305-processed-gene-0.39&CDS=1-651	YJL001W
OG0001878	augustus_masked-sim-_s305-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s305-processed-gene-0.44&CDS=1-852	YGR205W
OG0001879	augustus_masked-sim-_s305-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-sim-_s305-processed-gene-0.45&CDS=1-3138	YGR207C
OG0001880	augustus_masked-sim-_s306-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.112&CDS=1-2490	YML099C
OG0001881	augustus_masked-sim-_s306-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.140&CDS=1-4839	YFL055W
OG0001882	augustus_masked-sim-_s306-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.114&CDS=1-1449	YCL008C
OG0001883	augustus_masked-sim-_s306-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.115&CDS=1-1410	YLR175W
OG0001884	genemark-sim-_s306-processed-gene-0.206-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.206&CDS=1-1653	YBL019W
OG0001885	augustus_masked-sim-_s306-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.143&CDS=1-705	YER148W
OG0001886	genemark-sim-_s306-processed-gene-0.244-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.244&CDS=1-792	YCR009C
OG0001887	maker-sim-_s306-snap-gene-0.101-mRNA-1_1&gene=maker-sim-_s306-snap-gene-0.101&CDS=1-3042	YER171W
OG0001888	augustus_masked-sim-_s306-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.118&CDS=1-960	YPL209C
OG0001889	augustus_masked-sim-_s306-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.151&CDS=1-2940	YGL066W
OG0001890	maker-sim-_s306-augustus-gene-0.190-mRNA-1_1&gene=maker-sim-_s306-augustus-gene-0.190&CDS=1-3621	YPL207W
OG0001891	augustus_masked-sim-_s306-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.121&CDS=1-903	YBR187W
OG0001892	augustus_masked-sim-_s306-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.153&CDS=1-618	YBR193C
OG0001893	augustus_masked-sim-_s306-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.154&CDS=1-1083	YBR192W
OG0001894	augustus_masked-sim-_s306-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.155&CDS=1-5706	YPL082C
OG0001895	augustus_masked-sim-_s306-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.157&CDS=1-1263	YDL131W
OG0001896	augustus_masked-sim-_s306-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.123&CDS=1-1533	YOR241W
OG0001897	snap_masked-sim-_s306-processed-gene-0.58-mRNA-1_1&gene=snap_masked-sim-_s306-processed-gene-0.58&CDS=1-2313	YPL150W
OG0001898	maker-sim-_s306-augustus-gene-0.191-mRNA-1_1&gene=maker-sim-_s306-augustus-gene-0.191&CDS=1-2577	YPL029W
OG0001899	augustus_masked-sim-_s306-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.160&CDS=1-1203	YPL028W
OG0001900	genemark-sim-_s306-processed-gene-0.217-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.217&CDS=1-528	YPL041C
OG0001901	augustus_masked-sim-_s306-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.163&CDS=1-1104	YLR056W
OG0001902	augustus_masked-sim-_s306-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.164&CDS=1-1044	YDL205C
OG0001903	augustus_masked-sim-_s306-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.166&CDS=1-3192	YPL022W
OG0001904	genemark-sim-_s306-processed-gene-0.272-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.272&CDS=1-1899	YPL023C
OG0001905	augustus_masked-sim-_s306-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.168&CDS=1-2559	YCL030C
OG0001906	augustus_masked-sim-_s306-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.169&CDS=1-1770	YDR244W
OG0001907	genemark-sim-_s306-processed-gene-0.277-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.277&CDS=1-3177	YPL016W
OG0001908	genemark-sim-_s306-processed-gene-0.278-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.278&CDS=1-4059	YDR245W
OG0001909	augustus_masked-sim-_s306-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.128&CDS=1-1041	YNL231C
OG0001910	augustus_masked-sim-_s306-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.172&CDS=1-861	YNL232W
OG0001911	augustus_masked-sim-_s306-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.173&CDS=1-3360	YNL233W
OG0001912	augustus_masked-sim-_s306-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.174&CDS=1-1065	YNL234W
OG0001913	augustus_masked-sim-_s306-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.130&CDS=1-765	YGL123W
OG0001914	augustus_masked-sim-_s306-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.176&CDS=1-1398	YGL122C
OG0001915	augustus_masked-sim-_s306-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.131&CDS=1-1578	YIL142W
OG0001916	genemark-sim-_s306-processed-gene-0.284-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.284&CDS=1-1668	YLL018C
OG0001917	augustus_masked-sim-_s306-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.178&CDS=1-1470	YOL049W
OG0001918	augustus_masked-sim-_s306-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.179&CDS=1-1194	YOL031C
OG0001919	maker-sim-_s306-augustus-gene-0.199-mRNA-1_1&gene=maker-sim-_s306-augustus-gene-0.199&CDS=1-2325	YKR074W
OG0001920	augustus_masked-sim-_s306-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.181&CDS=1-984	YOR061W
OG0001921	augustus_masked-sim-_s306-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.182&CDS=1-846	YNL284C
OG0001922	augustus_masked-sim-_s306-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.184&CDS=1-2196	YHR072W
OG0001923	augustus_masked-sim-_s306-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.135&CDS=1-3498	YGR090W
OG0001924	genemark-sim-_s306-processed-gene-0.229-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.229&CDS=1-999	YPR110C
OG0001925	augustus_masked-sim-_s306-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.185&CDS=1-636	YDL018C
OG0001926	maker-sim-_s306-augustus-gene-0.200-mRNA-1_1&gene=maker-sim-_s306-augustus-gene-0.200&CDS=1-948	YGR165W
OG0001927	genemark-sim-_s306-processed-gene-0.230-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.230&CDS=1-1659	YDL017W
OG0001928	maker-sim-_s306-augustus-gene-0.192-mRNA-1_1&gene=maker-sim-_s306-augustus-gene-0.192&CDS=1-963	YKR081C
OG0001929	augustus_masked-sim-_s306-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.187&CDS=1-318	YKR083C
OG0001930	maker-sim-_s306-augustus-gene-0.201-mRNA-1_1&gene=maker-sim-_s306-augustus-gene-0.201&CDS=1-1221	YOR074C
OG0001931	genemark-sim-_s307-processed-gene-0.39-mRNA-1_1&gene=genemark-sim-_s307-processed-gene-0.39&CDS=1-1224	YHR002W
OG0001932	genemark-sim-_s307-processed-gene-0.48-mRNA-1_1&gene=genemark-sim-_s307-processed-gene-0.48&CDS=1-756	YGR147C
OG0001933	genemark-sim-_s307-processed-gene-0.49-mRNA-1_1&gene=genemark-sim-_s307-processed-gene-0.49&CDS=1-1296	YKL027W
OG0001934	genemark-sim-_s307-processed-gene-0.50-mRNA-1_1&gene=genemark-sim-_s307-processed-gene-0.50&CDS=1-732	YBR261C
OG0001935	augustus_masked-sim-_s307-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.3&CDS=1-522	YOL146W
OG0001936	snap_masked-sim-_s307-processed-gene-0.32-mRNA-1_1&gene=snap_masked-sim-_s307-processed-gene-0.32&CDS=1-3159	YOL145C
OG0001937	augustus_masked-sim-_s307-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.4&CDS=1-1305	YBR143C
OG0001938	augustus_masked-sim-_s307-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.13&CDS=1-2571	YBR142W
OG0001939	augustus_masked-sim-_s307-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.5&CDS=1-1023	YBR141C
OG0001940	maker-sim-_s307-snap-gene-0.18-mRNA-1_1&gene=maker-sim-_s307-snap-gene-0.18&CDS=1-1548	YKR034W
OG0001941	augustus_masked-sim-_s307-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.9&CDS=1-942	YDR337W
OG0001942	augustus_masked-sim-_s308-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-sim-_s308-processed-gene-0.60&CDS=1-711	YHR090C
OG0001943	snap_masked-sim-_s308-processed-gene-0.22-mRNA-1_1&gene=snap_masked-sim-_s308-processed-gene-0.22&CDS=1-2163	YOR035C
OG0001944	augustus_masked-sim-_s308-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-sim-_s308-processed-gene-0.61&CDS=1-3063	YHR098C
OG0001945	augustus_masked-sim-_s308-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sim-_s308-processed-gene-0.53&CDS=1-2457	YDR258C
OG0001946	maker-sim-_s308-snap-gene-0.45-mRNA-1_1&gene=maker-sim-_s308-snap-gene-0.45&CDS=1-5172	YIR006C
OG0001947	augustus_masked-sim-_s308-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-sim-_s308-processed-gene-0.64&CDS=1-2271	YML035C
OG0001948	genemark-sim-_s308-processed-gene-0.8-mRNA-1_1&gene=genemark-sim-_s308-processed-gene-0.8&CDS=1-957	YPL111W
OG0001949	genemark-sim-_s308-processed-gene-0.9-mRNA-1_1&gene=genemark-sim-_s308-processed-gene-0.9&CDS=1-3804	YPL110C
OG0001950	genemark-sim-_s308-processed-gene-0.10-mRNA-1_1&gene=genemark-sim-_s308-processed-gene-0.10&CDS=1-1623	YPR040W
OG0001951	genemark-sim-_s308-processed-gene-0.11-mRNA-1_1&gene=genemark-sim-_s308-processed-gene-0.11&CDS=1-783	YJR101W
OG0001952	augustus_masked-sim-_s308-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-sim-_s308-processed-gene-0.57&CDS=1-1032	YJR088C
OG0001953	snap_masked-sim-_s310-processed-gene-0.23-mRNA-1_1&gene=snap_masked-sim-_s310-processed-gene-0.23&CDS=1-2382	YPL153C
OG0001954	snap_masked-sim-_s310-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_s310-processed-gene-0.4&CDS=1-1143	YEL004W
OG0001955	augustus_masked-sim-_s310-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.48&CDS=1-2592	YOR165W
OG0001956	genemark-sim-_s310-processed-gene-0.84-mRNA-1_1&gene=genemark-sim-_s310-processed-gene-0.84&CDS=1-954	YPR061C
OG0001957	genemark-sim-_s310-processed-gene-0.85-mRNA-1_1&gene=genemark-sim-_s310-processed-gene-0.85&CDS=1-774	YPR060C
OG0001958	augustus_masked-sim-_s310-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.62&CDS=1-738	YML015C
OG0001959	augustus_masked-sim-_s310-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.52&CDS=1-1986	YML014W
OG0001960	augustus_masked-sim-_s310-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.53&CDS=1-1725	YDR425W
OG0001961	augustus_masked-sim-_s310-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.54&CDS=1-1221	YDR427W
OG0001962	augustus_masked-sim-_s310-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.67&CDS=1-2187	YJL036W
OG0001963	augustus_masked-sim-_s310-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.68&CDS=1-1359	YKL046C
OG0001964	maker-sim-_s310-augustus-gene-0.76-mRNA-1_1&gene=maker-sim-_s310-augustus-gene-0.76&CDS=1-2946	YHR154W
OG0001965	augustus_masked-sim-_s310-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.73&CDS=1-4542	YDR443C
OG0001966	augustus_masked-sim-_s310-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.56&CDS=1-1050	YGR279C
OG0001967	maker-sim-_s317-snap-gene-0.45-mRNA-1_1&gene=maker-sim-_s317-snap-gene-0.45&CDS=1-1218	YPR056W
OG0001968	genemark-sim-_s317-processed-gene-0.25-mRNA-1_1&gene=genemark-sim-_s317-processed-gene-0.25&CDS=1-4995	YBR097W
OG0001969	augustus_masked-sim-_s317-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.124&CDS=1-288	YKR095W-A
OG0001970	augustus_masked-sim-_s317-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.125&CDS=1-3354	YOR330C
OG0001971	augustus_masked-sim-_s317-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.100&CDS=1-2790	YPR163C
OG0001972	augustus_masked-sim-_s317-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.102&CDS=1-1635	YPL260W
OG0001973	snap_masked-sim-_s317-processed-gene-0.58-mRNA-1_1&gene=snap_masked-sim-_s317-processed-gene-0.58&CDS=1-645	YIR011C
OG0001974	augustus_masked-sim-_s317-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.127&CDS=1-1473	YER082C
OG0001975	augustus_masked-sim-_s317-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.105&CDS=1-1269	YKL216W
OG0001976	maker-sim-_s317-snap-gene-0.44-mRNA-1_1&gene=maker-sim-_s317-snap-gene-0.44&CDS=1-972	YER083C
OG0001977	snap_masked-sim-_s317-processed-gene-0.84-mRNA-1_1&gene=snap_masked-sim-_s317-processed-gene-0.84&CDS=1-1092	YGR112W
OG0001978	augustus_masked-sim-_s317-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.108&CDS=1-1554	YLR197W
OG0001979	augustus_masked-sim-_s317-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.131&CDS=1-2367	YDL170W
OG0001980	augustus_masked-sim-_s317-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.113&CDS=1-3177	YBR081C
OG0001981	augustus_masked-sim-_s317-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.115&CDS=1-516	YNL310C
OG0001982	augustus_masked-sim-_s317-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.116&CDS=1-873	YNL315C
OG0001983	augustus_masked-sim-_s317-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.136&CDS=1-1806	YMR224C
OG0001984	augustus_masked-sim-_s317-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s317-processed-gene-0.118&CDS=1-4971	YDR283C
OG0001985	augustus_masked-sim-_s318-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s318-processed-gene-0.5&CDS=1-2664	YNL238W
OG0001986	augustus_masked-sim-_s318-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s318-processed-gene-0.0&CDS=1-1377	YNL237W
OG0001987	augustus_masked-sim-_s318-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s318-processed-gene-0.1&CDS=1-1728	YJR095W
OG0001988	maker-sim-_s318-snap-gene-0.8-mRNA-1_1&gene=maker-sim-_s318-snap-gene-0.8&CDS=1-1017	YOR288C
OG0001989	augustus_masked-sim-_s318-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s318-processed-gene-0.4&CDS=1-1449	YFR044C
OG0001990	augustus_masked-sim-_s323-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s323-processed-gene-0.10&CDS=1-2139	YPR003C
OG0001991	snap_masked-sim-_s323-processed-gene-0.23-mRNA-1_1&gene=snap_masked-sim-_s323-processed-gene-0.23&CDS=1-702	YPL107W
OG0001992	maker-sim-_s323-snap-gene-0.21-mRNA-1_1&gene=maker-sim-_s323-snap-gene-0.21&CDS=1-1986	YBR123C
OG0001993	augustus_masked-sim-_s323-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s323-processed-gene-0.12&CDS=1-993	YKL085W
OG0001994	augustus_masked-sim-_s323-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s323-processed-gene-0.18&CDS=1-1266	YHR004C
OG0001995	augustus_masked-sim-_s324-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s324-processed-gene-0.5&CDS=1-2145	YIL091C
OG0001996	augustus_masked-sim-_s324-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s324-processed-gene-0.9&CDS=1-213	YNL024C-A
OG0001997	augustus_masked-sim-_s324-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s324-processed-gene-0.6&CDS=1-1191	YML095C
OG0001998	augustus_masked-sim-_s324-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s324-processed-gene-0.10&CDS=1-447	YML094W
OG0001999	augustus_masked-sim-_s329-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.51&CDS=1-1608	YMR023C
OG0002000	augustus_masked-sim-_s329-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.63&CDS=1-1716	YKR008W
OG0002001	augustus_masked-sim-_s329-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.52&CDS=1-1794	YPR048W
OG0002002	augustus_masked-sim-_s329-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.53&CDS=1-1344	YPR047W
OG0002003	augustus_masked-sim-_s329-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.54&CDS=1-993	YBL038W
OG0002004	maker-sim-_s329-augustus-gene-0.74-mRNA-1_1&gene=maker-sim-_s329-augustus-gene-0.74&CDS=1-657	YKL041W
OG0002005	augustus_masked-sim-_s329-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.65&CDS=1-1074	YBR087W
OG0002006	augustus_masked-sim-_s329-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.66&CDS=1-795	YER042W
OG0002007	augustus_masked-sim-_s329-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.56&CDS=1-1503	YNL026W
OG0002008	augustus_masked-sim-_s329-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.68&CDS=1-1038	YIL083C
OG0002009	genemark-sim-_s329-processed-gene-0.9-mRNA-1_1&gene=genemark-sim-_s329-processed-gene-0.9&CDS=1-180	YML081C-A
OG0002010	augustus_masked-sim-_s329-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.57&CDS=1-444	YML077W
OG0002011	augustus_masked-sim-_s329-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.58&CDS=1-1524	YOR378W
OG0002012	augustus_masked-sim-_s329-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.59&CDS=1-1077	YPL254W
OG0002013	augustus_masked-sim-_s329-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.71&CDS=1-681	YPL252C
OG0002014	augustus_masked-sim-_s329-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.72&CDS=1-651	YMR197C
OG0002015	augustus_masked-sim-_s329-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-sim-_s329-processed-gene-0.73&CDS=1-3159	YMR196W
OG0002016	augustus_masked-sim-_s338-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s338-processed-gene-0.7&CDS=1-657	YNL107W
OG0002017	augustus_masked-sim-_s34-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.13&CDS=1-1116	YGL248W
OG0002018	augustus_masked-sim-_s34-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.14&CDS=1-819	YFR050C
OG0002019	augustus_masked-sim-_s34-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.4&CDS=1-918	YOR164C
OG0002020	augustus_masked-sim-_s34-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.16&CDS=1-546	YOR163W
OG0002021	augustus_masked-sim-_s34-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.5&CDS=1-636	YLR250W
OG0002022	genemark-sim-_s34-processed-gene-0.67-mRNA-1_1&gene=genemark-sim-_s34-processed-gene-0.67&CDS=1-4272	YPL226W
OG0002023	augustus_masked-sim-_s34-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.19&CDS=1-891	YMR029C
OG0002024	augustus_masked-sim-_s34-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.20&CDS=1-435	YPL225W
OG0002025	augustus_masked-sim-_s34-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.21&CDS=1-1410	YMR020W
OG0002026	augustus_masked-sim-_s34-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.22&CDS=1-498	YMR022W
OG0002027	augustus_masked-sim-_s34-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.7&CDS=1-576	YBR106W
OG0002028	augustus_masked-sim-_s34-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.23&CDS=1-1737	YPL208W
OG0002029	augustus_masked-sim-_s34-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.8&CDS=1-936	YBR037C
OG0002030	maker-sim-_s34-snap-gene-0.52-mRNA-1_1&gene=maker-sim-_s34-snap-gene-0.52&CDS=1-2499	YOL148C
OG0002031	augustus_masked-sim-_s34-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s34-processed-gene-0.26&CDS=1-507	YOL149W
OG0002032	augustus_masked-sim-_s345-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.106&CDS=1-1680	YMR307W
OG0002033	augustus_masked-sim-_s345-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.139&CDS=1-1518	YGR280C
OG0002034	augustus_masked-sim-_s345-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.140&CDS=1-3657	YAL001C
OG0002035	augustus_masked-sim-_s345-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.107&CDS=1-726	YGR001C
OG0002036	maker-sim-_s345-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s345-augustus-gene-0.0&CDS=1-639	YAL003W
OG0002037	genemark-sim-_s345-processed-gene-0.187-mRNA-1_1&gene=genemark-sim-_s345-processed-gene-0.187&CDS=1-1932	YER005W
OG0002038	genemark-sim-_s345-processed-gene-0.189-mRNA-1_1&gene=genemark-sim-_s345-processed-gene-0.189&CDS=1-1521	YER006W
OG0002039	snap_masked-sim-_s345-processed-gene-0.15-mRNA-1_1&gene=snap_masked-sim-_s345-processed-gene-0.15&CDS=1-1506	YER007W
OG0002040	augustus_masked-sim-_s345-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.142&CDS=1-543	YER007C-A
OG0002041	augustus_masked-sim-_s345-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.143&CDS=1-3114	YIR002C
OG0002042	augustus_masked-sim-_s345-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.145&CDS=1-2988	YOR005C
OG0002043	augustus_masked-sim-_s345-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.146&CDS=1-1647	YOR067C
OG0002044	augustus_masked-sim-_s345-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.114&CDS=1-1203	YGL243W
