	Lachancea_quebecensis	Saccharomyces_cerevisiae
OG0002289	augustus_masked-LAQU0S07-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.10&CDS=1-2466	YGR007W
OG0002290	genemark-LAQU0S07-processed-gene-2.100-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.100&CDS=1-1398	YGR005C
OG0002291	genemark-LAQU0S07-processed-gene-2.104-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.104&CDS=1-1566	YLR324W
OG0002292	genemark-LAQU0S07-processed-gene-2.105-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.105&CDS=1-747	YLR323C
OG0002293	snap_masked-LAQU0S07-processed-gene-2.73-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.73&CDS=1-2181	YGR003W
OG0002294	genemark-LAQU0S07-processed-gene-2.106-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.106&CDS=1-1374	YGR002C
OG0002295	snap_masked-LAQU0S07-processed-gene-2.74-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.74&CDS=1-4323	YLR320W
OG0002296	genemark-LAQU0S07-processed-gene-2.107-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.107&CDS=1-2148	YLR319C
OG0002297	snap_masked-LAQU0S07-processed-gene-2.75-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.75&CDS=1-2712	YLR318W
OG0002298	genemark-LAQU0S07-processed-gene-2.108-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.108&CDS=1-969	YLR316C
OG0002299	genemark-LAQU0S07-processed-gene-2.127-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.127&CDS=1-1080	YLR321C
OG0002300	maker-LAQU0S07-augustus-gene-2.94-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-2.94&CDS=1-624	YAL003W
OG0002301	snap_masked-LAQU0S07-processed-gene-2.58-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.58&CDS=1-3726	YAL002W
OG0002302	genemark-LAQU0S07-processed-gene-2.128-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.128&CDS=1-1053	YGL001C
OG0002303	maker-LAQU0S07-snap-gene-2.5-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-2.5&CDS=1-711	YGR001C
OG0002304	augustus_masked-LAQU0S07-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.17&CDS=1-4710	YAL001C
OG0002305	genemark-LAQU0S07-processed-gene-2.130-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.130&CDS=1-657	YAR002C-A
OG0002306	augustus_masked-LAQU0S07-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.18&CDS=1-2955	YGL003C
OG0002307	genemark-LAQU0S07-processed-gene-2.132-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.132&CDS=1-1875	YAR007C
OG0002308	genemark-LAQU0S07-processed-gene-2.113-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.113&CDS=1-1227	YGL004C
OG0002309	snap_masked-LAQU0S07-processed-gene-2.63-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.63&CDS=1-762	YGL005C
OG0002310	genemark-LAQU0S07-processed-gene-2.133-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.133&CDS=1-3714	YGL006W
OG0002311	genemark-LAQU0S07-processed-gene-2.115-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.115&CDS=1-855	YAR008W
OG0002312	genemark-LAQU0S07-processed-gene-2.116-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.116&CDS=1-2703	YGL008C
OG0002313	maker-LAQU0S07-snap-gene-2.3-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-2.3&CDS=1-3507	YGL012W
OG0002314	snap_masked-LAQU0S07-processed-gene-2.68-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.68&CDS=1-600	YBL006C
OG0002315	genemark-LAQU0S07-processed-gene-2.137-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.137&CDS=1-738	YGL011C
OG0002316	genemark-LAQU0S07-processed-gene-2.120-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.120&CDS=1-507	YGL010W
OG0002317	genemark-LAQU0S07-processed-gene-2.121-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.121&CDS=1-3741	YBL007C
OG0002318	genemark-LAQU0S07-processed-gene-2.138-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.138&CDS=1-2349	YGL009C
OG0002319	snap_masked-LAQU0S07-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.88&CDS=1-2556	YBL008W
OG0002320	genemark-LAQU0S07-processed-gene-2.141-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.141&CDS=1-4698	YGL016W
OG0002321	genemark-LAQU0S07-processed-gene-2.122-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.122&CDS=1-558	YGL018C
OG0002322	genemark-LAQU0S07-processed-gene-2.142-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.142&CDS=1-750	YGL019W
OG0002323	augustus_masked-LAQU0S07-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.27&CDS=1-585	YGL020C
OG0002324	snap_masked-LAQU0S07-processed-gene-3.2-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.2&CDS=1-1884	YBL009W
OG0002325	snap_masked-LAQU0S07-processed-gene-3.0-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.0&CDS=1-720	YBL010C
OG0002326	genemark-LAQU0S07-processed-gene-3.77-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.77&CDS=1-2190	YGL022W
OG0002327	augustus_masked-LAQU0S07-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.148&CDS=1-1560	YGL023C
OG0002328	genemark-LAQU0S07-processed-gene-3.79-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.79&CDS=1-1140	YBL013W
OG0002329	genemark-LAQU0S07-processed-gene-3.82-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.82&CDS=1-2127	YGL026C
OG0002330	snap_masked-LAQU0S07-processed-gene-3.8-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.8&CDS=1-2697	YBL014C
OG0002331	genemark-LAQU0S07-processed-gene-3.84-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.84&CDS=1-2412	YGL027C
OG0002332	genemark-LAQU0S07-processed-gene-3.85-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.85&CDS=1-1782	YGL028C
OG0002333	genemark-LAQU0S07-processed-gene-3.117-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.117&CDS=1-396	YGL029W
OG0002334	genemark-LAQU0S07-processed-gene-3.86-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.86&CDS=1-2613	YGR150C
OG0002335	genemark-LAQU0S07-processed-gene-3.118-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.118&CDS=1-1212	YGR149W
OG0002336	genemark-LAQU0S07-processed-gene-3.88-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.88&CDS=1-2088	YLL019C
OG0002337	genemark-LAQU0S07-processed-gene-3.120-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.120&CDS=1-1599	YGL172W
OG0002338	augustus_masked-LAQU0S07-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.158&CDS=1-4467	YGL173C
OG0002339	genemark-LAQU0S07-processed-gene-3.121-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.121&CDS=1-810	YGL174W
OG0002340	snap_masked-LAQU0S07-processed-gene-3.14-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.14&CDS=1-1086	YGL175C
OG0002341	genemark-LAQU0S07-processed-gene-3.122-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.122&CDS=1-2640	YPR021C
OG0002342	genemark-LAQU0S07-processed-gene-3.123-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.123&CDS=1-873	YPR023C
OG0002343	snap_masked-LAQU0S07-processed-gene-3.49-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.49&CDS=1-1668	YER124C
OG0002344	genemark-LAQU0S07-processed-gene-3.92-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.92&CDS=1-2373	YER125W
OG0002345	snap_masked-LAQU0S07-processed-gene-3.17-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.17&CDS=1-1506	YGL176C
OG0002346	genemark-LAQU0S07-processed-gene-3.125-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.125&CDS=1-2151	YGL178W
OG0002347	genemark-LAQU0S07-processed-gene-3.126-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.126&CDS=1-783	YER126C
OG0002348	genemark-LAQU0S07-processed-gene-3.94-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.94&CDS=1-1119	YER127W
OG0002349	genemark-LAQU0S07-processed-gene-3.95-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.95&CDS=1-618	YER128W
OG0002350	genemark-LAQU0S07-processed-gene-3.96-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.96&CDS=1-3426	YER129W
OG0002351	genemark-LAQU0S07-processed-gene-3.127-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.127&CDS=1-2616	YGL180W
OG0002352	genemark-LAQU0S07-processed-gene-3.128-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.128&CDS=1-1059	YGL181W
OG0002353	augustus_masked-LAQU0S07-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.166&CDS=1-687	YGL183C
OG0002354	genemark-LAQU0S07-processed-gene-3.129-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.129&CDS=1-1164	YER130C
OG0002355	genemark-LAQU0S07-processed-gene-3.98-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.98&CDS=1-1380	YGL184C
OG0002356	maker-LAQU0S07-augustus-gene-3.68-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-3.68&CDS=1-2805	YGL186C
OG0002357	genemark-LAQU0S07-processed-gene-3.101-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.101&CDS=1-648	YGL187C
OG0002358	genemark-LAQU0S07-processed-gene-3.103-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.103&CDS=1-1383	YGL190C
OG0002359	maker-LAQU0S07-snap-gene-3.206-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-3.206&CDS=1-1962	YGL192W
OG0002360	genemark-LAQU0S07-processed-gene-3.104-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.104&CDS=1-1347	YGL194C
OG0002361	augustus_masked-LAQU0S07-processed-gene-3.195-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.195&CDS=1-8019	YGL195W
OG0002362	genemark-LAQU0S07-processed-gene-3.106-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.106&CDS=1-606	YGL200C
OG0002363	genemark-LAQU0S07-processed-gene-3.107-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.107&CDS=1-2607	YHL023C
OG0002364	maker-LAQU0S07-snap-gene-3.207-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-3.207&CDS=1-2133	YHL024W
OG0002365	genemark-LAQU0S07-processed-gene-3.135-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.135&CDS=1-2721	YLL026W
OG0002366	genemark-LAQU0S07-processed-gene-3.136-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.136&CDS=1-447	YLL027W
OG0002367	maker-LAQU0S07-augustus-gene-3.73-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-3.73&CDS=1-3810	YLL029W
OG0002368	genemark-LAQU0S07-processed-gene-3.110-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.110&CDS=1-3048	YLL031C
OG0002369	snap_masked-LAQU0S07-processed-gene-3.65-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.65&CDS=1-906	YHL025W
OG0002370	snap_masked-LAQU0S07-processed-gene-3.35-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.35&CDS=1-2109	YLL032C
OG0002371	genemark-LAQU0S07-processed-gene-3.140-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.140&CDS=1-612	YLL033W
OG0002372	genemark-LAQU0S07-processed-gene-3.112-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.112&CDS=1-2457	YLL034C
OG0002373	augustus_masked-LAQU0S07-processed-gene-3.202-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.202&CDS=1-3111	YLL035W
OG0002374	genemark-LAQU0S07-processed-gene-3.142-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.142&CDS=1-558	YHL028W
OG0002375	snap_masked-LAQU0S07-processed-gene-3.39-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.39&CDS=1-1701	YHL029C
OG0002376	maker-LAQU0S07-augustus-gene-3.70-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-3.70&CDS=1-1599	YLL036C
OG0002377	genemark-LAQU0S07-processed-gene-3.115-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.115&CDS=1-765	YLL038C
OG0002378	genemark-LAQU0S08-processed-gene-0.17-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.17&CDS=1-666	YER004W
OG0002379	maker-LAQU0S08-augustus-gene-0.34-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-0.34&CDS=1-7842	YDL240W
OG0002380	genemark-LAQU0S08-processed-gene-0.19-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.19&CDS=1-1533	YNL241C
OG0002381	genemark-LAQU0S08-processed-gene-0.20-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.20&CDS=1-1389	YNL240C
OG0002382	genemark-LAQU0S08-processed-gene-0.5-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.5&CDS=1-2406	YNL238W
OG0002383	genemark-LAQU0S08-processed-gene-0.6-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.6&CDS=1-1260	YNL237W
OG0002384	genemark-LAQU0S08-processed-gene-0.7-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.7&CDS=1-3558	YGR253C
OG0002385	genemark-LAQU0S08-processed-gene-0.21-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.21&CDS=1-1284	YGR252W
OG0002386	genemark-LAQU0S08-processed-gene-0.22-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.22&CDS=1-1893	YHR171W
OG0002387	genemark-LAQU0S08-processed-gene-0.23-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.23&CDS=1-1536	YHR170W
OG0002388	snap_masked-LAQU0S08-processed-gene-0.87-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-0.87&CDS=1-573	YGR251W
OG0002389	maker-LAQU0S08-snap-gene-0.1-mRNA-1_1&gene=maker-LAQU0S08-snap-gene-0.1&CDS=1-2892	YHR169W
OG0002390	maker-LAQU0S08-snap-gene-0.0-mRNA-1_1&gene=maker-LAQU0S08-snap-gene-0.0&CDS=1-9072	YHR165C
OG0002391	snap_masked-LAQU0S08-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-0.72&CDS=1-5499	YHR164C
OG0002392	genemark-LAQU0S08-processed-gene-0.10-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.10&CDS=1-2499	YGR250C
OG0002393	genemark-LAQU0S08-processed-gene-0.27-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.27&CDS=1-1164	YGR249W
OG0002394	genemark-LAQU0S08-processed-gene-0.28-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.28&CDS=1-768	YHR163W
OG0002395	genemark-LAQU0S08-processed-gene-0.29-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.29&CDS=1-1254	YGR244C
OG0002396	maker-LAQU0S08-augustus-gene-0.38-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-0.38&CDS=1-3918	YGR246C
OG0002397	genemark-LAQU0S08-processed-gene-0.12-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.12&CDS=1-645	YGR247W
OG0002398	genemark-LAQU0S08-processed-gene-0.13-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.13&CDS=1-1866	YDL170W
OG0002399	genemark-LAQU0S08-processed-gene-0.32-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.32&CDS=1-525	YLR193C
OG0002400	genemark-LAQU0S08-processed-gene-1.3-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.3&CDS=1-1347	YLR195C
OG0002401	genemark-LAQU0S08-processed-gene-1.0-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.0&CDS=1-1701	YLR196W
OG0002402	augustus_masked-LAQU0S08-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-LAQU0S08-processed-gene-1.59&CDS=1-483	YDL169C
OG0002403	genemark-LAQU0S08-processed-gene-1.1-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.1&CDS=1-1521	YLR197W
OG0002404	snap_masked-LAQU0S08-processed-gene-1.107-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-1.107&CDS=1-810	YLR199C
OG0002405	genemark-LAQU0S08-processed-gene-1.2-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.2&CDS=1-339	YLR200W
OG0002406	genemark-LAQU0S08-processed-gene-1.6-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.6&CDS=1-771	YLR201C
OG0002407	genemark-LAQU0S08-processed-gene-1.7-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.7&CDS=1-1143	YDL168W
OG0002408	maker-LAQU0S08-snap-gene-1.159-mRNA-1_1&gene=maker-LAQU0S08-snap-gene-1.159&CDS=1-1434	YDL167C
OG0002409	genemark-LAQU0S08-processed-gene-1.29-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.29&CDS=1-687	YDL166C
OG0002410	genemark-LAQU0S08-processed-gene-1.8-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.8&CDS=1-570	YDL165W
OG0002411	genemark-LAQU0S08-processed-gene-1.30-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.30&CDS=1-1197	YLR203C
OG0002412	maker-LAQU0S08-augustus-gene-1.53-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-1.53&CDS=1-3060	YDL164C
OG0002413	genemark-LAQU0S08-processed-gene-1.9-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.9&CDS=1-1503	YLR206W
OG0002414	snap_masked-LAQU0S08-processed-gene-1.136-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-1.136&CDS=1-258	YDL160C-A
OG0002415	snap_masked-LAQU0S08-processed-gene-1.112-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-1.112&CDS=1-2121	YLR207W
OG0002416	genemark-LAQU0S08-processed-gene-1.11-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.11&CDS=1-882	YLR208W
OG0002417	genemark-LAQU0S08-processed-gene-1.34-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.34&CDS=1-915	YLR209C
OG0002418	genemark-LAQU0S08-processed-gene-1.35-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.35&CDS=1-1476	YDL160C
OG0002419	genemark-LAQU0S08-processed-gene-1.12-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.12&CDS=1-1383	YDL159W
OG0002420	genemark-LAQU0S08-processed-gene-1.36-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.36&CDS=1-324	YDL157C
OG0002421	genemark-LAQU0S08-processed-gene-1.13-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.13&CDS=1-1533	YDL156W
OG0002422	genemark-LAQU0S08-processed-gene-1.37-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.37&CDS=1-738	YDR391C
OG0002423	genemark-LAQU0S08-processed-gene-1.14-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.14&CDS=1-1326	YDL155W
OG0002424	genemark-LAQU0S08-processed-gene-1.39-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.39&CDS=1-1791	YDL153C
OG0002425	genemark-LAQU0S08-processed-gene-1.15-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.15&CDS=1-1257	YDL150W
OG0002426	augustus_masked-LAQU0S08-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-LAQU0S08-processed-gene-1.71&CDS=1-2763	YDL149W
OG0002427	genemark-LAQU0S08-processed-gene-1.40-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.40&CDS=1-2445	YDL148C
OG0002428	genemark-LAQU0S08-processed-gene-1.17-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.17&CDS=1-1323	YDL147W
OG0002429	snap_masked-LAQU0S08-processed-gene-1.145-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-1.145&CDS=1-579	YLR211C
OG0002430	genemark-LAQU0S08-processed-gene-1.18-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.18&CDS=1-1380	YDL146W
OG0002431	genemark-LAQU0S08-processed-gene-1.42-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.42&CDS=1-1404	YLR212C
OG0002432	maker-LAQU0S08-augustus-gene-1.54-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-1.54&CDS=1-4956	YDL145C
OG0002433	genemark-LAQU0S08-processed-gene-1.19-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.19&CDS=1-2085	YLR214W
OG0002434	genemark-LAQU0S08-processed-gene-1.45-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.45&CDS=1-1092	YLR215C
OG0002435	genemark-LAQU0S08-processed-gene-1.20-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.20&CDS=1-1584	YDL143W
OG0002436	genemark-LAQU0S08-processed-gene-1.46-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.46&CDS=1-579	YDL142C
OG0002437	genemark-LAQU0S08-processed-gene-1.21-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.21&CDS=1-2046	YDL141W
OG0002438	genemark-LAQU0S08-processed-gene-1.47-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.47&CDS=1-5184	YDL140C
OG0002439	genemark-LAQU0S08-processed-gene-1.48-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.48&CDS=1-1110	YLR216C
OG0002440	genemark-LAQU0S08-processed-gene-1.49-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.49&CDS=1-882	YLR218C
OG0002441	augustus_masked-LAQU0S08-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-LAQU0S08-processed-gene-1.77&CDS=1-3888	YDL195W
OG0002442	genemark-LAQU0S08-processed-gene-1.50-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.50&CDS=1-2841	YDL190C
OG0002443	genemark-LAQU0S08-processed-gene-1.27-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.27&CDS=1-981	YDL189W
OG0002444	genemark-LAQU0S08-processed-gene-1.51-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-1.51&CDS=1-600	YDL135C
OG0002445	genemark-LAQU0S08-processed-gene-2.8-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.8&CDS=1-1068	YDL134C
OG0002446	snap_masked-LAQU0S08-processed-gene-2.53-mRNA-1_1&gene=snap_masked-LAQU0S08-processed-gene-2.53&CDS=1-720	YDL186W
OG0002447	genemark-LAQU0S08-processed-gene-2.9-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.9&CDS=1-894	YDL183C
OG0002448	genemark-LAQU0S08-processed-gene-2.7-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.7&CDS=1-3714	YDL132W
OG0002449	genemark-LAQU0S08-processed-gene-2.11-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.11&CDS=1-453	YMR194C-B
OG0002450	augustus_masked-LAQU0S08-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-LAQU0S08-processed-gene-2.119&CDS=1-4041	YMR193W
OG0002451	genemark-LAQU0S08-processed-gene-2.34-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.34&CDS=1-2247	YPL248C
OG0002452	genemark-LAQU0S08-processed-gene-2.12-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.12&CDS=1-4197	YMR190C
OG0002453	genemark-LAQU0S08-processed-gene-2.35-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.35&CDS=1-1752	YAL067C
OG0002454	augustus_masked-LAQU0S08-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-LAQU0S08-processed-gene-2.122&CDS=1-4344	YMR189W
OG0002455	genemark-LAQU0S08-processed-gene-2.13-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.13&CDS=1-687	YMR188C
OG0002456	genemark-LAQU0S08-processed-gene-2.37-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.37&CDS=1-795	YPL246C
OG0002457	genemark-LAQU0S08-processed-gene-2.14-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.14&CDS=1-1311	YPL245W
OG0002458	genemark-LAQU0S08-processed-gene-2.38-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.38&CDS=1-990	YPL244C
OG0002459	maker-LAQU0S08-augustus-gene-2.48-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-2.48&CDS=1-3579	YPL243W
OG0002460	augustus_masked-LAQU0S08-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-LAQU0S08-processed-gene-2.125&CDS=1-5289	YPL242C
OG0002461	genemark-LAQU0S08-processed-gene-2.41-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.41&CDS=1-2856	YMR185W
OG0002462	genemark-LAQU0S08-processed-gene-2.17-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.17&CDS=1-588	YPL239W
OG0002463	genemark-LAQU0S08-processed-gene-2.18-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.18&CDS=1-849	YPL237W
OG0002464	genemark-LAQU0S08-processed-gene-2.43-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.43&CDS=1-1038	YPL236C
OG0002465	genemark-LAQU0S08-processed-gene-2.19-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.19&CDS=1-1410	YPL235W
OG0002466	genemark-LAQU0S08-processed-gene-2.44-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.44&CDS=1-492	YPL234C
OG0002467	genemark-LAQU0S08-processed-gene-2.20-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.20&CDS=1-645	YPL233W
