	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0002059	maker-Arad1C-snap-gene-26.4-mRNA-1_1&gene=maker-Arad1C-snap-gene-26.4&CDS=1-11205	YHR099W
OG0002060	augustus_masked-Arad1C-processed-gene-26.65-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-26.65&CDS=1-1086	YLR181C
OG0002061	maker-Arad1C-augustus-gene-26.128-mRNA-1_1&gene=maker-Arad1C-augustus-gene-26.128&CDS=1-933	YJR007W
OG0002062	maker-Arad1C-augustus-gene-26.129-mRNA-1_1&gene=maker-Arad1C-augustus-gene-26.129&CDS=1-3702	YDR291W
OG0002063	augustus_masked-Arad1C-processed-gene-27.114-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.114&CDS=1-642	YDR486C
OG0002064	augustus_masked-Arad1C-processed-gene-27.118-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.118&CDS=1-924	YOL096C
OG0002065	maker-Arad1C-snap-gene-27.107-mRNA-1_1&gene=maker-Arad1C-snap-gene-27.107&CDS=1-1947	YDR485C
OG0002066	augustus_masked-Arad1C-processed-gene-27.119-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.119&CDS=1-972	YDR214W
OG0002067	augustus_masked-Arad1C-processed-gene-27.116-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.116&CDS=1-1488	YML054C
OG0002068	augustus_masked-Arad1C-processed-gene-27.140-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.140&CDS=1-1671	YDR212W
OG0002069	augustus_masked-Arad1C-processed-gene-27.141-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.141&CDS=1-573	YLR229C
OG0002070	augustus_masked-Arad1C-processed-gene-27.143-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.143&CDS=1-2187	YDR211W
OG0002071	augustus_masked-Arad1C-processed-gene-27.144-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.144&CDS=1-792	YLR393W
OG0002072	augustus_masked-Arad1C-processed-gene-27.146-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.146&CDS=1-900	YLR172C
OG0002073	augustus_masked-Arad1C-processed-gene-27.147-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.147&CDS=1-3294	YBL007C
OG0002074	augustus_masked-Arad1C-processed-gene-27.123-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.123&CDS=1-1065	YPR025C
OG0002075	snap_masked-Arad1C-processed-gene-27.94-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-27.94&CDS=1-2175	YBL097W
OG0002076	augustus_masked-Arad1C-processed-gene-27.125-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.125&CDS=1-3645	YGL192W
OG0002077	augustus_masked-Arad1C-processed-gene-27.126-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.126&CDS=1-5724	YDL140C
OG0002078	augustus_masked-Arad1C-processed-gene-27.151-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.151&CDS=1-1191	YDR019C
OG0002079	augustus_masked-Arad1C-processed-gene-27.152-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.152&CDS=1-393	YOL012C
OG0002080	maker-Arad1C-augustus-gene-27.165-mRNA-1_1&gene=maker-Arad1C-augustus-gene-27.165&CDS=1-855	YBR039W
OG0002081	augustus_masked-Arad1C-processed-gene-27.154-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.154&CDS=1-1095	YBR042C
OG0002082	genemark-Arad1C-processed-gene-27.20-mRNA-1_1&gene=genemark-Arad1C-processed-gene-27.20&CDS=1-1932	YBR043C
OG0002083	augustus_masked-Arad1C-processed-gene-27.131-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.131&CDS=1-1401	YOL013C
OG0002084	augustus_masked-Arad1C-processed-gene-27.156-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.156&CDS=1-1503	YML043C
OG0002085	augustus_masked-Arad1C-processed-gene-27.132-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.132&CDS=1-1014	YJR100C
OG0002086	augustus_masked-Arad1C-processed-gene-27.137-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.137&CDS=1-645	YJR102C
OG0002087	augustus_masked-Arad1C-processed-gene-27.138-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.138&CDS=1-2292	YDR028C
OG0002088	augustus_masked-Arad1C-processed-gene-27.139-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.139&CDS=1-3444	YDR027C
OG0002089	augustus_masked-Arad1C-processed-gene-28.58-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.58&CDS=1-2178	YLL008W
OG0002090	augustus_masked-Arad1C-processed-gene-28.57-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.57&CDS=1-1353	YIL044C
OG0002091	augustus_masked-Arad1C-processed-gene-28.59-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.59&CDS=1-768	YNL110C
OG0002092	snap_masked-Arad1C-processed-gene-28.124-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-28.124&CDS=1-735	YOR111W
OG0002093	augustus_masked-Arad1C-processed-gene-28.63-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.63&CDS=1-456	YML094W
OG0002094	augustus_masked-Arad1C-processed-gene-28.64-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.64&CDS=1-1119	YNL051W
OG0002095	augustus_masked-Arad1C-processed-gene-28.85-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.85&CDS=1-2859	YNL049C
OG0002096	augustus_masked-Arad1C-processed-gene-28.65-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.65&CDS=1-339	YNL135C
OG0002097	augustus_masked-Arad1C-processed-gene-28.86-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.86&CDS=1-699	YNL136W
OG0002098	augustus_masked-Arad1C-processed-gene-28.66-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.66&CDS=1-1638	YNL137C
OG0002099	augustus_masked-Arad1C-processed-gene-28.87-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.87&CDS=1-1698	YNL138W
OG0002100	augustus_masked-Arad1C-processed-gene-28.67-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.67&CDS=1-2187	YNL059C
OG0002101	augustus_masked-Arad1C-processed-gene-28.88-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.88&CDS=1-1752	YNL061W
OG0002102	genemark-Arad1C-processed-gene-28.12-mRNA-1_1&gene=genemark-Arad1C-processed-gene-28.12&CDS=1-1377	YNL062C
OG0002103	augustus_masked-Arad1C-processed-gene-28.89-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.89&CDS=1-654	YNL063W
OG0002104	augustus_masked-Arad1C-processed-gene-28.70-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.70&CDS=1-2592	YLR176C
OG0002105	augustus_masked-Arad1C-processed-gene-28.95-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.95&CDS=1-927	YNL006W
OG0002106	augustus_masked-Arad1C-processed-gene-28.72-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.72&CDS=1-1119	YNL007C
OG0002107	augustus_masked-Arad1C-processed-gene-28.96-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.96&CDS=1-1512	YLR175W
OG0002108	maker-Arad1C-augustus-gene-28.187-mRNA-1_1&gene=maker-Arad1C-augustus-gene-28.187&CDS=1-1344	YCL008C
OG0002109	maker-Arad1C-snap-gene-28.111-mRNA-1_1&gene=maker-Arad1C-snap-gene-28.111&CDS=1-219	YCL005W-A
OG0002110	augustus_masked-Arad1C-processed-gene-28.98-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.98&CDS=1-735	YDR411C
OG0002111	augustus_masked-Arad1C-processed-gene-28.74-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.74&CDS=1-1287	YIR012W
OG0002112	augustus_masked-Arad1C-processed-gene-28.102-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.102&CDS=1-687	YBR256C
OG0002113	augustus_masked-Arad1C-processed-gene-28.75-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.75&CDS=1-1089	YDR047W
OG0002114	augustus_masked-Arad1C-processed-gene-28.104-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.104&CDS=1-1239	YER019W
OG0002115	augustus_masked-Arad1C-processed-gene-28.78-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.78&CDS=1-1170	YGL166W
OG0002116	augustus_masked-Arad1C-processed-gene-28.105-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.105&CDS=1-1644	YGL164C
OG0002117	augustus_masked-Arad1C-processed-gene-28.79-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.79&CDS=1-2076	YDR172W
OG0002118	augustus_masked-Arad1C-processed-gene-28.106-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.106&CDS=1-591	YPR165W
OG0002119	augustus_masked-Arad1C-processed-gene-28.81-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.81&CDS=1-480	YER134C
OG0002120	augustus_masked-Arad1C-processed-gene-28.82-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.82&CDS=1-1362	YNL152W
OG0002121	augustus_masked-Arad1C-processed-gene-28.110-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.110&CDS=1-645	YNL151C
OG0002122	augustus_masked-Arad1C-processed-gene-29.74-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.74&CDS=1-1113	YKL090W
OG0002123	augustus_masked-Arad1C-processed-gene-29.75-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.75&CDS=1-1575	YKL089W
OG0002124	augustus_masked-Arad1C-processed-gene-29.80-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.80&CDS=1-708	YNL148C
OG0002125	maker-Arad1C-augustus-gene-29.0-mRNA-1_1&gene=maker-Arad1C-augustus-gene-29.0&CDS=1-399	YNL147W
OG0002126	genemark-Arad1C-processed-gene-29.135-mRNA-1_1&gene=genemark-Arad1C-processed-gene-29.135&CDS=1-1905	YKL005C
OG0002127	augustus_masked-Arad1C-processed-gene-29.78-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.78&CDS=1-2943	YHL007C
OG0002128	augustus_masked-Arad1C-processed-gene-29.81-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.81&CDS=1-777	YKL007W
OG0002129	augustus_masked-Arad1C-processed-gene-29.104-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.104&CDS=1-291	YKL006C-A
OG0002130	augustus_masked-Arad1C-processed-gene-29.105-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.105&CDS=1-2010	YHL002W
OG0002131	augustus_masked-Arad1C-processed-gene-29.106-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.106&CDS=1-1227	YHL004W
OG0002132	maker-Arad1C-augustus-gene-29.5-mRNA-1_1&gene=maker-Arad1C-augustus-gene-29.5&CDS=1-4686	YKL010C
OG0002133	augustus_masked-Arad1C-processed-gene-29.85-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.85&CDS=1-1122	YNL207W
OG0002134	maker-Arad1C-augustus-gene-29.6-mRNA-1_1&gene=maker-Arad1C-augustus-gene-29.6&CDS=1-690	YKL009W
OG0002135	augustus_masked-Arad1C-processed-gene-29.113-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.113&CDS=1-642	YHR128W
OG0002136	augustus_masked-Arad1C-processed-gene-29.114-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.114&CDS=1-1578	YOR322C
OG0002137	augustus_masked-Arad1C-processed-gene-29.88-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.88&CDS=1-837	YNL284C
OG0002138	augustus_masked-Arad1C-processed-gene-29.117-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.117&CDS=1-1911	YOR014W
OG0002139	augustus_masked-Arad1C-processed-gene-29.119-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.119&CDS=1-4875	YOR326W
OG0002140	augustus_masked-Arad1C-processed-gene-29.89-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.89&CDS=1-1233	YGR083C
OG0002141	augustus_masked-Arad1C-processed-gene-29.121-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.121&CDS=1-327	YKL003C
OG0002142	augustus_masked-Arad1C-processed-gene-29.90-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.90&CDS=1-534	YAL044C
OG0002143	augustus_masked-Arad1C-processed-gene-29.122-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.122&CDS=1-1110	YPL015C
OG0002144	augustus_masked-Arad1C-processed-gene-29.91-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.91&CDS=1-1599	YLR345W
OG0002145	augustus_masked-Arad1C-processed-gene-29.123-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.123&CDS=1-663	YGR036C
OG0002146	augustus_masked-Arad1C-processed-gene-29.124-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.124&CDS=1-1203	YGR187C
OG0002147	maker-Arad1C-augustus-gene-29.2-mRNA-1_1&gene=maker-Arad1C-augustus-gene-29.2&CDS=1-2571	YGR198W
OG0002148	genemark-Arad1C-processed-gene-29.183-mRNA-1_1&gene=genemark-Arad1C-processed-gene-29.183&CDS=1-324	YLL014W
OG0002149	augustus_masked-Arad1C-processed-gene-29.93-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.93&CDS=1-327	YJR034W
OG0002150	maker-Arad1C-augustus-gene-29.3-mRNA-1_1&gene=maker-Arad1C-augustus-gene-29.3&CDS=1-3264	YJR035W
OG0002151	augustus_masked-Arad1C-processed-gene-29.95-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.95&CDS=1-1944	YPR175W
OG0002152	augustus_masked-Arad1C-processed-gene-29.126-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.126&CDS=1-948	YPR176C
OG0002153	snap_masked-Arad1C-processed-gene-29.68-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-29.68&CDS=1-1641	YDR294C
OG0002154	augustus_masked-Arad1C-processed-gene-29.97-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.97&CDS=1-1461	YPR178W
OG0002155	augustus_masked-Arad1C-processed-gene-29.128-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.128&CDS=1-1896	YPR179C
OG0002156	augustus_masked-Arad1C-processed-gene-29.98-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.98&CDS=1-1011	YPR180W
OG0002157	augustus_masked-Arad1C-processed-gene-29.129-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.129&CDS=1-2271	YPR181C
OG0002158	augustus_masked-Arad1C-processed-gene-29.99-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.99&CDS=1-1203	YLR459W
OG0002159	maker-Arad1C-augustus-gene-29.4-mRNA-1_1&gene=maker-Arad1C-augustus-gene-29.4&CDS=1-249	YPR182W
OG0002160	augustus_masked-Arad1C-processed-gene-29.130-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.130&CDS=1-1338	YDR352W
OG0002161	augustus_masked-Arad1C-processed-gene-30.1-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.1&CDS=1-1920	YLR335W
OG0002162	augustus_masked-Arad1C-processed-gene-30.2-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.2&CDS=1-2040	YMR108W
OG0002163	augustus_masked-Arad1C-processed-gene-30.5-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.5&CDS=1-339	YLR295C
OG0002164	augustus_masked-Arad1C-processed-gene-30.7-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.7&CDS=1-1506	YFL016C
OG0002165	augustus_masked-Arad1C-processed-gene-30.34-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.34&CDS=1-1554	YLL019C
OG0002166	augustus_masked-Arad1C-processed-gene-30.13-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.13&CDS=1-1188	YGL048C
OG0002167	augustus_masked-Arad1C-processed-gene-30.18-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.18&CDS=1-1023	YPR110C
OG0002168	augustus_masked-Arad1C-processed-gene-30.20-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.20&CDS=1-2607	YLR138W
OG0002169	augustus_masked-Arad1C-processed-gene-30.38-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.38&CDS=1-2754	YLR129W
OG0002170	maker-Arad1C-snap-gene-30.89-mRNA-1_1&gene=maker-Arad1C-snap-gene-30.89&CDS=1-1542	YDR145W
OG0002171	maker-Arad1C-augustus-gene-30.139-mRNA-1_1&gene=maker-Arad1C-augustus-gene-30.139&CDS=1-732	YLR128W
OG0002172	maker-Arad1C-augustus-gene-30.137-mRNA-1_1&gene=maker-Arad1C-augustus-gene-30.137&CDS=1-615	YBR111C
OG0002173	augustus_masked-Arad1C-processed-gene-30.22-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.22&CDS=1-603	YER163C
OG0002174	augustus_masked-Arad1C-processed-gene-30.23-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.23&CDS=1-1419	YPL097W
OG0002175	augustus_masked-Arad1C-processed-gene-30.42-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.42&CDS=1-6057	YFR019W
OG0002176	augustus_masked-Arad1C-processed-gene-30.24-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.24&CDS=1-1074	YFR018C
OG0002177	maker-Arad1C-augustus-gene-30.138-mRNA-1_1&gene=maker-Arad1C-augustus-gene-30.138&CDS=1-978	YPL096W
OG0002178	augustus_masked-Arad1C-processed-gene-30.26-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.26&CDS=1-3033	YCR011C
OG0002179	augustus_masked-Arad1C-processed-gene-30.27-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.27&CDS=1-759	YLR403W
OG0002180	genemark-Arad1C-processed-gene-30.135-mRNA-1_1&gene=genemark-Arad1C-processed-gene-30.135&CDS=1-774	YMR222C
OG0002181	genemark-Arad1C-processed-gene-30.120-mRNA-1_1&gene=genemark-Arad1C-processed-gene-30.120&CDS=1-2034	YKL155C
OG0002182	augustus_masked-Arad1C-processed-gene-31.0-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.0&CDS=1-1971	YAL048C
OG0002183	augustus_masked-Arad1C-processed-gene-31.1-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.1&CDS=1-717	YPR016C
OG0002184	maker-Arad1C-augustus-gene-31.140-mRNA-1_1&gene=maker-Arad1C-augustus-gene-31.140&CDS=1-5649	YLR305C
OG0002185	augustus_masked-Arad1C-processed-gene-31.25-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.25&CDS=1-756	YLR132C
OG0002186	augustus_masked-Arad1C-processed-gene-31.5-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.5&CDS=1-1335	YDR148C
OG0002187	augustus_masked-Arad1C-processed-gene-31.26-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.26&CDS=1-1533	YLR133W
OG0002188	augustus_masked-Arad1C-processed-gene-31.27-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.27&CDS=1-1878	YHL024W
OG0002189	maker-Arad1C-augustus-gene-31.142-mRNA-1_1&gene=maker-Arad1C-augustus-gene-31.142&CDS=1-567	YLR193C
OG0002190	augustus_masked-Arad1C-processed-gene-31.29-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.29&CDS=1-1998	YHR171W
OG0002191	augustus_masked-Arad1C-processed-gene-31.6-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.6&CDS=1-1419	YGR252W
OG0002192	augustus_masked-Arad1C-processed-gene-31.30-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.30&CDS=1-759	YGR253C
OG0002193	augustus_masked-Arad1C-processed-gene-31.7-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.7&CDS=1-2517	YHR172W
OG0002194	augustus_masked-Arad1C-processed-gene-31.32-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.32&CDS=1-1356	YLR195C
OG0002195	augustus_masked-Arad1C-processed-gene-31.9-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.9&CDS=1-1584	YLR196W
OG0002196	augustus_masked-Arad1C-processed-gene-31.10-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.10&CDS=1-6339	YDL171C
OG0002197	augustus_masked-Arad1C-processed-gene-31.11-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.11&CDS=1-1365	YLR231C
OG0002198	augustus_masked-Arad1C-processed-gene-31.33-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.33&CDS=1-537	YDL166C
OG0002199	augustus_masked-Arad1C-processed-gene-31.12-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.12&CDS=1-1041	YDL165W
OG0002200	augustus_masked-Arad1C-processed-gene-31.13-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.13&CDS=1-3648	YBR023C
OG0002201	augustus_masked-Arad1C-processed-gene-31.34-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.34&CDS=1-4788	YNL297C
OG0002202	augustus_masked-Arad1C-processed-gene-31.15-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.15&CDS=1-1758	YNL293W
OG0002203	augustus_masked-Arad1C-processed-gene-31.36-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.36&CDS=1-582	YOL111C
OG0002204	augustus_masked-Arad1C-processed-gene-31.17-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.17&CDS=1-849	YGR017W
OG0002205	augustus_masked-Arad1C-processed-gene-31.18-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.18&CDS=1-2409	YJL168C
OG0002206	augustus_masked-Arad1C-processed-gene-31.38-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.38&CDS=1-750	YBL064C
OG0002207	maker-Arad1C-augustus-gene-31.143-mRNA-1_1&gene=maker-Arad1C-augustus-gene-31.143&CDS=1-2781	YHR027C
OG0002208	augustus_masked-Arad1C-processed-gene-31.21-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.21&CDS=1-504	YJR025C
OG0002209	augustus_masked-Arad1C-processed-gene-31.42-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.42&CDS=1-2622	YHR028C
OG0002210	augustus_masked-Arad1C-processed-gene-31.43-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.43&CDS=1-1428	YHR030C
OG0002211	augustus_masked-Arad1C-processed-gene-31.22-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.22&CDS=1-429	YOR224C
OG0002212	augustus_masked-Arad1C-processed-gene-31.44-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-31.44&CDS=1-591	YHR026W
OG0002213	augustus_masked-Arad1C-processed-gene-32.124-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.124&CDS=1-741	YGR262C
OG0002214	augustus_masked-Arad1C-processed-gene-32.125-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.125&CDS=1-1485	YHR024C
OG0002215	augustus_masked-Arad1C-processed-gene-32.122-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.122&CDS=1-1056	YHR025W
OG0002216	augustus_masked-Arad1C-processed-gene-32.123-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.123&CDS=1-657	YGR062C
OG0002217	augustus_masked-Arad1C-processed-gene-32.126-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.126&CDS=1-8382	YHR023W
OG0002218	augustus_masked-Arad1C-processed-gene-32.149-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.149&CDS=1-1608	YOR002W
OG0002219	augustus_masked-Arad1C-processed-gene-32.150-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.150&CDS=1-951	YPL069C
OG0002220	augustus_masked-Arad1C-processed-gene-32.152-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.152&CDS=1-999	YOL064C
OG0002221	maker-Arad1C-augustus-gene-32.0-mRNA-1_1&gene=maker-Arad1C-augustus-gene-32.0&CDS=1-2277	YBR200W
OG0002222	augustus_masked-Arad1C-processed-gene-32.131-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.131&CDS=1-720	YJR099W
OG0002223	augustus_masked-Arad1C-processed-gene-32.154-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.154&CDS=1-1392	YPR045C
OG0002224	genemark-Arad1C-processed-gene-32.46-mRNA-1_1&gene=genemark-Arad1C-processed-gene-32.46&CDS=1-477	YBR022W
OG0002225	maker-Arad1C-augustus-gene-32.4-mRNA-1_1&gene=maker-Arad1C-augustus-gene-32.4&CDS=1-1014	YNL290W
OG0002226	augustus_masked-Arad1C-processed-gene-32.134-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.134&CDS=1-1584	YNL291C
OG0002227	augustus_masked-Arad1C-processed-gene-32.157-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.157&CDS=1-2883	YBR196C
OG0002228	augustus_masked-Arad1C-processed-gene-32.158-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.158&CDS=1-1233	YDR331W
