	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0001734	YGR257C	-processed-gene-1.11-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.11&CDS=1-1212
OG0001735	YGR258C	-processed-gene-9.92-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.92&CDS=1-3120
OG0001736	YGR260W	-processed-gene-15.93-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.93&CDS=1-1524
OG0001737	YGR261C	-processed-gene-9.93-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.93&CDS=1-2403
OG0001738	YGR262C	-processed-gene-6.91-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.91&CDS=1-786
OG0001739	YGR264C	-processed-gene-6.12-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.12&CDS=1-2262
OG0001740	YGR266W	-processed-gene-5.31-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.31&CDS=1-2112
OG0001741	YGR267C	-processed-gene-6.84-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.84&CDS=1-825
OG0001742	YGR268C	-processed-gene-6.75-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.75&CDS=1-960
OG0001743	YGR270W	-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.51&CDS=1-5739
OG0001744	YGR271C-A	-processed-gene-6.80-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.80&CDS=1-693
OG0001745	YGR271W	-processed-gene-6.98-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.98&CDS=1-5820
OG0001746	YGR274C	-processed-gene-2.57-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.57&CDS=1-3525
OG0001747	YGR276C	-processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.72&CDS=1-1983
OG0001748	YGR277C	-processed-gene-4.10-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-4.10&CDS=1-915
OG0001749	YGR280C	-processed-gene-7.85-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.85&CDS=1-4122
OG0001750	YGR282C	-processed-gene-11.24-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.24&CDS=1-924
OG0001751	YGR284C	-processed-gene-10.32-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.32&CDS=1-921
OG0001752	YGR285C	-processed-gene-11.16-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.16&CDS=1-1290
OG0001753	YGR286C	-processed-gene-8.115-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.115&CDS=1-1242
OG0001754	YHL002W	-processed-gene-7.25-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.25&CDS=1-1404
OG0001755	YHL004W	-processed-gene-7.26-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.26&CDS=1-1341
OG0001756	YHL007C	-processed-gene-9.28-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-9.28&CDS=1-5406
OG0001757	YHL008C	-processed-gene-8.72-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-8.72&CDS=1-1782
OG0001758	YHL009C	-processed-gene-22.96-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.96&CDS=1-1020
OG0001759	YHL010C	-processed-gene-12.65-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.65&CDS=1-1803
OG0001760	YHL011C	-processed-gene-12.67-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.67&CDS=1-960
OG0001761	YHL013C	-processed-gene-23.68-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-23.68&CDS=1-930
OG0001762	YHL014C	-processed-gene-1.28-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.28&CDS=1-1203
OG0001763	YHL015W	-processed-gene-9.57-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.57&CDS=1-354
OG0001764	YHL016C	-processed-gene-3.75-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-3.75&CDS=1-2175
OG0001765	YHL018W	-processed-gene-1.8-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.8&CDS=1-405
OG0001766	YHL020C	-processed-gene-12.61-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.61&CDS=1-1293
OG0001767	YHL021C	-processed-gene-11.4-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.4&CDS=1-1332
OG0001768	YHL022C	-processed-gene-16.104-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.104&CDS=1-987
OG0001769	YHL023C	-processed-gene-7.50-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-7.50&CDS=1-2313
OG0001770	YHL024W	-processed-gene-9.94-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.94&CDS=1-1854
OG0001771	YHL027W	-processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.31&CDS=1-2439
OG0001772	YHL028W	-processed-gene-4.32-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.32&CDS=1-1422
OG0001773	YHL029C	-processed-gene-3.0-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.0&CDS=1-2079
OG0001774	YHL030W	-processed-gene-2.85-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.85&CDS=1-5574
OG0001775	YHL031C	-processed-gene-13.65-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.65&CDS=1-675
OG0001776	YHL032C	-processed-gene-16.40-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-16.40&CDS=1-1890
OG0001777	YHL036W	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-11.39&CDS=1-1710
OG0001778	YHL040C	-processed-gene-15.70-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.70&CDS=1-1839
OG0001779	YHR001W-A	-processed-gene-23.92-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.92&CDS=1-234
OG0001780	YHR002W	-processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.29&CDS=1-1263
OG0001781	YHR004C	-processed-gene-13.102-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.102&CDS=1-1452
OG0001782	YHR005C	-processed-gene-16.112-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.112&CDS=1-1299
OG0001783	YHR005C-A	-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.94&CDS=1-270
OG0001784	YHR007C	-processed-gene-22.86-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.86&CDS=1-1572
OG0001785	YHR009C	-processed-gene-15.105-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.105&CDS=1-1599
OG0001786	YHR012W	-processed-gene-27.101-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.101&CDS=1-948
OG0001787	YHR013C	-processed-gene-1.121-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.121&CDS=1-648
OG0001788	YHR018C	-processed-gene-10.29-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.29&CDS=1-1395
OG0001789	YHR019C	-processed-gene-10.30-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.30&CDS=1-1656
OG0001790	YHR020W	-processed-gene-10.17-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.17&CDS=1-2070
OG0001791	YHR023W	-processed-gene-22.106-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.106&CDS=1-5796
OG0001792	YHR024C	-processed-gene-22.92-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.92&CDS=1-1530
OG0001793	YHR025W	-snap-gene-22.37-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-22.37&CDS=1-2448
OG0001794	YHR026W	-processed-gene-9.68-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-9.68&CDS=1-588
OG0001795	YHR027C	-processed-gene-9.79-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-9.79&CDS=1-2925
OG0001796	YHR029C	-processed-gene-29.26-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.26&CDS=1-885
OG0001797	YHR030C	-processed-gene-18.144-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-18.144&CDS=1-1782
OG0001798	YHR031C	-processed-gene-18.93-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-18.93&CDS=1-2109
OG0001799	YHR032W	-processed-gene-14.24-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.24&CDS=1-1755
OG0001800	YHR034C	-processed-gene-1.146-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.146&CDS=1-1077
OG0001801	YHR036W	-processed-gene-18.107-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.107&CDS=1-1590
OG0001802	YHR037W	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.77&CDS=1-1797
OG0001803	YHR038W	-processed-gene-18.123-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.123&CDS=1-774
OG0001804	YHR039C	-processed-gene-8.7-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.7&CDS=1-1848
OG0001805	YHR039C-A	-processed-gene-8.22-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.22&CDS=1-342
OG0001806	YHR040W	-processed-gene-9.104-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-9.104&CDS=1-1143
OG0001807	YHR041C	-processed-gene-13.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.95&CDS=1-711
OG0001808	YHR042W	-processed-gene-10.4-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.4&CDS=1-2028
OG0001809	YHR045W	-processed-gene-16.113-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.113&CDS=1-1551
OG0001810	YHR049W	-processed-gene-4.74-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.74&CDS=1-813
OG0001811	YHR051W	-processed-gene-18.56-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-18.56&CDS=1-450
OG0001812	YHR052W	-processed-gene-6.81-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-6.81&CDS=1-1236
OG0001813	YHR058C	-processed-gene-0.70-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-0.70&CDS=1-924
OG0001814	YHR059W	-processed-gene-26.87-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-26.87&CDS=1-546
OG0001815	YHR062C	-processed-gene-9.35-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.35&CDS=1-930
OG0001816	YHR063C	-processed-gene-15.85-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.85&CDS=1-1059
OG0001817	YHR064C	-processed-gene-7.25-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.25&CDS=1-1632
OG0001818	YHR065C	-processed-gene-18.107-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-18.107&CDS=1-1437
OG0001819	YHR067W	-processed-gene-9.115-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.115&CDS=1-897
OG0001820	YHR068W	-processed-gene-5.100-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-5.100&CDS=1-1140
OG0001821	YHR069C	-processed-gene-9.107-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.107&CDS=1-1059
OG0001822	YHR070W	-processed-gene-9.84-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.84&CDS=1-1491
OG0001823	YHR071W	-processed-gene-16.110-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.110&CDS=1-957
OG0001824	YHR072W	-processed-gene-13.98-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.98&CDS=1-2184
OG0001825	YHR072W-A	-processed-gene-9.25-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.25&CDS=1-177
OG0001826	YHR073W	-processed-gene-9.91-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.91&CDS=1-2694
OG0001827	YHR074W	-processed-gene-3.115-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.115&CDS=1-2139
OG0001828	YHR075C	-processed-gene-3.97-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.97&CDS=1-1224
OG0001829	YHR076W	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002316362|dbj|BCGS01000011.1|-processed-gene-0.34&CDS=1-1152
OG0001830	YHR077C	-processed-gene-19.71-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.71&CDS=1-3144
OG0001831	YHR078W	-processed-gene-1.33-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.33&CDS=1-1959
OG0001832	YHR079C	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.41&CDS=1-3567
OG0001833	YHR081W	-processed-gene-2.62-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.62&CDS=1-618
OG0001834	YHR082C	-processed-gene-1.73-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.73&CDS=1-2544
OG0001835	YHR083W	-processed-gene-16.36-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.36&CDS=1-981
OG0001836	YHR084W	-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.106&CDS=1-1803
OG0001837	YHR085W	-processed-gene-18.124-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.124&CDS=1-1131
OG0001838	YHR086W	-processed-gene-8.8-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.8&CDS=1-1452
OG0001839	YHR087W	-processed-gene-8.5-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.5&CDS=1-336
OG0001840	YHR088W	-processed-gene-9.101-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.101&CDS=1-888
OG0001841	YHR089C	-processed-gene-6.37-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.37&CDS=1-630
OG0001842	YHR090C	-processed-gene-18.36-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-18.36&CDS=1-924
OG0001843	YHR098C	-processed-gene-18.35-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-18.35&CDS=1-3036
OG0001844	YHR099W	-processed-gene-7.15-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.15&CDS=1-11703
OG0001845	YHR100C	-processed-gene-7.75-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.75&CDS=1-642
OG0001846	YHR102W	-processed-gene-14.33-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.33&CDS=1-2694
OG0001847	YHR104W	-processed-gene-8.1-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-8.1&CDS=1-969
OG0001848	YHR107C	-processed-gene-9.32-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.32&CDS=1-1185
OG0001849	YHR108W	-processed-gene-9.101-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.101&CDS=1-1707
OG0001850	YHR109W	-processed-gene-0.31-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.31&CDS=1-1740
OG0001851	YHR110W	-processed-gene-15.128-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.128&CDS=1-654
OG0001852	YHR111W	-processed-gene-15.127-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.127&CDS=1-1344
OG0001853	YHR112C	-processed-gene-17.105-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.105&CDS=1-1149
OG0001854	YHR113W	-processed-gene-15.106-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.106&CDS=1-1473
OG0001855	YHR114W	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-0.17&CDS=1-1866
OG0001856	YHR116W	-processed-gene-19.91-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.91&CDS=1-381
OG0001857	YHR118C	-processed-gene-11.59-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.59&CDS=1-1143
OG0001858	YHR119W	-processed-gene-11.43-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.43&CDS=1-3498
OG0001859	YHR120W	-processed-gene-18.16-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.16&CDS=1-2877
OG0001860	YHR121W	-processed-gene-12.88-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.88&CDS=1-693
OG0001861	YHR122W	-processed-gene-13.34-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.34&CDS=1-702
OG0001862	YHR128W	-processed-gene-15.88-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.88&CDS=1-654
OG0001863	YHR132C	-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.23&CDS=1-1875
OG0001864	YHR134W	-processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.88&CDS=1-1572
OG0001865	YHR140W	-processed-gene-25.80-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.80&CDS=1-705
OG0001866	YHR142W	-processed-gene-23.33-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.33&CDS=1-924
OG0001867	YHR143W-A	-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.80&CDS=1-219
OG0001868	YHR144C	-processed-gene-4.11-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.11&CDS=1-1170
OG0001869	YHR147C	-processed-gene-6.6-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.6&CDS=1-681
OG0001870	YHR148W	-processed-gene-6.24-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.24&CDS=1-549
OG0001871	YHR150W	-processed-gene-11.46-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-11.46&CDS=1-1722
OG0001872	YHR151C	-processed-gene-4.81-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.81&CDS=1-1716
OG0001873	YHR154W	-processed-gene-3.108-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.108&CDS=1-2577
OG0001874	YHR156C	-processed-gene-3.78-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.78&CDS=1-1245
OG0001875	YHR164C	-processed-gene-5.61-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-5.61&CDS=1-4629
OG0001876	YHR165C	-snap-gene-7.94-mRNA-1_1&gene=maker-gi|1002316365|dbj|BCGS01000008.1|-snap-gene-7.94&CDS=1-9012
OG0001877	YHR168W	-processed-gene-14.75-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.75&CDS=1-1680
OG0001878	YHR169W	-processed-gene-14.92-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.92&CDS=1-1347
OG0001879	YHR170W	-processed-gene-13.88-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.88&CDS=1-1560
OG0001880	YHR171W	-processed-gene-13.89-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.89&CDS=1-1959
OG0001881	YHR172W	-processed-gene-13.90-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.90&CDS=1-2580
OG0001882	YHR175W	-processed-gene-15.102-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.102&CDS=1-498
OG0001883	YHR178W	-processed-gene-25.6-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.6&CDS=1-2079
OG0001884	YHR181W	-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.104&CDS=1-648
OG0001885	YHR186C	-processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.10&CDS=1-4269
OG0001886	YHR187W	-processed-gene-10.3-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.3&CDS=1-912
OG0001887	YHR188C	-processed-gene-10.19-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.19&CDS=1-1824
OG0001888	YHR189W	-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-4.36&CDS=1-705
OG0001889	YHR190W	-processed-gene-17.102-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.102&CDS=1-1332
OG0001890	YHR191C	-processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.39&CDS=1-468
OG0001891	YHR193C	-processed-gene-10.72-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.72&CDS=1-549
OG0001892	YHR194W	-processed-gene-13.79-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.79&CDS=1-1743
OG0001893	YHR197W	-processed-gene-9.32-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-9.32&CDS=1-2148
OG0001894	YHR200W	-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-5.64&CDS=1-2337
OG0001895	YHR201C	-processed-gene-5.87-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-5.87&CDS=1-1245
OG0001896	YHR205W	-processed-gene-22.33-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.33&CDS=1-2364
OG0001897	YHR206W	-processed-gene-24.85-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.85&CDS=1-1638
OG0001898	YHR207C	-processed-gene-16.131-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.131&CDS=1-1437
OG0001899	YIL001W	-processed-gene-3.7-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-3.7&CDS=1-1887
OG0001900	YIL002C	-processed-gene-14.35-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-14.35&CDS=1-3201
OG0001901	YIL003W	-processed-gene-13.31-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.31&CDS=1-900
OG0001902	YIL004C	-processed-gene-13.17-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.17&CDS=1-432
OG0001903	YIL005W	-processed-gene-13.13-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.13&CDS=1-2391
OG0001904	YIL007C	-augustus-gene-24.4-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-augustus-gene-24.4&CDS=1-2202
OG0001905	YIL008W	-processed-gene-24.116-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-24.116&CDS=1-303
