	Kazachstania_naganishii	Saccharomyces_cerevisiae
OG0002417	snap_masked-HE978319-processed-gene-1.127-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.127&CDS=1-2376	YNL224C
OG0002418	genemark-HE978319-processed-gene-1.19-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.19&CDS=1-1344	YNL223W
OG0002419	genemark-HE978319-processed-gene-1.20-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.20&CDS=1-627	YNL222W
OG0002420	augustus_masked-HE978319-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-1.83&CDS=1-3879	YNL219C
OG0002421	genemark-HE978319-processed-gene-1.21-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.21&CDS=1-1767	YNL218W
OG0002422	snap_masked-HE978319-processed-gene-1.105-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.105&CDS=1-963	YNL217W
OG0002423	genemark-HE978319-processed-gene-1.23-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.23&CDS=1-2256	YNL216W
OG0002424	augustus_masked-HE978319-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-1.65&CDS=1-627	YNL214W
OG0002425	genemark-HE978319-processed-gene-1.46-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.46&CDS=1-705	YNL213C
OG0002426	genemark-HE978319-processed-gene-1.26-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.26&CDS=1-2394	YNL212W
OG0002427	snap_masked-HE978319-processed-gene-1.110-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.110&CDS=1-1101	YDL232W
OG0002428	genemark-HE978319-processed-gene-2.54-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.54&CDS=1-1284	YNL207W
OG0002429	genemark-HE978319-processed-gene-2.56-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.56&CDS=1-1347	YNL206C
OG0002430	genemark-HE978319-processed-gene-2.55-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.55&CDS=1-888	YNL202W
OG0002431	genemark-HE978319-processed-gene-2.57-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.57&CDS=1-2556	YNL201C
OG0002432	genemark-HE978319-processed-gene-2.58-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.58&CDS=1-720	YNL200C
OG0002433	genemark-HE978319-processed-gene-2.60-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.60&CDS=1-1905	YNL197C
OG0002434	snap_masked-HE978319-processed-gene-2.8-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.8&CDS=1-1425	YNL193W
OG0002435	genemark-HE978319-processed-gene-2.62-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.62&CDS=1-3351	YNL192W
OG0002436	genemark-HE978319-processed-gene-2.63-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.63&CDS=1-1101	YNL191W
OG0002437	genemark-HE978319-processed-gene-2.65-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.65&CDS=1-1626	YNL189W
OG0002438	genemark-HE978319-processed-gene-2.67-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.67&CDS=1-1287	YNL187W
OG0002439	genemark-HE978319-processed-gene-2.68-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.68&CDS=1-2352	YNL186W
OG0002440	genemark-HE978319-processed-gene-2.84-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.84&CDS=1-447	YNL185C
OG0002441	genemark-HE978319-processed-gene-2.85-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.85&CDS=1-2586	YNL183C
OG0002442	genemark-HE978319-processed-gene-2.86-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.86&CDS=1-1620	YNL182C
OG0002443	genemark-HE978319-processed-gene-2.69-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.69&CDS=1-1179	YNL181W
OG0002444	genemark-HE978319-processed-gene-2.87-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.87&CDS=1-1005	YNL180C
OG0002445	genemark-HE978319-processed-gene-2.70-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.70&CDS=1-747	YNL178W
OG0002446	genemark-HE978319-processed-gene-2.88-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.88&CDS=1-882	YNL177C
OG0002447	snap_masked-HE978319-processed-gene-2.36-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.36&CDS=1-1821	YNL176C
OG0002448	genemark-HE978319-processed-gene-2.90-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.90&CDS=1-1245	YNL175C
OG0002449	snap_masked-HE978319-processed-gene-2.16-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.16&CDS=1-4980	YNL172W
OG0002450	snap_masked-HE978319-processed-gene-2.39-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.39&CDS=1-1575	YNL169C
OG0002451	genemark-HE978319-processed-gene-2.93-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.93&CDS=1-771	YNL168C
OG0002452	snap_masked-HE978319-processed-gene-2.41-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.41&CDS=1-915	YNL166C
OG0002453	snap_masked-HE978319-processed-gene-2.17-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.17&CDS=1-1068	YNL165W
OG0002454	genemark-HE978319-processed-gene-2.96-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.96&CDS=1-1203	YNL164C
OG0002455	genemark-HE978319-processed-gene-2.97-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.97&CDS=1-3345	YNL163C
OG0002456	snap_masked-HE978319-processed-gene-2.18-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.18&CDS=1-252	YNL162W-A
OG0002457	genemark-HE978319-processed-gene-2.74-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.74&CDS=1-2322	YNL161W
OG0002458	snap_masked-HE978319-processed-gene-2.22-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.22&CDS=1-1557	YNL142W
OG0002459	augustus_masked-HE978319-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-2.146&CDS=1-1404	YNL141W
OG0002460	snap_masked-HE978319-processed-gene-2.46-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.46&CDS=1-792	YNL155W
OG0002461	snap_masked-HE978319-processed-gene-2.24-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.24&CDS=1-846	YNL156C
OG0002462	snap_masked-HE978319-processed-gene-2.25-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-2.25&CDS=1-939	YNL159C
OG0002463	genemark-HE978319-processed-gene-2.103-mRNA-1_1&gene=genemark-HE978319-processed-gene-2.103&CDS=1-3186	YMR196W
OG0002464	maker-HE978319-augustus-gene-3.0-mRNA-1_1&gene=maker-HE978319-augustus-gene-3.0&CDS=1-3153	YMR193W
OG0002465	genemark-HE978319-processed-gene-3.46-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.46&CDS=1-3111	YMR189W
OG0002466	genemark-HE978319-processed-gene-3.47-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.47&CDS=1-696	YMR188C
OG0002467	augustus_masked-HE978319-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.88&CDS=1-1383	YMR187C
OG0002468	genemark-HE978319-processed-gene-3.66-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.66&CDS=1-2919	YMR185W
OG0002469	augustus_masked-HE978319-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.106&CDS=1-573	YMR184W
OG0002470	genemark-HE978319-processed-gene-3.49-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.49&CDS=1-1239	YMR182C
OG0002471	augustus_masked-HE978319-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.107&CDS=1-2139	YMR179W
OG0002472	genemark-HE978319-processed-gene-3.51-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.51&CDS=1-3504	YPL226W
OG0002473	genemark-HE978319-processed-gene-3.69-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.69&CDS=1-819	YMR178W
OG0002474	genemark-HE978319-processed-gene-3.52-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.52&CDS=1-447	YPL225W
OG0002475	augustus_masked-HE978319-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.110&CDS=1-4383	YMR176W
OG0002476	augustus_masked-HE978319-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.113&CDS=1-1674	YMR172W
OG0002477	snap_masked-HE978319-processed-gene-3.33-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-3.33&CDS=1-945	YGL138C
OG0002478	snap_masked-HE978319-processed-gene-3.13-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-3.13&CDS=1-2733	YGL137W
OG0002479	genemark-HE978319-processed-gene-3.74-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.74&CDS=1-927	YGL136C
OG0002480	genemark-HE978319-processed-gene-3.58-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.58&CDS=1-3627	YGL133W
OG0002481	snap_masked-HE978319-processed-gene-3.35-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-3.35&CDS=1-4326	YGL131C
OG0002482	genemark-HE978319-processed-gene-3.59-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.59&CDS=1-1371	YGL130W
OG0002483	genemark-HE978319-processed-gene-3.76-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.76&CDS=1-2352	YGL129C
OG0002484	augustus_masked-HE978319-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.100&CDS=1-3162	YGL065C
OG0002485	genemark-HE978319-processed-gene-3.77-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.77&CDS=1-2121	YGL066W
OG0002486	augustus_masked-HE978319-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.118&CDS=1-1275	YGL067W
OG0002487	genemark-HE978319-processed-gene-3.62-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.62&CDS=1-1353	YPL204W
OG0002488	genemark-HE978319-processed-gene-3.79-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.79&CDS=1-558	YGL068W
OG0002489	genemark-HE978319-processed-gene-3.63-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.63&CDS=1-366	YGL070C
OG0002490	genemark-HE978319-processed-gene-3.81-mRNA-1_1&gene=genemark-HE978319-processed-gene-3.81&CDS=1-2313	YGL073W
OG0002491	genemark-HE978319-processed-gene-4.7-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.7&CDS=1-1599	YGL078C
OG0002492	genemark-HE978319-processed-gene-4.8-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.8&CDS=1-675	YGL079W
OG0002493	maker-HE978319-augustus-gene-4.4-mRNA-1_1&gene=maker-HE978319-augustus-gene-4.4&CDS=1-3252	YGL083W
OG0002494	genemark-HE978319-processed-gene-4.35-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.35&CDS=1-2127	YGL086W
OG0002495	genemark-HE978319-processed-gene-4.12-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.12&CDS=1-414	YGL087C
OG0002496	augustus_masked-HE978319-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-4.85&CDS=1-1173	YGL090W
OG0002497	genemark-HE978319-processed-gene-4.14-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.14&CDS=1-996	YGL091C
OG0002498	snap_masked-HE978319-processed-gene-4.137-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-4.137&CDS=1-3966	YGL092W
OG0002499	snap_masked-HE978319-processed-gene-4.138-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-4.138&CDS=1-2622	YGL093W
OG0002500	genemark-HE978319-processed-gene-4.15-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.15&CDS=1-3342	YGL094C
OG0002501	genemark-HE978319-processed-gene-4.16-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.16&CDS=1-636	YPL178W
OG0002502	genemark-HE978319-processed-gene-4.39-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.39&CDS=1-1422	YGL097W
OG0002503	genemark-HE978319-processed-gene-4.40-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.40&CDS=1-765	YGL098W
OG0002504	augustus_masked-HE978319-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-4.90&CDS=1-1068	YGL100W
OG0002505	genemark-HE978319-processed-gene-4.43-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.43&CDS=1-423	YGL106W
OG0002506	genemark-HE978319-processed-gene-4.21-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.21&CDS=1-1752	YGL110C
OG0002507	genemark-HE978319-processed-gene-4.22-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.22&CDS=1-1164	YBR234C
OG0002508	snap_masked-HE978319-processed-gene-4.145-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-4.145&CDS=1-252	YBR233W-A
OG0002509	genemark-HE978319-processed-gene-4.23-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.23&CDS=1-1665	YGL112C
OG0002510	snap_masked-HE978319-processed-gene-4.146-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-4.146&CDS=1-1563	YGL113W
OG0002511	genemark-HE978319-processed-gene-4.46-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.46&CDS=1-1533	YBR233W
OG0002512	genemark-HE978319-processed-gene-4.47-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.47&CDS=1-2268	YGL114W
OG0002513	genemark-HE978319-processed-gene-4.48-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.48&CDS=1-975	YGL115W
OG0002514	genemark-HE978319-processed-gene-4.49-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.49&CDS=1-1923	YGL116W
OG0002515	genemark-HE978319-processed-gene-4.51-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.51&CDS=1-1683	YGL119W
OG0002516	snap_masked-HE978319-processed-gene-4.124-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-4.124&CDS=1-2301	YGL120C
OG0002517	genemark-HE978319-processed-gene-4.25-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.25&CDS=1-429	YGL121C
OG0002518	genemark-HE978319-processed-gene-4.26-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.26&CDS=1-1710	YGL122C
OG0002519	genemark-HE978319-processed-gene-4.52-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.52&CDS=1-774	YGL123W
OG0002520	genemark-HE978319-processed-gene-4.27-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.27&CDS=1-1974	YGL124C
OG0002521	genemark-HE978319-processed-gene-4.53-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.53&CDS=1-1830	YGL125W
OG0002522	genemark-HE978319-processed-gene-4.54-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.54&CDS=1-753	YGL126W
OG0002523	genemark-HE978319-processed-gene-4.28-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.28&CDS=1-444	YGL127C
OG0002524	augustus_masked-HE978319-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-4.103&CDS=1-633	YGL061C
OG0002525	augustus_masked-HE978319-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-4.81&CDS=1-2172	YGL060W
OG0002526	augustus_masked-HE978319-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-4.82&CDS=1-1968	YGL059W
OG0002527	genemark-HE978319-processed-gene-4.33-mRNA-1_1&gene=genemark-HE978319-processed-gene-4.33&CDS=1-2352	YJL029C
OG0002528	genemark-HE978319-processed-gene-5.44-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.44&CDS=1-2286	YJL033W
OG0002529	genemark-HE978319-processed-gene-5.45-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.45&CDS=1-2049	YJL034W
OG0002530	genemark-HE978319-processed-gene-5.42-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.42&CDS=1-837	YJL035C
OG0002531	genemark-HE978319-processed-gene-5.46-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.46&CDS=1-1215	YJL036W
OG0002532	genemark-HE978319-processed-gene-5.43-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.43&CDS=1-1296	YLL002W
OG0002533	genemark-HE978319-processed-gene-5.48-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.48&CDS=1-3003	YHR027C
OG0002534	genemark-HE978319-processed-gene-5.67-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.67&CDS=1-648	YHR026W
OG0002535	genemark-HE978319-processed-gene-5.68-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.68&CDS=1-1083	YHR025W
OG0002536	genemark-HE978319-processed-gene-5.49-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.49&CDS=1-1413	YHR024C
OG0002537	genemark-HE978319-processed-gene-5.69-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.69&CDS=1-5609	YHR023W
OG0002538	snap_masked-HE978319-processed-gene-5.8-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-5.8&CDS=1-954	YHR022C
OG0002539	genemark-HE978319-processed-gene-5.51-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.51&CDS=1-456	YMR052W
OG0002540	genemark-HE978319-processed-gene-5.70-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.70&CDS=1-744	YKL152C
OG0002541	genemark-HE978319-processed-gene-5.71-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.71&CDS=1-1026	YKL151C
OG0002542	genemark-HE978319-processed-gene-5.52-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.52&CDS=1-906	YKL150W
OG0002543	genemark-HE978319-processed-gene-5.72-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.72&CDS=1-1224	YKL149C
OG0002544	augustus_masked-HE978319-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-5.118&CDS=1-1854	YLR267W
OG0002545	augustus_masked-HE978319-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-5.99&CDS=1-2238	YLR266C
OG0002546	genemark-HE978319-processed-gene-5.54-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.54&CDS=1-642	YLR268W
OG0002547	genemark-HE978319-processed-gene-5.55-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.55&CDS=1-1092	YLR270W
OG0002548	genemark-HE978319-processed-gene-5.56-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.56&CDS=1-642	YLR271W
OG0002549	genemark-HE978319-processed-gene-5.57-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.57&CDS=1-2862	YOR005C
OG0002550	maker-HE978319-augustus-gene-5.133-mRNA-1_1&gene=maker-HE978319-augustus-gene-5.133&CDS=1-2229	YOR002W
OG0002551	genemark-HE978319-processed-gene-5.76-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.76&CDS=1-366	YOL005C
OG0002552	genemark-HE978319-processed-gene-5.59-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.59&CDS=1-4437	YOL004W
OG0002553	genemark-HE978319-processed-gene-5.77-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.77&CDS=1-1158	YOL003C
OG0002554	snap_masked-HE978319-processed-gene-5.34-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-5.34&CDS=1-201	YLR264W
OG0002555	genemark-HE978319-processed-gene-5.62-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.62&CDS=1-2286	YLR274W
OG0002556	genemark-HE978319-processed-gene-5.63-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.63&CDS=1-396	YLR275W
OG0002557	maker-HE978319-snap-gene-5.86-mRNA-1_1&gene=maker-HE978319-snap-gene-5.86&CDS=1-4293	YLR277C
OG0002558	genemark-HE978319-processed-gene-5.83-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.83&CDS=1-459	YLR281C
OG0002559	genemark-HE978319-processed-gene-5.64-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.64&CDS=1-768	YLR283W
OG0002560	genemark-HE978319-processed-gene-5.65-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.65&CDS=1-774	YLR285W
OG0002561	genemark-HE978319-processed-gene-5.85-mRNA-1_1&gene=genemark-HE978319-processed-gene-5.85&CDS=1-1722	YLR286C
OG0002562	snap_masked-HE978319-processed-gene-6.11-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.11&CDS=1-1065	YLR287C
OG0002563	genemark-HE978319-processed-gene-6.108-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.108&CDS=1-1503	YLR288C
OG0002564	genemark-HE978319-processed-gene-6.105-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.105&CDS=1-1794	YLR289W
OG0002565	genemark-HE978319-processed-gene-6.109-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.109&CDS=1-822	YLR290C
OG0002566	genemark-HE978319-processed-gene-6.110-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.110&CDS=1-1161	YLR291C
OG0002567	genemark-HE978319-processed-gene-6.111-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.111&CDS=1-582	YLR292C
OG0002568	genemark-HE978319-processed-gene-6.112-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.112&CDS=1-660	YLR293C
OG0002569	genemark-HE978319-processed-gene-6.158-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.158&CDS=1-621	YLR298C
OG0002570	genemark-HE978319-processed-gene-6.113-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.113&CDS=1-1818	YLR299W
OG0002571	genemark-HE978319-processed-gene-6.114-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.114&CDS=1-1233	YLR300W
OG0002572	genemark-HE978319-processed-gene-6.115-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.115&CDS=1-729	YLR301W
OG0002573	genemark-HE978319-processed-gene-6.116-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.116&CDS=1-426	YGL054C
OG0002574	genemark-HE978319-processed-gene-6.159-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.159&CDS=1-1467	YGL055W
OG0002575	genemark-HE978319-processed-gene-6.160-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.160&CDS=1-5067	YJL039C
OG0002576	genemark-HE978319-processed-gene-6.161-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.161&CDS=1-795	YKL154W
OG0002577	genemark-HE978319-processed-gene-6.118-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.118&CDS=1-1776	YKL155C
OG0002578	snap_masked-HE978319-processed-gene-6.67-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.67&CDS=1-621	YKL159C
OG0002579	genemark-HE978319-processed-gene-6.120-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.120&CDS=1-1014	YDR279W
OG0002580	genemark-HE978319-processed-gene-6.164-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.164&CDS=1-873	YDR288W
OG0002581	genemark-HE978319-processed-gene-6.165-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.165&CDS=1-888	YDR287W
OG0002582	snap_masked-HE978319-processed-gene-6.26-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.26&CDS=1-225	YDR286C
OG0002583	snap_masked-HE978319-processed-gene-6.71-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.71&CDS=1-2625	YDR285W
OG0002584	genemark-HE978319-processed-gene-6.122-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.122&CDS=1-930	YDR284C
OG0002585	genemark-HE978319-processed-gene-6.123-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.123&CDS=1-4977	YDR283C
OG0002586	snap_masked-HE978319-processed-gene-6.30-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.30&CDS=1-3444	YDR307W
OG0002587	genemark-HE978319-processed-gene-6.168-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.168&CDS=1-423	YDR308C
OG0002588	genemark-HE978319-processed-gene-6.127-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.127&CDS=1-795	YPR040W
OG0002589	snap_masked-HE978319-processed-gene-6.75-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.75&CDS=1-1128	YJR088C
OG0002590	genemark-HE978319-processed-gene-6.128-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.128&CDS=1-1209	YPR041W
OG0002591	genemark-HE978319-processed-gene-6.170-mRNA-1_1&gene=genemark-HE978319-processed-gene-6.170&CDS=1-1644	YBR008C
