	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0001811	genemark-scaffold_18-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.72&CDS=1-6081	YKR095W
OG0001812	genemark-scaffold_18-processed-gene-1.73-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.73&CDS=1-708	YER004W
OG0001813	genemark-scaffold_18-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.41&CDS=1-1032	YFL044C
OG0001814	genemark-scaffold_18-processed-gene-1.74-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.74&CDS=1-750	YGR033C
OG0001815	genemark-scaffold_18-processed-gene-1.45-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.45&CDS=1-597	YMR138W
OG0001816	genemark-scaffold_18-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.46&CDS=1-1683	YLR345W
OG0001817	genemark-scaffold_18-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.75&CDS=1-2592	YLR347C
OG0001818	genemark-scaffold_18-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.48&CDS=1-717	YGR036C
OG0001819	genemark-scaffold_18-processed-gene-1.51-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.51&CDS=1-726	YLR051C
OG0001820	genemark-scaffold_19-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.11&CDS=1-903	YDL065C
OG0001821	genemark-scaffold_19-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.41&CDS=1-1215	YLR387C
OG0001822	maker-scaffold_19-snap-gene-0.5-mRNA-1_1&gene=maker-scaffold_19-snap-gene-0.5&CDS=1-264	YLR390W
OG0001823	genemark-scaffold_19-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.13&CDS=1-1911	YDL063C
OG0001824	genemark-scaffold_19-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.43&CDS=1-468	YDL064W
OG0001825	snap_masked-scaffold_19-processed-gene-0.127-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-0.127&CDS=1-3246	YKL057C
OG0001826	augustus_masked-scaffold_19-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.69&CDS=1-3264	YLR389C
OG0001827	genemark-scaffold_19-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.15&CDS=1-1359	YMR027W
OG0001828	genemark-scaffold_19-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.16&CDS=1-927	YMR241W
OG0001829	genemark-scaffold_19-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.44&CDS=1-1698	YNL115C
OG0001830	genemark-scaffold_19-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.18&CDS=1-1794	YOR134W
OG0001831	genemark-scaffold_19-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.19&CDS=1-2655	YNL118C
OG0001832	genemark-scaffold_19-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.21&CDS=1-987	YGL212W
OG0001833	genemark-scaffold_19-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.22&CDS=1-759	YLR390W-A
OG0001834	genemark-scaffold_19-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.23&CDS=1-1524	YKR063C
OG0001835	genemark-scaffold_19-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.47&CDS=1-2370	YLR386W
OG0001836	maker-scaffold_19-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_19-snap-gene-0.6&CDS=1-2658	YJL154C
OG0001837	genemark-scaffold_19-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.49&CDS=1-2337	YLR397C
OG0001838	genemark-scaffold_19-processed-gene-0.50-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.50&CDS=1-1590	YDR376W
OG0001839	genemark-scaffold_19-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.32&CDS=1-1137	YOR196C
OG0001840	genemark-scaffold_19-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.51&CDS=1-2298	YDL060W
OG0001841	genemark-scaffold_19-processed-gene-0.52-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.52&CDS=1-960	YDR202C
OG0001842	genemark-scaffold_19-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.33&CDS=1-1143	YNL206C
OG0001843	genemark-scaffold_19-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.35&CDS=1-1224	YNL207W
OG0001844	genemark-scaffold_19-processed-gene-0.57-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.57&CDS=1-1839	YDL229W
OG0001845	maker-scaffold_19-snap-gene-0.10-mRNA-1_1&gene=maker-scaffold_19-snap-gene-0.10&CDS=1-1047	YDL230W
OG0001846	genemark-scaffold_19-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.60&CDS=1-1269	YGL176C
OG0001847	genemark-scaffold_19-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.61&CDS=1-2376	YBR112C
OG0001848	snap_masked-scaffold_19-processed-gene-0.179-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-0.179&CDS=1-1659	YDR536W
OG0001849	genemark-scaffold_2-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.81&CDS=1-1260	YLR203C
OG0001850	maker-scaffold_2-snap-gene-0.99-mRNA-1_1&gene=maker-scaffold_2-snap-gene-0.99&CDS=1-540	YDR305C
OG0001851	genemark-scaffold_2-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.82&CDS=1-471	YHR059W
OG0001852	genemark-scaffold_2-processed-gene-0.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.68&CDS=1-735	YHR058C
OG0001853	genemark-scaffold_2-processed-gene-0.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.69&CDS=1-660	YDR304C
OG0001854	genemark-scaffold_2-processed-gene-0.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.70&CDS=1-501	YMR236W
OG0001855	genemark-scaffold_2-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.71&CDS=1-330	YER071C
OG0001856	genemark-scaffold_2-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.72&CDS=1-1770	YDR338C
OG0001857	snap_masked-scaffold_2-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.53&CDS=1-258	YOR159C
OG0001858	genemark-scaffold_2-processed-gene-0.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.74&CDS=1-2901	YOR160W
OG0001859	genemark-scaffold_2-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.76&CDS=1-1782	YOL115W
OG0001860	genemark-scaffold_2-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.78&CDS=1-1623	YOR301W
OG0001861	genemark-scaffold_2-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.88&CDS=1-1578	YPR033C
OG0001862	genemark-scaffold_2-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.90&CDS=1-1335	YJR078W
OG0001863	genemark-scaffold_2-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.79&CDS=1-3540	YMR129W
OG0001864	genemark-scaffold_2-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.91&CDS=1-1668	YLR033W
OG0001865	genemark-scaffold_2-processed-gene-0.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.80&CDS=1-1686	YLR196W
OG0001866	genemark-scaffold_2-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.82&CDS=1-3681	YOR151C
OG0001867	genemark-scaffold_2-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.81&CDS=1-756	YDR405W
OG0001868	snap_masked-scaffold_2-processed-gene-1.3-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.3&CDS=1-1299	YOR155C
OG0001869	genemark-scaffold_2-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.109&CDS=1-819	YLR192C
OG0001870	genemark-scaffold_2-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.87&CDS=1-1536	YHR109W
OG0001871	genemark-scaffold_2-processed-gene-1.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.88&CDS=1-591	YDL173W
OG0001872	genemark-scaffold_2-processed-gene-1.110-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.110&CDS=1-6579	YDL171C
OG0001873	genemark-scaffold_2-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.92&CDS=1-1023	YNL025C
OG0001874	genemark-scaffold_2-processed-gene-1.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.94&CDS=1-3153	YNL023C
OG0001875	genemark-scaffold_2-processed-gene-1.115-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.115&CDS=1-510	YDL120W
OG0001876	genemark-scaffold_2-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.99&CDS=1-2061	YDL122W
OG0001877	genemark-scaffold_2-processed-gene-1.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.116&CDS=1-1092	YNL016W
OG0001878	genemark-scaffold_2-processed-gene-1.117-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.117&CDS=1-996	YIL083C
OG0001879	genemark-scaffold_2-processed-gene-1.118-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.118&CDS=1-693	YNL038W
OG0001880	genemark-scaffold_2-processed-gene-1.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.101&CDS=1-2061	YPR031W
OG0001881	genemark-scaffold_2-processed-gene-1.103-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.103&CDS=1-1386	YOL137W
OG0001882	snap_masked-scaffold_2-processed-gene-1.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.22&CDS=1-2838	YBL104C
OG0001883	genemark-scaffold_2-processed-gene-1.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.119&CDS=1-576	YNL090W
OG0001884	genemark-scaffold_2-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.107&CDS=1-441	YBR082C
OG0001885	genemark-scaffold_2-processed-gene-1.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.108&CDS=1-2997	YBR081C
OG0001886	snap_masked-scaffold_2-processed-gene-2.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.87&CDS=1-1419	YJL025W
OG0001887	genemark-scaffold_2-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.14&CDS=1-864	YLR205C
OG0001888	genemark-scaffold_2-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.31&CDS=1-366	YER072W
OG0001889	genemark-scaffold_2-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.32&CDS=1-993	YMR060C
OG0001890	genemark-scaffold_2-processed-gene-2.33-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.33&CDS=1-1764	YDR213W
OG0001891	genemark-scaffold_2-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.16&CDS=1-2229	YMR061W
OG0001892	genemark-scaffold_2-processed-gene-2.18-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.18&CDS=1-1119	YIL094C
OG0001893	genemark-scaffold_2-processed-gene-2.19-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.19&CDS=1-744	YIL093C
OG0001894	genemark-scaffold_2-processed-gene-2.36-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.36&CDS=1-825	YNL024C
OG0001895	genemark-scaffold_2-processed-gene-2.20-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.20&CDS=1-213	YNL024C-A
OG0001896	genemark-scaffold_2-processed-gene-2.37-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.37&CDS=1-609	YNL032W
OG0001897	genemark-scaffold_2-processed-gene-2.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.21&CDS=1-2685	YJL029C
OG0001898	genemark-scaffold_2-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.22&CDS=1-2157	YIL091C
OG0001899	genemark-scaffold_2-processed-gene-2.23-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.23&CDS=1-1452	YIL090W
OG0001900	genemark-scaffold_2-processed-gene-2.24-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.24&CDS=1-1284	YMR034C
OG0001901	genemark-scaffold_2-processed-gene-2.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.38&CDS=1-480	YDL169C
OG0001902	genemark-scaffold_2-processed-gene-2.25-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.25&CDS=1-3375	YLR032W
OG0001903	genemark-scaffold_2-processed-gene-2.39-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.39&CDS=1-936	YMR127C
OG0001904	genemark-scaffold_2-processed-gene-2.26-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.26&CDS=1-3666	YMR128W
OG0001905	genemark-scaffold_2-processed-gene-2.40-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.40&CDS=1-1224	YDR057W
OG0001906	snap_masked-scaffold_2-processed-gene-2.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.101&CDS=1-2277	YBR080C
OG0001907	maker-scaffold_2-snap-gene-2.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.2&CDS=1-3138	YBR079C
OG0001908	maker-scaffold_2-snap-gene-2.4-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.4&CDS=1-2172	YGR178C
OG0001909	genemark-scaffold_2-processed-gene-2.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.30&CDS=1-1461	YNL026W
OG0001910	genemark-scaffold_2-processed-gene-3.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.88&CDS=1-1029	YMR041C
OG0001911	genemark-scaffold_2-processed-gene-3.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.89&CDS=1-1599	YOR161C
OG0001912	snap_masked-scaffold_2-processed-gene-3.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.6&CDS=1-1392	YLR212C
OG0001913	genemark-scaffold_2-processed-gene-3.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.91&CDS=1-348	YHL015W
OG0001914	genemark-scaffold_2-processed-gene-3.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.94&CDS=1-1074	YDR267C
OG0001915	genemark-scaffold_2-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.113&CDS=1-780	YOR036W
OG0001916	maker-scaffold_2-snap-gene-3.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-3.2&CDS=1-888	YHR101C
OG0001917	genemark-scaffold_2-processed-gene-3.115-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.115&CDS=1-1443	YDR363W
OG0001918	genemark-scaffold_2-processed-gene-3.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.116&CDS=1-876	YOR143C
OG0001919	genemark-scaffold_2-processed-gene-3.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.95&CDS=1-993	YDR392W
OG0001920	genemark-scaffold_2-processed-gene-3.117-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.117&CDS=1-2895	YOR144C
OG0001921	genemark-scaffold_2-processed-gene-3.118-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.118&CDS=1-2058	YIL067C
OG0001922	genemark-scaffold_2-processed-gene-3.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.119&CDS=1-2613	YER070W
OG0001923	genemark-scaffold_2-processed-gene-3.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.121&CDS=1-633	YOR289W
OG0001924	genemark-scaffold_2-processed-gene-3.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.122&CDS=1-5052	YMR229C
OG0001925	augustus_masked-scaffold_2-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.57&CDS=1-1695	YHL010C
OG0001926	genemark-scaffold_2-processed-gene-3.97-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.97&CDS=1-960	YHL011C
OG0001927	snap_masked-scaffold_2-processed-gene-3.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.41&CDS=1-720	YKL033W-A
OG0001928	genemark-scaffold_2-processed-gene-3.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.100&CDS=1-2343	YKL034W
OG0001929	genemark-scaffold_2-processed-gene-3.102-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.102&CDS=1-1044	YOR311C
OG0001930	genemark-scaffold_2-processed-gene-3.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.108&CDS=1-1551	YKR008W
OG0001931	genemark-scaffold_2-processed-gene-3.127-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.127&CDS=1-555	YBL107C
OG0001932	genemark-scaffold_2-processed-gene-4.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.8&CDS=1-1368	YGL179C
OG0001933	genemark-scaffold_2-processed-gene-4.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.9&CDS=1-2046	YDR234W
OG0001934	genemark-scaffold_2-processed-gene-4.10-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.10&CDS=1-663	YHR008C
OG0001935	genemark-scaffold_2-processed-gene-4.11-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.11&CDS=1-984	YDR214W
OG0001936	genemark-scaffold_2-processed-gene-4.12-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.12&CDS=1-1434	YHR113W
OG0001937	genemark-scaffold_2-processed-gene-4.13-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.13&CDS=1-1797	YDR362C
OG0001938	snap_masked-scaffold_2-processed-gene-4.103-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.103&CDS=1-1299	YHR111W
OG0001939	genemark-scaffold_2-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.30&CDS=1-1665	YOR118W
OG0001940	genemark-scaffold_2-processed-gene-4.16-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.16&CDS=1-1926	YDR365C
OG0001941	genemark-scaffold_2-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.31&CDS=1-1485	YOR119C
OG0001942	genemark-scaffold_2-processed-gene-4.17-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.17&CDS=1-654	YDR367W
OG0001943	genemark-scaffold_2-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.18&CDS=1-966	YOR142W
OG0001944	genemark-scaffold_2-processed-gene-4.19-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.19&CDS=1-2547	YOR141C
OG0001945	genemark-scaffold_2-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.36&CDS=1-624	YDR399W
OG0001946	genemark-scaffold_2-processed-gene-4.20-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.20&CDS=1-483	YDR397C
OG0001947	genemark-scaffold_2-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.37&CDS=1-2892	YDR395W
OG0001948	genemark-scaffold_2-processed-gene-4.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.21&CDS=1-1545	YOR149C
OG0001949	genemark-scaffold_2-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.38&CDS=1-1245	YDR394W
OG0001950	genemark-scaffold_2-processed-gene-4.39-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.39&CDS=1-1197	YDR393W
OG0001951	genemark-scaffold_2-processed-gene-4.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.22&CDS=1-888	YOR148C
OG0001952	genemark-scaffold_2-processed-gene-4.40-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.40&CDS=1-765	YOR145C
OG0001953	augustus_masked-scaffold_2-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.71&CDS=1-2832	YER075C
OG0001954	genemark-scaffold_2-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.28&CDS=1-993	YMR055C
OG0001955	snap_masked-scaffold_2-processed-gene-4.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.117&CDS=1-2778	YKL073W
OG0001956	genemark-scaffold_2-processed-gene-4.42-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.42&CDS=1-246	YER074W-A
OG0001957	genemark-scaffold_2-processed-gene-5.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.86&CDS=1-1212	YLR097C
OG0001958	genemark-scaffold_2-processed-gene-5.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.88&CDS=1-2334	YLR207W
OG0001959	genemark-scaffold_2-processed-gene-5.72-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.72&CDS=1-879	YLR208W
OG0001960	genemark-scaffold_2-processed-gene-5.73-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.73&CDS=1-909	YLR209C
OG0001961	genemark-scaffold_2-processed-gene-5.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.91&CDS=1-1542	YOR310C
OG0001962	genemark-scaffold_2-processed-gene-5.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.77&CDS=1-4605	YHR164C
OG0001963	genemark-scaffold_2-processed-gene-5.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.78&CDS=1-741	YJR024C
OG0001964	augustus_masked-scaffold_2-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.24&CDS=1-291	YJR022W
OG0001965	genemark-scaffold_2-processed-gene-5.93-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.93&CDS=1-864	YGR205W
OG0001966	genemark-scaffold_2-processed-gene-5.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.94&CDS=1-765	YGR207C
OG0001967	genemark-scaffold_2-processed-gene-5.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.95&CDS=1-2391	YLR045C
OG0001968	genemark-scaffold_2-processed-gene-5.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.80&CDS=1-1902	YMR036C
OG0001969	snap_masked-scaffold_2-processed-gene-5.46-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.46&CDS=1-240	YKL063C
OG0001970	genemark-scaffold_2-processed-gene-5.97-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.97&CDS=1-540	YMR035W
OG0001971	genemark-scaffold_2-processed-gene-5.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.81&CDS=1-750	YMR038C
OG0001972	genemark-scaffold_2-processed-gene-5.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.100&CDS=1-2148	YJL156C
OG0001973	genemark-scaffold_2-processed-gene-5.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.82&CDS=1-2283	YMR019W
OG0001974	genemark-scaffold_2-processed-gene-5.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.101&CDS=1-2586	YNL224C
OG0001975	augustus_masked-scaffold_2-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.15&CDS=1-1431	YNL223W
OG0001976	genemark-scaffold_2-processed-gene-5.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.84&CDS=1-1434	YDL238C
OG0001977	genemark-scaffold_2-processed-gene-6.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.9&CDS=1-615	YNL222W
OG0001978	genemark-scaffold_2-processed-gene-6.7-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.7&CDS=1-2361	YNL221C
OG0001979	augustus_masked-scaffold_2-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.93&CDS=1-735	YNL036W
OG0001980	genemark-scaffold_2-processed-gene-6.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.8&CDS=1-1623	YIL099W
OG0001981	genemark-scaffold_2-processed-gene-6.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.30&CDS=1-1062	YNL037C
OG0001982	genemark-scaffold_2-processed-gene-6.11-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.11&CDS=1-438	YIL098C
OG0001983	genemark-scaffold_2-processed-gene-6.15-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.15&CDS=1-738	YJL055W
OG0001984	genemark-scaffold_2-processed-gene-6.16-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.16&CDS=1-1332	YMR033W
