	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0001522	snap_masked-ipo_s184-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.30&CDS=1-966	YPL266W
OG0001523	snap_masked-ipo_s184-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.12&CDS=1-1596	YEL058W
OG0001524	snap_masked-ipo_s184-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.33&CDS=1-696	YGL085W
OG0001525	snap_masked-ipo_s184-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.16&CDS=1-1368	YBR130C
OG0001526	snap_masked-ipo_s184-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.17&CDS=1-1143	YFL030W
OG0001527	snap_masked-ipo_s184-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.19&CDS=1-4245	YNL088W
OG0001528	snap_masked-ipo_s184-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.38&CDS=1-1071	YOR042W
OG0001529	snap_masked-ipo_s184-processed-gene-1.5-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.5&CDS=1-1146	YDR502C
OG0001530	snap_masked-ipo_s184-processed-gene-1.4-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.4&CDS=1-3141	YCL061C
OG0001531	snap_masked-ipo_s184-processed-gene-1.22-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.22&CDS=1-1122	YCL059C
OG0001532	snap_masked-ipo_s184-processed-gene-1.8-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.8&CDS=1-1248	YIR012W
OG0001533	snap_masked-ipo_s184-processed-gene-1.9-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.9&CDS=1-1413	YIR008C
OG0001534	snap_masked-ipo_s184-processed-gene-1.23-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.23&CDS=1-2742	YIR007W
OG0001535	snap_masked-ipo_s184-processed-gene-1.24-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.24&CDS=1-3300	YER013W
OG0001536	snap_masked-ipo_s184-processed-gene-1.25-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.25&CDS=1-585	YER012W
OG0001537	snap_masked-ipo_s184-processed-gene-1.26-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.26&CDS=1-699	YBR256C
OG0001538	snap_masked-ipo_s184-processed-gene-1.29-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.29&CDS=1-1245	YIL160C
OG0001539	augustus_masked-ipo_s184-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-1.75&CDS=1-5295	YNL313C
OG0001540	snap_masked-ipo_s184-processed-gene-1.34-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.34&CDS=1-2205	YBR060C
OG0001541	snap_masked-ipo_s184-processed-gene-1.11-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.11&CDS=1-333	YDR045C
OG0001542	snap_masked-ipo_s184-processed-gene-1.36-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.36&CDS=1-693	YBR070C
OG0001543	snap_masked-ipo_s184-processed-gene-1.37-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.37&CDS=1-1014	YBR065C
OG0001544	snap_masked-ipo_s184-processed-gene-1.38-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.38&CDS=1-4080	YMR259C
OG0001545	snap_masked-ipo_s184-processed-gene-1.13-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.13&CDS=1-2670	YBR073W
OG0001546	snap_masked-ipo_s184-processed-gene-1.40-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.40&CDS=1-1815	YDR049W
OG0001547	maker-ipo_s184-augustus-gene-1.140-mRNA-1_1&gene=maker-ipo_s184-augustus-gene-1.140&CDS=1-1110	YDR047W
OG0001548	snap_masked-ipo_s184-processed-gene-1.14-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.14&CDS=1-2955	YBR074W
OG0001549	snap_masked-ipo_s184-processed-gene-1.15-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.15&CDS=1-294	YHR087W
OG0001550	snap_masked-ipo_s184-processed-gene-1.16-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.16&CDS=1-2058	YDR333C
OG0001551	snap_masked-ipo_s184-processed-gene-1.17-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.17&CDS=1-1842	YHR039C
OG0001552	snap_masked-ipo_s184-processed-gene-1.41-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.41&CDS=1-333	YHR039C-A
OG0001553	snap_masked-ipo_s184-processed-gene-1.42-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.42&CDS=1-4572	YDR334W
OG0001554	augustus_masked-ipo_s184-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-1.64&CDS=1-1314	YHR086W
OG0001555	augustus_masked-ipo_s184-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-1.88&CDS=1-801	YLR271W
OG0001556	snap_masked-ipo_s184-processed-gene-1.20-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.20&CDS=1-927	YOR174W
OG0001557	snap_masked-ipo_s184-processed-gene-1.45-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.45&CDS=1-1149	YOR176W
OG0001558	snap_masked-ipo_s184-processed-gene-1.46-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.46&CDS=1-1779	YOR175C
OG0001559	snap_masked-ipo_s184-processed-gene-1.47-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.47&CDS=1-3459	YLR272C
OG0001560	snap_masked-ipo_s184-processed-gene-1.48-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.48&CDS=1-1617	YMR005W
OG0001561	snap_masked-ipo_s184-processed-gene-1.21-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.21&CDS=1-1101	YOL010W
OG0001562	snap_masked-ipo_s184-processed-gene-2.9-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.9&CDS=1-7389	YKL203C
OG0001563	snap_masked-ipo_s184-processed-gene-2.10-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.10&CDS=1-1260	YJR065C
OG0001564	snap_masked-ipo_s184-processed-gene-2.11-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.11&CDS=1-1647	YJR064W
OG0001565	snap_masked-ipo_s184-processed-gene-2.7-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.7&CDS=1-951	YJR070C
OG0001566	snap_masked-ipo_s184-processed-gene-2.12-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.12&CDS=1-369	YJR063W
OG0001567	snap_masked-ipo_s184-processed-gene-2.8-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.8&CDS=1-915	YOR004W
OG0001568	snap_masked-ipo_s184-processed-gene-2.14-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.14&CDS=1-3792	YMR076C
OG0001569	snap_masked-ipo_s184-processed-gene-2.59-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.59&CDS=1-1470	YDL207W
OG0001570	snap_masked-ipo_s184-processed-gene-2.15-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.15&CDS=1-858	YDR237W
OG0001571	snap_masked-ipo_s184-processed-gene-2.16-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.16&CDS=1-663	YGR042W
OG0001572	snap_masked-ipo_s184-processed-gene-2.17-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.17&CDS=1-1107	YOL001W
OG0001573	snap_masked-ipo_s184-processed-gene-2.18-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.18&CDS=1-861	YMR178W
OG0001574	augustus_masked-ipo_s184-processed-gene-2.244-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-2.244&CDS=1-2889	YOR335C
OG0001575	augustus_masked-ipo_s184-processed-gene-2.207-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-2.207&CDS=1-2901	YGL073W
OG0001576	snap_masked-ipo_s184-processed-gene-2.63-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.63&CDS=1-1020	YHR052W
OG0001577	snap_masked-ipo_s184-processed-gene-2.65-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.65&CDS=1-1335	YMR065W
OG0001578	snap_masked-ipo_s184-processed-gene-2.66-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.66&CDS=1-966	YMR063W
OG0001579	snap_masked-ipo_s184-processed-gene-2.22-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.22&CDS=1-1083	YOL064C
OG0001580	maker-ipo_s184-snap-gene-2.2-mRNA-1_1&gene=maker-ipo_s184-snap-gene-2.2&CDS=1-1503	YPL097W
OG0001581	snap_masked-ipo_s184-processed-gene-2.23-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.23&CDS=1-2496	YKL078W
OG0001582	snap_masked-ipo_s184-processed-gene-2.68-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.68&CDS=1-1113	YPL096W
OG0001583	snap_masked-ipo_s184-processed-gene-2.24-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.24&CDS=1-1662	YOR002W
OG0001584	snap_masked-ipo_s184-processed-gene-2.26-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.26&CDS=1-1389	YPL120W
OG0001585	snap_masked-ipo_s184-processed-gene-2.29-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.29&CDS=1-1158	YDR459C
OG0001586	snap_masked-ipo_s184-processed-gene-2.31-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.31&CDS=1-588	YHR026W
OG0001587	snap_masked-ipo_s184-processed-gene-2.74-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.74&CDS=1-2835	YHR027C
OG0001588	snap_masked-ipo_s184-processed-gene-2.32-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.32&CDS=1-1734	YJL201W
OG0001589	snap_masked-ipo_s184-processed-gene-2.76-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.76&CDS=1-936	YLR146C
OG0001590	snap_masked-ipo_s184-processed-gene-2.77-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.77&CDS=1-669	YLR145W
OG0001591	snap_masked-ipo_s184-processed-gene-2.35-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.35&CDS=1-1143	YDR161W
OG0001592	snap_masked-ipo_s184-processed-gene-2.79-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.79&CDS=1-3876	YLL021W
OG0001593	snap_masked-ipo_s184-processed-gene-2.80-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.80&CDS=1-855	YDL052C
OG0001594	maker-ipo_s184-augustus-gene-2.286-mRNA-1_1&gene=maker-ipo_s184-augustus-gene-2.286&CDS=1-645	YDR381W
OG0001595	snap_masked-ipo_s184-processed-gene-2.38-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.38&CDS=1-1359	YOR301W
OG0001596	snap_masked-ipo_s184-processed-gene-2.39-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.39&CDS=1-1683	YOR128C
OG0001597	snap_masked-ipo_s184-processed-gene-2.86-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.86&CDS=1-1779	YBR083W
OG0001598	snap_masked-ipo_s184-processed-gene-2.87-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.87&CDS=1-2169	YPR031W
OG0001599	snap_masked-ipo_s184-processed-gene-2.88-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.88&CDS=1-1329	YDR364C
OG0001600	snap_masked-ipo_s184-processed-gene-2.43-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.43&CDS=1-900	YDR361C
OG0001601	snap_masked-ipo_s184-processed-gene-2.44-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.44&CDS=1-2775	YBR079C
OG0001602	snap_masked-ipo_s184-processed-gene-2.45-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.45&CDS=1-990	YCR036W
OG0001603	snap_masked-ipo_s184-processed-gene-2.46-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.46&CDS=1-741	YBR153W
OG0001604	snap_masked-ipo_s184-processed-gene-2.90-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.90&CDS=1-639	YBR154C
OG0001605	genemark-ipo_s184-processed-gene-2.186-mRNA-1_1&gene=genemark-ipo_s184-processed-gene-2.186&CDS=1-3327	YOL086W-A
OG0001606	snap_masked-ipo_s184-processed-gene-2.47-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.47&CDS=1-1461	YJL194W
OG0001607	snap_masked-ipo_s184-processed-gene-2.49-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.49&CDS=1-948	YBR146W
OG0001608	snap_masked-ipo_s184-processed-gene-2.93-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.93&CDS=1-1350	YNL040W
OG0001609	snap_masked-ipo_s184-processed-gene-2.50-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.50&CDS=1-627	YKL119C
OG0001610	snap_masked-ipo_s184-processed-gene-2.97-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.97&CDS=1-864	YOL077C
OG0001611	snap_masked-ipo_s184-processed-gene-2.98-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.98&CDS=1-198	YOL077W-A
OG0001612	snap_masked-ipo_s184-processed-gene-2.99-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.99&CDS=1-2568	YOL078W
OG0001613	augustus_masked-ipo_s184-processed-gene-2.238-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-2.238&CDS=1-3366	YDR490C
OG0001614	snap_masked-ipo_s184-processed-gene-2.55-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.55&CDS=1-1281	YOL097C
OG0001615	snap_masked-ipo_s184-processed-gene-2.56-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.56&CDS=1-606	YDR487C
OG0001616	snap_masked-ipo_s184-processed-gene-2.101-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.101&CDS=1-2928	YOL021C
OG0001617	snap_masked-ipo_s184-processed-gene-2.102-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.102&CDS=1-948	YKL051W
OG0001618	snap_masked-ipo_s185-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.75&CDS=1-1278	YLR203C
OG0001619	snap_masked-ipo_s185-processed-gene-0.56-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.56&CDS=1-1926	YMR240C
OG0001620	snap_masked-ipo_s185-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.58&CDS=1-711	YOR305W
OG0001621	snap_masked-ipo_s185-processed-gene-0.81-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.81&CDS=1-1731	YLR286C
OG0001622	snap_masked-ipo_s185-processed-gene-0.60-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.60&CDS=1-1551	YJL153C
OG0001623	snap_masked-ipo_s185-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.82&CDS=1-3279	YOR349W
OG0001624	snap_masked-ipo_s185-processed-gene-0.62-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.62&CDS=1-252	YMR286W
OG0001625	snap_masked-ipo_s185-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.68&CDS=1-3543	YPL217C
OG0001626	snap_masked-ipo_s19-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s19-processed-gene-0.0&CDS=1-11397	YHR099W
OG0001627	snap_masked-ipo_s190-processed-gene-0.80-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.80&CDS=1-1323	YGL194C
OG0001628	snap_masked-ipo_s190-processed-gene-0.64-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.64&CDS=1-741	YGL011C
OG0001629	snap_masked-ipo_s190-processed-gene-0.81-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.81&CDS=1-1482	YGL012W
OG0001630	snap_masked-ipo_s190-processed-gene-0.84-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.84&CDS=1-2691	YGL008C
OG0001631	augustus_masked-ipo_s190-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ipo_s190-processed-gene-0.53&CDS=1-4143	YAL002W
OG0001632	snap_masked-ipo_s190-processed-gene-0.66-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.66&CDS=1-1446	YAR003W
OG0001633	augustus_masked-ipo_s190-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-ipo_s190-processed-gene-0.54&CDS=1-3516	YML049C
OG0001634	snap_masked-ipo_s190-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.68&CDS=1-342	YJR034W
OG0001635	snap_masked-ipo_s190-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.71&CDS=1-4170	YJR033C
OG0001636	snap_masked-ipo_s190-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.90&CDS=1-1095	YJR062C
OG0001637	snap_masked-ipo_s190-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.92&CDS=1-1794	YML068W
OG0001638	genemark-ipo_s193-processed-gene-0.7-mRNA-1_1&gene=genemark-ipo_s193-processed-gene-0.7&CDS=1-204	YBR162W-A
OG0001639	snap_masked-ipo_s194-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.98&CDS=1-1524	YBR288C
OG0001640	snap_masked-ipo_s194-processed-gene-0.126-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.126&CDS=1-1356	YHR011W
OG0001641	snap_masked-ipo_s194-processed-gene-0.127-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.127&CDS=1-2313	YKL134C
OG0001642	snap_masked-ipo_s194-processed-gene-0.104-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.104&CDS=1-597	YKR035W-A
OG0001643	snap_masked-ipo_s194-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.105&CDS=1-675	YHR008C
OG0001644	snap_masked-ipo_s194-processed-gene-0.129-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.129&CDS=1-1581	YOR132W
OG0001645	snap_masked-ipo_s194-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.130&CDS=1-1479	YDR470C
OG0001646	snap_masked-ipo_s194-processed-gene-0.106-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.106&CDS=1-2280	YNL161W
OG0001647	snap_masked-ipo_s194-processed-gene-0.107-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.107&CDS=1-1818	YCR061W
OG0001648	snap_masked-ipo_s194-processed-gene-0.109-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.109&CDS=1-951	YFL028C
OG0001649	snap_masked-ipo_s194-processed-gene-0.110-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.110&CDS=1-456	YKL067W
OG0001650	snap_masked-ipo_s194-processed-gene-0.111-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.111&CDS=1-1917	YLR055C
OG0001651	snap_masked-ipo_s194-processed-gene-0.134-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.134&CDS=1-954	YHR104W
OG0001652	snap_masked-ipo_s194-processed-gene-0.135-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.135&CDS=1-465	YIL062C
OG0001653	snap_masked-ipo_s194-processed-gene-0.136-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.136&CDS=1-417	YML108W
OG0001654	snap_masked-ipo_s194-processed-gene-0.137-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.137&CDS=1-1659	YBR196C
OG0001655	snap_masked-ipo_s194-processed-gene-0.139-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.139&CDS=1-1134	YBR234C
OG0001656	maker-ipo_s194-augustus-gene-0.0-mRNA-1_1&gene=maker-ipo_s194-augustus-gene-0.0&CDS=1-201	YDR086C
OG0001657	snap_masked-ipo_s194-processed-gene-0.120-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.120&CDS=1-897	YDR087C
OG0001658	snap_masked-ipo_s194-processed-gene-0.140-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.140&CDS=1-1146	YLR181C
OG0001659	snap_masked-ipo_s194-processed-gene-0.141-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.141&CDS=1-417	YOL071W
OG0001660	snap_masked-ipo_s194-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.122&CDS=1-573	YDR373W
OG0001661	snap_masked-ipo_s194-processed-gene-0.142-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.142&CDS=1-2208	YLR182W
OG0001662	snap_masked-ipo_s194-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.123&CDS=1-726	YDL043C
OG0001663	snap_masked-ipo_s194-processed-gene-0.124-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.124&CDS=1-819	YDL045C
OG0001664	snap_masked-ipo_s194-processed-gene-0.143-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.143&CDS=1-789	YOL067C
OG0001665	snap_masked-ipo_s195-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s195-processed-gene-0.0&CDS=1-918	YOR158W
OG0001666	snap_masked-ipo_s195-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s195-processed-gene-0.1&CDS=1-2067	YML031W
OG0001667	snap_masked-ipo_s195-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s195-processed-gene-0.6&CDS=1-1935	YDR456W
OG0001668	snap_masked-ipo_s195-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s195-processed-gene-0.2&CDS=1-1362	YOR307C
OG0001669	snap_masked-ipo_s195-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s195-processed-gene-0.7&CDS=1-912	YMR241W
OG0001670	snap_masked-ipo_s195-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s195-processed-gene-0.8&CDS=1-660	YDR410C
OG0001671	snap_masked-ipo_s198-processed-gene-0.140-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.140&CDS=1-2670	YNL082W
OG0001672	snap_masked-ipo_s198-processed-gene-0.143-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.143&CDS=1-1134	YNL092W
OG0001673	snap_masked-ipo_s198-processed-gene-0.181-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.181&CDS=1-1239	YNL207W
OG0001674	augustus_masked-ipo_s198-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ipo_s198-processed-gene-0.45&CDS=1-2232	YNL118C
OG0001675	snap_masked-ipo_s198-processed-gene-0.150-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.150&CDS=1-843	YLR393W
OG0001676	snap_masked-ipo_s198-processed-gene-0.151-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.151&CDS=1-354	YHL015W
OG0001677	snap_masked-ipo_s198-processed-gene-0.152-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.152&CDS=1-1689	YOR090C
OG0001678	snap_masked-ipo_s198-processed-gene-0.153-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.153&CDS=1-3636	YLR398C
OG0001679	snap_masked-ipo_s198-processed-gene-0.154-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.154&CDS=1-2295	YLR397C
OG0001680	snap_masked-ipo_s198-processed-gene-0.184-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.184&CDS=1-870	YDL065C
OG0001681	snap_masked-ipo_s198-processed-gene-0.155-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.155&CDS=1-552	YDL064W
OG0001682	snap_masked-ipo_s198-processed-gene-0.185-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.185&CDS=1-1362	YJL155C
OG0001683	snap_masked-ipo_s198-processed-gene-0.156-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.156&CDS=1-2331	YJL156C
OG0001684	snap_masked-ipo_s198-processed-gene-0.186-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.186&CDS=1-1917	YDL063C
OG0001685	augustus_masked-ipo_s198-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ipo_s198-processed-gene-0.22&CDS=1-3558	YDL060W
OG0001686	maker-ipo_s198-augustus-gene-0.133-mRNA-1_1&gene=maker-ipo_s198-augustus-gene-0.133&CDS=1-2850	YLR386W
OG0001687	snap_masked-ipo_s198-processed-gene-0.161-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.161&CDS=1-1470	YDR376W
OG0001688	snap_masked-ipo_s198-processed-gene-0.189-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.189&CDS=1-984	YJR107W
OG0001689	snap_masked-ipo_s198-processed-gene-0.190-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.190&CDS=1-255	YKL053C-A
OG0001690	snap_masked-ipo_s198-processed-gene-0.164-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.164&CDS=1-3708	YMR218C
OG0001691	snap_masked-ipo_s198-processed-gene-0.165-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.165&CDS=1-1905	YGL110C
OG0001692	snap_masked-ipo_s198-processed-gene-0.192-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.192&CDS=1-1170	YOL061W
OG0001693	snap_masked-ipo_s198-processed-gene-0.193-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.193&CDS=1-1323	YOL062C
OG0001694	snap_masked-ipo_s198-processed-gene-0.166-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.166&CDS=1-3183	YDL215C
OG0001695	snap_masked-ipo_s198-processed-gene-0.167-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.167&CDS=1-1032	YBR246W
OG0001696	snap_masked-ipo_s198-processed-gene-0.194-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.194&CDS=1-1917	YLR337C
OG0001697	snap_masked-ipo_s198-processed-gene-0.195-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.195&CDS=1-507	YDL120W
OG0001698	snap_masked-ipo_s198-processed-gene-0.170-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.170&CDS=1-795	YIL093C
