	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0001620	augustus_masked-LCTY01000004.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.60&CDS=1-2028	YFR034C
OG0001621	augustus_masked-LCTY01000004.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.61&CDS=1-2799	YLR115W
OG0001622	augustus_masked-LCTY01000004.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.80&CDS=1-2385	YLR268W
OG0001623	augustus_masked-LCTY01000004.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.62&CDS=1-672	YDR140W
OG0001624	augustus_masked-LCTY01000004.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.81&CDS=1-5421	YDR141C
OG0001625	augustus_masked-LCTY01000004.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.82&CDS=1-693	YLR118C
OG0001626	maker-LCTY01000004.1-augustus-gene-1.4-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-1.4&CDS=1-4281	YBL047C
OG0001627	augustus_masked-LCTY01000004.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.84&CDS=1-1569	YDR330W
OG0001628	augustus_masked-LCTY01000004.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.65&CDS=1-450	YLR170C
OG0001629	augustus_masked-LCTY01000004.1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.66&CDS=1-783	YPL078C
OG0001630	snap_masked-LCTY01000004.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-1.112&CDS=1-669	YBR193C
OG0001631	augustus_masked-LCTY01000004.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.87&CDS=1-645	YOR258W
OG0001632	augustus_masked-LCTY01000004.1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.88&CDS=1-1194	YBR192W
OG0001633	augustus_masked-LCTY01000004.1-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.91&CDS=1-3357	YDR495C
OG0001634	maker-LCTY01000004.1-snap-gene-1.11-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-1.11&CDS=1-2853	YDR299W
OG0001635	maker-LCTY01000004.1-augustus-gene-1.0-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-1.0&CDS=1-393	YDL008W
OG0001636	augustus_masked-LCTY01000004.1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.70&CDS=1-1317	YDR300C
OG0001637	augustus_masked-LCTY01000004.1-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.94&CDS=1-1839	YER140W
OG0001638	augustus_masked-LCTY01000004.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.96&CDS=1-1203	YGL246C
OG0001639	augustus_masked-LCTY01000004.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.73&CDS=1-2139	YGL245W
OG0001640	augustus_masked-LCTY01000004.1-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.97&CDS=1-2052	YFR048W
OG0001641	augustus_masked-LCTY01000004.1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.74&CDS=1-1521	YGL244W
OG0001642	augustus_masked-LCTY01000004.1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.98&CDS=1-3171	YGL241W
OG0001643	augustus_masked-LCTY01000004.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.75&CDS=1-1782	YER068W
OG0001644	augustus_masked-LCTY01000004.1-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.2&CDS=1-1644	YGL186C
OG0001645	augustus_masked-LCTY01000004.1-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.3&CDS=1-2196	YPL184C
OG0001646	maker-LCTY01000004.1-snap-gene-2.84-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-2.84&CDS=1-2037	YOL148C
OG0001647	augustus_masked-LCTY01000004.1-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.4&CDS=1-561	YOL149W
OG0001648	augustus_masked-LCTY01000004.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.5&CDS=1-3660	YBL022C
OG0001649	snap_masked-LCTY01000004.1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-2.60&CDS=1-1461	YPL262W
OG0001650	snap_masked-LCTY01000004.1-processed-gene-2.61-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-2.61&CDS=1-1632	YFR051C
OG0001651	augustus_masked-LCTY01000004.1-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.6&CDS=1-1785	YNL227C
OG0001652	augustus_masked-LCTY01000004.1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.21&CDS=1-2247	YFR009W
OG0001653	augustus_masked-LCTY01000004.1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.22&CDS=1-2949	YOL021C
OG0001654	augustus_masked-LCTY01000004.1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.23&CDS=1-1167	YBR155W
OG0001655	augustus_masked-LCTY01000004.1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.24&CDS=1-3612	YJR041C
OG0001656	augustus_masked-LCTY01000004.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.7&CDS=1-2271	YJR042W
OG0001657	augustus_masked-LCTY01000004.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.25&CDS=1-1836	YCR065W
OG0001658	augustus_masked-LCTY01000004.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.10&CDS=1-2844	YJR036C
OG0001659	augustus_masked-LCTY01000004.1-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.27&CDS=1-1047	YOR043W
OG0001660	augustus_masked-LCTY01000004.1-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.28&CDS=1-7350	YKL203C
OG0001661	augustus_masked-LCTY01000004.1-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.29&CDS=1-972	YLR354C
OG0001662	maker-LCTY01000004.1-augustus-gene-2.92-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-2.92&CDS=1-1344	YJR065C
OG0001663	augustus_masked-LCTY01000004.1-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.14&CDS=1-1089	YGR042W
OG0001664	maker-LCTY01000004.1-snap-gene-2.87-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-2.87&CDS=1-1152	YPR004C
OG0001665	snap_masked-LCTY01000004.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-2.73&CDS=1-1800	YHR206W
OG0001666	augustus_masked-LCTY01000004.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.15&CDS=1-510	YPL059W
OG0001667	augustus_masked-LCTY01000004.1-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.16&CDS=1-1101	YKL018W
OG0001668	augustus_masked-LCTY01000004.1-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.33&CDS=1-2286	YKL017C
OG0001669	augustus_masked-LCTY01000004.1-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.34&CDS=1-525	YKL016C
OG0001670	maker-LCTY01000004.1-snap-gene-2.89-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-2.89&CDS=1-1062	YOL105C
OG0001671	augustus_masked-LCTY01000004.1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.36&CDS=1-1092	YCL018W
OG0001672	augustus_masked-LCTY01000004.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.37&CDS=1-882	YNL002C
OG0001673	augustus_masked-LCTY01000004.1-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.38&CDS=1-1440	YCL017C
OG0001674	augustus_masked-LCTY01000004.1-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.18&CDS=1-852	YNL003C
OG0001675	augustus_masked-LCTY01000004.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.39&CDS=1-2262	YCR003W
OG0001676	augustus_masked-LCTY01000004.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.19&CDS=1-1092	YCR002C
OG0001677	augustus_masked-LCTY01000004.1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.2&CDS=1-1923	YHR194W
OG0001678	augustus_masked-LCTY01000004.1-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.3&CDS=1-1566	YMR319C
OG0001679	augustus_masked-LCTY01000004.1-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.22&CDS=1-1233	YOL001W
OG0001680	augustus_masked-LCTY01000004.1-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.4&CDS=1-885	YML025C
OG0001681	augustus_masked-LCTY01000004.1-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.24&CDS=1-786	YOR077W
OG0001682	augustus_masked-LCTY01000004.1-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.6&CDS=1-507	YJR017C
OG0001683	augustus_masked-LCTY01000004.1-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.9&CDS=1-1305	YDR448W
OG0001684	augustus_masked-LCTY01000004.1-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.10&CDS=1-1260	YDR449C
OG0001685	augustus_masked-LCTY01000004.1-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.11&CDS=1-1485	YGR175C
OG0001686	augustus_masked-LCTY01000004.1-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.12&CDS=1-2817	YCR030C
OG0001687	augustus_masked-LCTY01000004.1-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.28&CDS=1-2706	YNL054W
OG0001688	augustus_masked-LCTY01000004.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.14&CDS=1-792	YGR026W
OG0001689	snap_masked-LCTY01000004.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-3.70&CDS=1-864	YFL016C
OG0001690	maker-LCTY01000004.1-snap-gene-3.81-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-3.81&CDS=1-3150	YPL128C
OG0001691	augustus_masked-LCTY01000004.1-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.16&CDS=1-2172	YLR274W
OG0001692	augustus_masked-LCTY01000004.1-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.33&CDS=1-1431	YFR006W
OG0001693	augustus_masked-LCTY01000004.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.17&CDS=1-1404	YFR005C
OG0001694	augustus_masked-LCTY01000004.1-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.34&CDS=1-912	YFR004W
OG0001695	augustus_masked-LCTY01000004.1-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.18&CDS=1-1101	YBR234C
OG0001696	augustus_masked-LCTY01000004.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.19&CDS=1-1548	YHR170W
OG0001697	augustus_masked-LCTY01000004.1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.20&CDS=1-1953	YHR171W
OG0001698	augustus_masked-LCTY01000004.1-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.37&CDS=1-1782	YDR292C
OG0001699	augustus_masked-LCTY01000004.1-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.54&CDS=1-1320	YHR169W
OG0001700	augustus_masked-LCTY01000004.1-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.38&CDS=1-2340	YGR245C
OG0001701	augustus_masked-LCTY01000004.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.55&CDS=1-2403	YHR172W
OG0001702	augustus_masked-LCTY01000004.1-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.57&CDS=1-1683	YHR168W
OG0001703	augustus_masked-LCTY01000004.1-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.58&CDS=1-1695	YOR128C
OG0001704	augustus_masked-LCTY01000004.1-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.56&CDS=1-1203	YCR035C
OG0001705	augustus_masked-LCTY01000004.1-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.59&CDS=1-1026	YCR034W
OG0001706	augustus_masked-LCTY01000004.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.79&CDS=1-1995	YER022W
OG0001707	augustus_masked-LCTY01000004.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.80&CDS=1-1230	YBR271W
OG0001708	augustus_masked-LCTY01000004.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.62&CDS=1-1743	YJL072C
OG0001709	maker-LCTY01000004.1-snap-gene-4.5-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-4.5&CDS=1-5448	YKL134C
OG0001710	augustus_masked-LCTY01000004.1-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.82&CDS=1-2178	YIL046W
OG0001711	augustus_masked-LCTY01000004.1-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.83&CDS=1-432	YKR074W
OG0001712	augustus_masked-LCTY01000004.1-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.68&CDS=1-1272	YGL143C
OG0001713	augustus_masked-LCTY01000004.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.69&CDS=1-762	YOL147C
OG0001714	augustus_masked-LCTY01000004.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.71&CDS=1-1323	YDL097C
OG0001715	augustus_masked-LCTY01000004.1-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.85&CDS=1-2346	YDL116W
OG0001716	augustus_masked-LCTY01000004.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.72&CDS=1-1842	YLR330W
OG0001717	augustus_masked-LCTY01000004.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.86&CDS=1-369	YGR020C
OG0001718	snap_masked-LCTY01000004.1-processed-gene-4.116-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-4.116&CDS=1-819	YGR021W
OG0001719	augustus_masked-LCTY01000004.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.74&CDS=1-3537	YIR026C
OG0001720	augustus_masked-LCTY01000004.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.89&CDS=1-1419	YPL172C
OG0001721	augustus_masked-LCTY01000004.1-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.90&CDS=1-1077	YOR261C
OG0001722	augustus_masked-LCTY01000004.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.75&CDS=1-1752	YNL169C
OG0001723	augustus_masked-LCTY01000004.1-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.91&CDS=1-5073	YNL172W
OG0001724	augustus_masked-LCTY01000004.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.76&CDS=1-957	YFL034C-B
OG0001725	augustus_masked-LCTY01000004.1-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.92&CDS=1-4113	YFL036W
OG0001726	augustus_masked-LCTY01000004.1-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.94&CDS=1-1416	YGR019W
OG0001727	snap_masked-LCTY01000004.1-processed-gene-4.139-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-4.139&CDS=1-1059	YGR017W
OG0001728	snap_masked-LCTY01000004.1-processed-gene-4.121-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-4.121&CDS=1-5115	YDR443C
OG0001729	augustus_masked-LCTY01000004.1-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.1&CDS=1-603	YML011C
OG0001730	augustus_masked-LCTY01000004.1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.4&CDS=1-648	YML012W
OG0001731	augustus_masked-LCTY01000004.1-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.5&CDS=1-3006	YML010W
OG0001732	augustus_masked-LCTY01000004.1-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.6&CDS=1-231	YML009C
OG0001733	maker-LCTY01000004.1-augustus-gene-5.94-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-5.94&CDS=1-3801	YKL101W
OG0001734	augustus_masked-LCTY01000004.1-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.9&CDS=1-2496	YDL117W
OG0001735	augustus_masked-LCTY01000004.1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.29&CDS=1-1602	YMR171C
OG0001736	maker-LCTY01000004.1-augustus-gene-5.95-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-5.95&CDS=1-2028	YDL108W
OG0001737	maker-LCTY01000004.1-snap-gene-5.101-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-5.101&CDS=1-564	YOL146W
OG0001738	augustus_masked-LCTY01000004.1-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.12&CDS=1-660	YDR408C
OG0001739	augustus_masked-LCTY01000004.1-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.30&CDS=1-810	YOR157C
OG0001740	augustus_masked-LCTY01000004.1-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.31&CDS=1-2001	YKR008W
OG0001741	augustus_masked-LCTY01000004.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.32&CDS=1-219	YHR143W-A
OG0001742	augustus_masked-LCTY01000004.1-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.33&CDS=1-495	YMR071C
OG0001743	augustus_masked-LCTY01000004.1-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.34&CDS=1-1569	YMR068W
OG0001744	augustus_masked-LCTY01000004.1-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.35&CDS=1-1617	YGR260W
OG0001745	augustus_masked-LCTY01000004.1-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.18&CDS=1-999	YJR095W
OG0001746	augustus_masked-LCTY01000004.1-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.37&CDS=1-786	YIL070C
OG0001747	augustus_masked-LCTY01000004.1-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.20&CDS=1-6666	YJL207C
OG0001748	maker-LCTY01000004.1-snap-gene-5.104-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-5.104&CDS=1-2529	YNL219C
OG0001749	augustus_masked-LCTY01000004.1-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.21&CDS=1-903	YDL236W
OG0001750	augustus_masked-LCTY01000004.1-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.22&CDS=1-444	YDL235C
OG0001751	augustus_masked-LCTY01000004.1-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.23&CDS=1-1161	YFL030W
OG0001752	augustus_masked-LCTY01000004.1-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.41&CDS=1-1410	YLR058C
OG0001753	augustus_masked-LCTY01000004.1-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.44&CDS=1-1578	YNL083W
OG0001754	augustus_masked-LCTY01000004.1-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.25&CDS=1-1584	YIL142W
OG0001755	augustus_masked-LCTY01000004.1-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.26&CDS=1-3024	YDR430C
OG0001756	maker-LCTY01000004.1-augustus-gene-5.98-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-5.98&CDS=1-639	YFL010C
OG0001757	augustus_masked-LCTY01000004.1-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-5.28&CDS=1-918	YDL119C
OG0001758	augustus_masked-LCTY01000004.1-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.51&CDS=1-1098	YGL155W
OG0001759	augustus_masked-LCTY01000004.1-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.52&CDS=1-3348	YGL156W
OG0001760	maker-LCTY01000004.1-snap-gene-6.0-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-6.0&CDS=1-3423	YGL122C
OG0001761	augustus_masked-LCTY01000004.1-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.70&CDS=1-795	YGL123W
OG0001762	augustus_masked-LCTY01000004.1-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.55&CDS=1-2877	YIL075C
OG0001763	genemark-LCTY01000004.1-processed-gene-6.28-mRNA-1_1&gene=genemark-LCTY01000004.1-processed-gene-6.28&CDS=1-1506	YER082C
OG0001764	augustus_masked-LCTY01000004.1-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.72&CDS=1-1329	YKL216W
OG0001765	augustus_masked-LCTY01000004.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.58&CDS=1-1185	YDL104C
OG0001766	augustus_masked-LCTY01000004.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.74&CDS=1-1269	YDL105W
OG0001767	snap_masked-LCTY01000004.1-processed-gene-6.118-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-6.118&CDS=1-1662	YDL106C
OG0001768	augustus_masked-LCTY01000004.1-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.60&CDS=1-972	YHR144C
OG0001769	augustus_masked-LCTY01000004.1-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.76&CDS=1-1491	YJL049W
OG0001770	augustus_masked-LCTY01000004.1-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.61&CDS=1-1431	YBR272C
OG0001771	augustus_masked-LCTY01000004.1-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.77&CDS=1-3243	YJL050W
