	Saccharomyces_cerevisiae	Spathaspora_arborariae
OG0001904	YJL063C	genemark-KI547148.1-processed-gene-0.40-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-0.40&CDS=1-759
OG0001905	YJL068C	genemark-KI547142.1-processed-gene-2.78-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.78&CDS=1-858
OG0001906	YJL069C	genemark-KI547154.1-processed-gene-0.247-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.247&CDS=1-1638
OG0001907	YJL071W	genemark-KI547134.1-processed-gene-4.39-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.39&CDS=1-1716
OG0001908	YJL074C	augustus_masked-KI547141.1-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-2.44&CDS=1-3558
OG0001909	YJL080C	genemark-KI547135.1-processed-gene-6.84-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.84&CDS=1-3636
OG0001910	YJL081C	genemark-KI547160.1-processed-gene-0.42-mRNA-1_1&gene=genemark-KI547160.1-processed-gene-0.42&CDS=1-1419
OG0001911	YJL085W	genemark-KI547159.1-processed-gene-0.34-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.34&CDS=1-1803
OG0001912	YJL087C	genemark-KI547159.1-processed-gene-0.55-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.55&CDS=1-2358
OG0001913	YJL090C	genemark-KI547153.1-processed-gene-0.220-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.220&CDS=1-2022
OG0001914	YJL091C	genemark-KI547136.1-processed-gene-7.100-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.100&CDS=1-1443
OG0001915	YJL092W	genemark-KI547141.1-processed-gene-0.46-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.46&CDS=1-2409
OG0001916	YJL093C	maker-KI547145.1-augustus-gene-3.2-mRNA-1_1&gene=maker-KI547145.1-augustus-gene-3.2&CDS=1-3561
OG0001917	YJL095W	genemark-KI547149.1-processed-gene-2.142-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.142&CDS=1-3570
OG0001918	YJL096W	genemark-KI547149.1-processed-gene-2.175-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.175&CDS=1-450
OG0001919	YJL097W	genemark-KI547149.1-processed-gene-2.145-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.145&CDS=1-657
OG0001920	YJL100W	genemark-KI547139.1-processed-gene-6.22-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-6.22&CDS=1-1962
OG0001921	YJL101C	genemark-KI547134.1-processed-gene-2.79-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-2.79&CDS=1-2268
OG0001922	YJL102W	genemark-KI547134.1-processed-gene-1.63-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.63&CDS=1-2514
OG0001923	YJL103C	genemark-KI547134.1-processed-gene-3.45-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.45&CDS=1-1704
OG0001924	YJL104W	genemark-KI547135.1-processed-gene-1.50-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.50&CDS=1-369
OG0001925	YJL106W	genemark-KI547137.1-processed-gene-4.54-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.54&CDS=1-1581
OG0001926	YJL108C	genemark-KI547149.1-processed-gene-1.85-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-1.85&CDS=1-2940
OG0001927	YJL109C	genemark-KI547135.1-processed-gene-0.67-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-0.67&CDS=1-5784
OG0001928	YJL111W	genemark-KI547143.1-processed-gene-2.53-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.53&CDS=1-1626
OG0001929	YJL115W	genemark-KI547148.1-processed-gene-1.55-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.55&CDS=1-729
OG0001930	YJL117W	genemark-KI547136.1-processed-gene-2.108-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-2.108&CDS=1-1056
OG0001931	YJL121C	genemark-KI547154.1-processed-gene-0.213-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.213&CDS=1-702
OG0001932	YJL122W	genemark-KI547154.1-processed-gene-0.264-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.264&CDS=1-468
OG0001933	YJL123C	genemark-KI547149.1-processed-gene-2.127-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.127&CDS=1-1311
OG0001934	YJL125C	genemark-KI547142.1-processed-gene-3.77-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.77&CDS=1-1044
OG0001935	YJL126W	genemark-KI547142.1-processed-gene-3.81-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.81&CDS=1-882
OG0001936	YJL127C	maker-KI547148.1-augustus-gene-1.117-mRNA-1_1&gene=maker-KI547148.1-augustus-gene-1.117&CDS=1-2295
OG0001937	YJL127C-B	augustus_masked-KI547153.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-KI547153.1-processed-gene-0.58&CDS=1-207
OG0001938	YJL128C	genemark-KI547140.1-processed-gene-4.63-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.63&CDS=1-2208
OG0001939	YJL130C	augustus_masked-KI547148.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-KI547148.1-processed-gene-1.30&CDS=1-6654
OG0001940	YJL140W	genemark-KI547136.1-processed-gene-0.70-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.70&CDS=1-612
OG0001941	YJL141C	genemark-KI547136.1-processed-gene-0.71-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.71&CDS=1-2229
OG0001942	YJL143W	genemark-KI547136.1-processed-gene-0.72-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.72&CDS=1-462
OG0001943	YJL148W	genemark-KI547135.1-processed-gene-8.14-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.14&CDS=1-681
OG0001944	YJL153C	genemark-KI547142.1-processed-gene-1.143-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.143&CDS=1-1560
OG0001945	YJL154C	genemark-KI547136.1-processed-gene-6.63-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-6.63&CDS=1-2712
OG0001946	YJL155C	genemark-KI547142.1-processed-gene-4.125-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.125&CDS=1-1368
OG0001947	YJL156C	genemark-KI547142.1-processed-gene-4.162-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.162&CDS=1-2226
OG0001948	YJL157C	augustus_masked-KI547154.1-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-KI547154.1-processed-gene-0.130&CDS=1-2583
OG0001949	YJL166W	genemark-KI547136.1-processed-gene-0.67-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.67&CDS=1-2214
OG0001950	YJL167W	genemark-KI547136.1-processed-gene-0.47-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.47&CDS=1-1053
OG0001951	YJL168C	genemark-KI547150.1-processed-gene-1.125-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.125&CDS=1-2169
OG0001952	YJL171C	genemark-KI547156.1-processed-gene-0.208-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.208&CDS=1-1158
OG0001953	YJL176C	genemark-KI547136.1-processed-gene-0.48-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.48&CDS=1-4074
OG0001954	YJL179W	genemark-KI547134.1-processed-gene-9.132-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-9.132&CDS=1-351
OG0001955	YJL180C	genemark-KI547134.1-processed-gene-9.107-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-9.107&CDS=1-1044
OG0001956	YJL183W	genemark-KI547134.1-processed-gene-8.107-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-8.107&CDS=1-1287
OG0001957	YJL187C	genemark-KI547135.1-processed-gene-7.121-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.121&CDS=1-3303
OG0001958	YJL190C	snap_masked-KI547135.1-processed-gene-12.26-mRNA-1_1&gene=snap_masked-KI547135.1-processed-gene-12.26&CDS=1-390
OG0001959	YJL194W	genemark-KI547135.1-processed-gene-3.62-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-3.62&CDS=1-1389
OG0001960	YJL197W	genemark-KI547135.1-processed-gene-12.236-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.236&CDS=1-3762
OG0001961	YJL200C	genemark-KI547148.1-processed-gene-3.71-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.71&CDS=1-2385
OG0001962	YJL201W	genemark-KI547135.1-processed-gene-4.80-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-4.80&CDS=1-1458
OG0001963	YJL203W	genemark-KI547145.1-processed-gene-0.19-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-0.19&CDS=1-1176
OG0001964	YJL204C	genemark-KI547143.1-processed-gene-2.51-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.51&CDS=1-2181
OG0001965	YJL207C	snap_masked-KI547137.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-KI547137.1-processed-gene-0.33&CDS=1-6345
OG0001966	YJL208C	genemark-KI547143.1-processed-gene-0.94-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.94&CDS=1-960
OG0001967	YJR001W	genemark-KI547154.1-processed-gene-0.219-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.219&CDS=1-1779
OG0001968	YJR002W	genemark-KI547156.1-processed-gene-0.207-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.207&CDS=1-1788
OG0001969	YJR003C	genemark-KI547144.1-processed-gene-3.44-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.44&CDS=1-1371
OG0001970	YJR005W	genemark-KI547135.1-processed-gene-0.85-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-0.85&CDS=1-2055
OG0001971	YJR006W	genemark-KI547146.1-processed-gene-1.115-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.115&CDS=1-1365
OG0001972	YJR007W	genemark-KI547134.1-processed-gene-1.62-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.62&CDS=1-900
OG0001973	YJR008W	genemark-KI547135.1-processed-gene-0.86-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-0.86&CDS=1-1023
OG0001974	YJR010W	genemark-KI547135.1-processed-gene-2.24-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-2.24&CDS=1-1563
OG0001975	YJR013W	genemark-KI547139.1-processed-gene-4.83-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-4.83&CDS=1-1233
OG0001976	YJR014W	genemark-KI547145.1-processed-gene-2.60-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.60&CDS=1-570
OG0001977	YJR016C	genemark-KI547146.1-processed-gene-0.69-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.69&CDS=1-1794
OG0001978	YJR017C	genemark-KI547134.1-processed-gene-5.77-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-5.77&CDS=1-531
OG0001979	YJR024C	genemark-KI547146.1-processed-gene-3.17-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.17&CDS=1-801
OG0001980	YJR025C	genemark-KI547137.1-processed-gene-7.173-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.173&CDS=1-510
OG0001981	YJR032W	genemark-KI547158.1-processed-gene-0.76-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.76&CDS=1-1113
OG0001982	YJR033C	genemark-KI547147.1-processed-gene-1.69-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.69&CDS=1-4284
OG0001983	YJR034W	genemark-KI547147.1-processed-gene-1.50-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.50&CDS=1-378
OG0001984	YJR035W	genemark-KI547142.1-processed-gene-4.106-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.106&CDS=1-3117
OG0001985	YJR036C	genemark-KI547146.1-processed-gene-1.113-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.113&CDS=1-2727
OG0001986	YJR040W	augustus_masked-KI547141.1-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-5.58&CDS=1-2271
OG0001987	YJR041C	genemark-KI547141.1-processed-gene-5.98-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.98&CDS=1-3216
OG0001988	YJR042W	genemark-KI547141.1-processed-gene-5.96-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.96&CDS=1-2271
OG0001989	YJR044C	genemark-KI547137.1-processed-gene-4.19-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.19&CDS=1-417
OG0001990	YJR045C	genemark-KI547155.1-processed-gene-0.209-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.209&CDS=1-1935
OG0001991	YJR050W	augustus_masked-KI547149.1-processed-gene-2.198-mRNA-1_1&gene=augustus_masked-KI547149.1-processed-gene-2.198&CDS=1-711
OG0001992	YJR052W	augustus_masked-KI547136.1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-4.115&CDS=1-1689
OG0001993	YJR055W	genemark-KI547134.1-processed-gene-4.30-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.30&CDS=1-420
OG0001994	YJR057W	genemark-KI547135.1-processed-gene-5.60-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.60&CDS=1-660
OG0001995	YJR058C	augustus_masked-KI547135.1-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-5.38&CDS=1-435
OG0001996	YJR060W	augustus_masked-KI547144.1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-KI547144.1-processed-gene-1.110&CDS=1-1524
OG0001997	YJR062C	genemark-KI547136.1-processed-gene-3.91-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.91&CDS=1-945
OG0001998	YJR063W	genemark-KI547155.1-processed-gene-0.229-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.229&CDS=1-369
OG0001999	YJR064W	genemark-KI547155.1-processed-gene-0.184-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.184&CDS=1-1638
OG0002000	YJR065C	genemark-KI547155.1-processed-gene-0.185-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.185&CDS=1-1260
OG0002001	YJR068W	genemark-KI547151.1-processed-gene-1.153-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.153&CDS=1-1026
OG0002002	YJR069C	augustus_masked-KI547146.1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-KI547146.1-processed-gene-3.91&CDS=1-1737
OG0002003	YJR070C	genemark-KI547155.1-processed-gene-0.183-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.183&CDS=1-948
OG0002004	YJR072C	genemark-KI547151.1-processed-gene-1.158-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.158&CDS=1-1104
OG0002005	YJR073C	genemark-KI547140.1-processed-gene-2.62-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-2.62&CDS=1-642
OG0002006	YJR074W	genemark-KI547138.1-processed-gene-2.90-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-2.90&CDS=1-519
OG0002007	YJR075W	genemark-KI547138.1-processed-gene-2.74-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-2.74&CDS=1-1191
OG0002008	YJR076C	genemark-KI547143.1-processed-gene-0.109-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.109&CDS=1-1155
OG0002009	YJR077C	genemark-KI547135.1-processed-gene-8.13-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.13&CDS=1-912
OG0002010	YJR078W	augustus_masked-KI547146.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-KI547146.1-processed-gene-0.108&CDS=1-2727
OG0002011	YJR080C	genemark-KI547147.1-processed-gene-0.94-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-0.94&CDS=1-1242
OG0002012	YJR084W	genemark-KI547146.1-processed-gene-2.74-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.74&CDS=1-1341
OG0002013	YJR086W	genemark-KI547151.1-processed-gene-0.53-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-0.53&CDS=1-267
OG0002014	YJR088C	genemark-KI547146.1-processed-gene-2.73-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.73&CDS=1-882
OG0002015	YJR090C	augustus_masked-KI547146.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-KI547146.1-processed-gene-2.46&CDS=1-2178
OG0002016	YJR092W	genemark-KI547146.1-processed-gene-2.95-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.95&CDS=1-4617
OG0002017	YJR093C	genemark-KI547146.1-processed-gene-2.94-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.94&CDS=1-870
OG0002018	YJR095W	genemark-KI547146.1-processed-gene-2.86-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.86&CDS=1-978
OG0002019	YJR096W	genemark-KI547140.1-processed-gene-2.51-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-2.51&CDS=1-843
OG0002020	YJR097W	genemark-AYLH01000370.1-processed-gene-0.24-mRNA-1_1&gene=genemark-AYLH01000370.1-processed-gene-0.24&CDS=1-462
OG0002021	YJR098C	genemark-KI547142.1-processed-gene-3.73-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.73&CDS=1-2064
OG0002022	YJR099W	genemark-KI547135.1-processed-gene-12.189-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.189&CDS=1-708
OG0002023	YJR100C	genemark-KI547146.1-processed-gene-2.85-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.85&CDS=1-969
OG0002024	YJR101W	genemark-KI547146.1-processed-gene-2.72-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.72&CDS=1-765
OG0002025	YJR102C	genemark-KI547146.1-processed-gene-2.92-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.92&CDS=1-603
OG0002026	YJR104C	genemark-KI547139.1-processed-gene-3.133-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.133&CDS=1-462
OG0002027	YJR105W	genemark-KI547138.1-processed-gene-6.58-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.58&CDS=1-1038
OG0002028	YJR109C	genemark-KI547137.1-processed-gene-1.53-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.53&CDS=1-3417
OG0002029	YJR110W	augustus_masked-KI547135.1-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-9.122&CDS=1-7722
OG0002030	YJR112W	genemark-KI547137.1-processed-gene-1.55-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.55&CDS=1-609
OG0002031	YJR112W-A	maker-KI547135.1-augustus-gene-6.39-mRNA-1_1&gene=maker-KI547135.1-augustus-gene-6.39&CDS=1-858
OG0002032	YJR113C	genemark-KI547146.1-processed-gene-0.79-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.79&CDS=1-786
OG0002033	YJR116W	genemark-KI547134.1-processed-gene-7.109-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.109&CDS=1-873
OG0002034	YJR117W	genemark-KI547145.1-processed-gene-3.123-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.123&CDS=1-1353
OG0002035	YJR118C	genemark-KI547134.1-processed-gene-7.128-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.128&CDS=1-498
OG0002036	YJR119C	genemark-KI547145.1-processed-gene-3.126-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.126&CDS=1-2376
OG0002037	YJR121W	genemark-KI547145.1-processed-gene-3.124-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.124&CDS=1-1506
OG0002038	YJR122W	genemark-KI547141.1-processed-gene-3.82-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.82&CDS=1-1305
OG0002039	YJR123W	genemark-KI547157.1-processed-gene-0.105-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.105&CDS=1-675
OG0002040	YJR124C	genemark-KI547157.1-processed-gene-0.107-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.107&CDS=1-1254
OG0002041	YJR126C	genemark-KI547154.1-processed-gene-0.214-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.214&CDS=1-2283
OG0002042	YJR131W	genemark-KI547134.1-processed-gene-10.45-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.45&CDS=1-1935
OG0002043	YJR132W	genemark-KI547145.1-processed-gene-3.75-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.75&CDS=1-3093
OG0002044	YJR135W-A	augustus_masked-KI547140.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-0.109&CDS=1-267
OG0002045	YJR137C	genemark-KI547136.1-processed-gene-1.57-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-1.57&CDS=1-4299
OG0002046	YJR138W	maker-KI547134.1-augustus-gene-8.144-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-8.144&CDS=1-5250
OG0002047	YJR139C	genemark-KI547134.1-processed-gene-8.94-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-8.94&CDS=1-1077
OG0002048	YJR142W	genemark-KI547136.1-processed-gene-0.84-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.84&CDS=1-936
OG0002049	YJR143C	genemark-KI547136.1-processed-gene-0.58-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.58&CDS=1-2238
OG0002050	YJR144W	genemark-KI547134.1-processed-gene-8.123-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-8.123&CDS=1-855
OG0002051	YJR149W	genemark-KI547149.1-processed-gene-0.104-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-0.104&CDS=1-1113
OG0002052	YKL001C	augustus_masked-KI547143.1-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-KI547143.1-processed-gene-1.0&CDS=1-600
OG0002053	YKL003C	genemark-KI547143.1-processed-gene-1.40-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-1.40&CDS=1-363
OG0002054	YKL004W	snap_masked-KI547143.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-KI547143.1-processed-gene-3.9&CDS=1-1428
OG0002055	YKL006C-A	augustus_masked-KI547137.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-0.68&CDS=1-285
OG0002056	YKL007W	genemark-KI547137.1-processed-gene-0.86-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.86&CDS=1-774
OG0002057	YKL009W	augustus_masked-KI547160.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-KI547160.1-processed-gene-0.6&CDS=1-699
OG0002058	YKL010C	genemark-KI547137.1-processed-gene-0.85-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.85&CDS=1-4500
OG0002059	YKL013C	maker-KI547137.1-snap-gene-0.2-mRNA-1_1&gene=maker-KI547137.1-snap-gene-0.2&CDS=1-2193
OG0002060	YKL015W	genemark-KI547134.1-processed-gene-1.82-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.82&CDS=1-3012
OG0002061	YKL016C	genemark-KI547134.1-processed-gene-1.87-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.87&CDS=1-525
OG0002062	YKL017C	augustus_masked-KI547134.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-1.121&CDS=1-7977
OG0002063	YKL018W	genemark-KI547134.1-processed-gene-1.89-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.89&CDS=1-1071
OG0002064	YKL019W	genemark-KI547135.1-processed-gene-10.68-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-10.68&CDS=1-906
OG0002065	YKL021C	genemark-KI547144.1-processed-gene-3.38-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.38&CDS=1-1326
OG0002066	YKL022C	augustus_masked-KI547144.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-KI547144.1-processed-gene-2.124&CDS=1-1887
OG0002067	YKL024C	genemark-KI547134.1-processed-gene-5.78-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-5.78&CDS=1-834
OG0002068	YKL025C	genemark-KI547146.1-processed-gene-0.103-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.103&CDS=1-1800
OG0002069	YKL027W	maker-KI547156.1-augustus-gene-0.252-mRNA-1_1&gene=maker-KI547156.1-augustus-gene-0.252&CDS=1-2127
OG0002070	YKL028W	genemark-KI547135.1-processed-gene-9.71-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.71&CDS=1-1152
OG0002071	YKL029C	genemark-KI547138.1-processed-gene-3.120-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.120&CDS=1-1872
OG0002072	YKL030W	snap_masked-KI547138.1-processed-gene-3.41-mRNA-1_1&gene=snap_masked-KI547138.1-processed-gene-3.41&CDS=1-297
OG0002073	YKL033W	genemark-KI547134.1-processed-gene-7.114-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.114&CDS=1-3456
OG0002074	YKL034W	genemark-KI547138.1-processed-gene-0.9-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-0.9&CDS=1-2409
OG0002075	YKL035W	genemark-KI547137.1-processed-gene-7.170-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.170&CDS=1-1506
OG0002076	YKL040C	genemark-KI547156.1-processed-gene-0.233-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.233&CDS=1-726
OG0002077	YKL041W	genemark-KI547156.1-processed-gene-0.248-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.248&CDS=1-654
