	Candida_albicans	Saccharomyces_cerevisiae
OG0003682	C1_04960C_A	YML088W
OG0003683	CR_01050C_A	YKL012W
OG0003684	CR_02820W_A	YMR105C
OG0003685	C6_02290C_A	YPL207W
OG0003686	C1_14500C_A	YDR071C
OG0003687	CR_07590W_A	YGL200C
OG0003688	C4_01440W_A	YLR195C
OG0003689	CR_06740W_A	YHR172W
OG0003690	CM_00240W	Q0065
OG0003691	C3_00840C_A	YER093C-A
OG0003692	C1_00730C_A	YLR433C
OG0003693	C2_10460C_A	YPL023C
OG0003694	C2_03780C_A	YLR361C
OG0003695	CR_02570C_A	YOR084W
OG0003696	C5_04270C_A	YER043C
OG0003697	C6_02260C_A	YGL137W
OG0003698	C1_13010W_A	YLR067C
OG0003699	C3_03390C_A	YPL252C
OG0003700	C1_10470W_A	YBR251W
OG0003701	C2_05920C_A	YLR395C
OG0003702	C1_12200W_A	YKL165C
OG0003703	C3_06230W_A	YDR430C
OG0003704	C1_02710W_A	YFL022C
OG0003705	C7_02480W_A	YDR231C
OG0003706	C5_03390C_A	YHR128W
OG0003707	C4_01740W_A	YBR091C
OG0003708	C4_06810C_A	YDR189W
OG0003709	C5_01320W_A	YDR477W
OG0003710	C4_05680W_A	YFR034C
OG0003711	C5_00930C_A	YLR178C
OG0003712	CR_05900W_A	YJL044C
OG0003713	C1_10100C_A	YER009W
OG0003714	C5_01410C_A	YCL045C
OG0003715	C4_00620C_A	YML055W
OG0003716	C4_04590W_A	YMR272C
OG0003717	C3_04820C_A	YDR170C
OG0003718	C7_01180W_A	YOL009C
OG0003719	C7_02300W_A	YDR349C
OG0003720	C1_05930C_A	YBR281C
OG0003721	C1_09370W_A	YMR213W
OG0003722	C1_00310W_A	YOR161C
OG0003723	C2_07470W_A	YLR272C
OG0003724	CR_01370C_A	YDR337W
OG0003725	C2_08160C_A	YPR028W
OG0003726	C7_01350C_A	YNL315C
OG0003727	C3_01210C_A	YDL002C
OG0003728	CR_06980W_A	YNL260C
OG0003729	C6_02270C_A	YNL048W
OG0003730	C2_07610C_A	YDR333C
OG0003731	C2_08960C_A	YPL066W
OG0003732	CR_01130W_A	YDR128W
OG0003733	CR_05220C_A	YHL032C
OG0003734	C1_06710W_A	YDL108W
OG0003735	CR_04180C_A	YNL059C
OG0003736		YAL051W, YOR363C
OG0003737		YCR106W, YLL054C
OG0003738		YER160C, YLR035C-A
