	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0001699	genemark-HG793127-processed-gene-3.103-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.103&CDS=1-1578	YCR014C
OG0001700	genemark-HG793127-processed-gene-3.129-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.129&CDS=1-867	YLR209C
OG0001701	augustus_masked-HG793127-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-3.62&CDS=1-1320	YGL129C
OG0001702	genemark-HG793127-processed-gene-3.130-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.130&CDS=1-1398	YGL130W
OG0001703	genemark-HG793127-processed-gene-3.108-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.108&CDS=1-3969	YGL131C
OG0001704	genemark-HG793127-processed-gene-3.131-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.131&CDS=1-696	YPL213W
OG0001705	augustus_masked-HG793127-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-3.65&CDS=1-495	YER009W
OG0001706	genemark-HG793127-processed-gene-3.112-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.112&CDS=1-1368	YOL030W
OG0001707	genemark-HG793127-processed-gene-3.134-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.134&CDS=1-2022	YOR017W
OG0001708	genemark-HG793127-processed-gene-3.113-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.113&CDS=1-1203	YPR199C
OG0001709	genemark-HG793127-processed-gene-3.114-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.114&CDS=1-1134	YHR177W
OG0001710	genemark-HG793127-processed-gene-3.116-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.116&CDS=1-2340	YIL005W
OG0001711	maker-HG793127-snap-gene-3.142-mRNA-1_1&gene=maker-HG793127-snap-gene-3.142&CDS=1-813	YMR009W
OG0001712	genemark-HG793127-processed-gene-3.135-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.135&CDS=1-1269	YEL002C
OG0001713	genemark-HG793127-processed-gene-3.120-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.120&CDS=1-1518	YIL001W
OG0001714	genemark-HG793127-processed-gene-3.137-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.137&CDS=1-705	YEL001C
OG0001715	augustus_masked-HG793127-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-3.76&CDS=1-597	YIL007C
OG0001716	augustus_masked-HG793127-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.52&CDS=1-297	YIL008W
OG0001717	augustus_masked-HG793127-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.53&CDS=1-828	YGL005C
OG0001718	genemark-HG793127-processed-gene-4.108-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.108&CDS=1-363	YDR511W
OG0001719	genemark-HG793127-processed-gene-4.109-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.109&CDS=1-855	YCL031C
OG0001720	genemark-HG793127-processed-gene-4.113-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.113&CDS=1-1068	YCL032W
OG0001721	genemark-HG793127-processed-gene-4.115-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.115&CDS=1-975	YOL094C
OG0001722	genemark-HG793127-processed-gene-4.116-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.116&CDS=1-1812	YDR484W
OG0001723	augustus_masked-HG793127-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.59&CDS=1-2244	YOL095C
OG0001724	augustus_masked-HG793127-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.80&CDS=1-675	YNL282W
OG0001725	genemark-HG793127-processed-gene-4.139-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.139&CDS=1-3129	YGL141W
OG0001726	genemark-HG793127-processed-gene-4.118-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.118&CDS=1-3333	YDL102W
OG0001727	snap_masked-HG793127-processed-gene-4.14-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-4.14&CDS=1-996	YLR271W
OG0001728	genemark-HG793127-processed-gene-4.123-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.123&CDS=1-288	YDR424C
OG0001729	augustus_masked-HG793127-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.85&CDS=1-1932	YDR338C
OG0001730	genemark-HG793127-processed-gene-4.125-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.125&CDS=1-1776	YLR035C
OG0001731	snap_masked-HG793127-processed-gene-4.38-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-4.38&CDS=1-3849	YMR129W
OG0001732	snap_masked-HG793127-processed-gene-4.39-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-4.39&CDS=1-600	YJR073C
OG0001733	genemark-HG793127-processed-gene-4.126-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.126&CDS=1-3870	YKL209C
OG0001734	genemark-HG793127-processed-gene-4.145-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.145&CDS=1-3069	YKL210W
OG0001735	genemark-HG793127-processed-gene-4.127-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.127&CDS=1-1398	YLR163C
OG0001736	genemark-HG793127-processed-gene-4.128-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.128&CDS=1-396	YCR028C-A
OG0001737	genemark-HG793127-processed-gene-4.148-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.148&CDS=1-1305	YKL178C
OG0001738	genemark-HG793127-processed-gene-4.150-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.150&CDS=1-621	YJR074W
OG0001739	genemark-HG793127-processed-gene-4.129-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.129&CDS=1-2520	YCR030C
OG0001740	genemark-HG793127-processed-gene-4.151-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.151&CDS=1-2424	YNL054W
OG0001741	augustus_masked-HG793127-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.72&CDS=1-2637	YJL187C
OG0001742	snap_masked-HG793127-processed-gene-4.26-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-4.26&CDS=1-1113	YIL113W
OG0001743	genemark-HG793127-processed-gene-4.133-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.133&CDS=1-2976	YIL112W
OG0001744	augustus_masked-HG793127-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.76&CDS=1-708	YNL050C
OG0001745	augustus_masked-HG793127-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-4.77&CDS=1-1542	YOL013C
OG0001746	maker-HG793127-snap-gene-5.65-mRNA-1_1&gene=maker-HG793127-snap-gene-5.65&CDS=1-4593	YLR259C
OG0001747	genemark-HG793127-processed-gene-5.0-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.0&CDS=1-1767	YEL062W
OG0001748	genemark-HG793127-processed-gene-5.11-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.11&CDS=1-615	YLL027W
OG0001749	genemark-HG793127-processed-gene-5.33-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.33&CDS=1-1914	YAL048C
OG0001750	maker-HG793127-snap-gene-5.60-mRNA-1_1&gene=maker-HG793127-snap-gene-5.60&CDS=1-1047	YOR362C
OG0001751	genemark-HG793127-processed-gene-5.13-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.13&CDS=1-2169	YOR361C
OG0001752	genemark-HG793127-processed-gene-5.35-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.35&CDS=1-339	YAL046C
OG0001753	genemark-HG793127-processed-gene-5.14-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.14&CDS=1-1680	YOR329C
OG0001754	genemark-HG793127-processed-gene-5.37-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.37&CDS=1-3486	YML104C
OG0001755	genemark-HG793127-processed-gene-5.15-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.15&CDS=1-960	YPR065W
OG0001756	genemark-HG793127-processed-gene-5.16-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.16&CDS=1-1365	YLL011W
OG0001757	snap_masked-HG793127-processed-gene-5.136-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-5.136&CDS=1-2109	YGR150C
OG0001758	genemark-HG793127-processed-gene-5.21-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.21&CDS=1-1419	YPR178W
OG0001759	augustus_masked-HG793127-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-5.107&CDS=1-1065	YPR180W
OG0001760	snap_masked-HG793127-processed-gene-5.159-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-5.159&CDS=1-1251	YLR459W
OG0001761	augustus_masked-HG793127-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-5.109&CDS=1-1671	YMR258C
OG0001762	genemark-HG793127-processed-gene-5.23-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.23&CDS=1-1161	YJR076C
OG0001763	genemark-HG793127-processed-gene-5.24-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.24&CDS=1-795	YOR174W
OG0001764	genemark-HG793127-processed-gene-5.45-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.45&CDS=1-1872	YOR175C
OG0001765	augustus_masked-HG793127-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-5.92&CDS=1-2280	YMR004W
OG0001766	genemark-HG793127-processed-gene-5.46-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.46&CDS=1-1080	YOL010W
OG0001767	genemark-HG793127-processed-gene-5.27-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.27&CDS=1-1035	YMR005W
OG0001768	genemark-HG793127-processed-gene-5.47-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.47&CDS=1-747	YKL095W
OG0001769	genemark-HG793127-processed-gene-5.28-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.28&CDS=1-3375	YLR272C
OG0001770	genemark-HG793127-processed-gene-5.48-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.48&CDS=1-1128	YOR176W
OG0001771	maker-HG793127-snap-gene-5.64-mRNA-1_1&gene=maker-HG793127-snap-gene-5.64&CDS=1-1050	YOL009C
OG0001772	genemark-HG793127-processed-gene-5.32-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.32&CDS=1-870	YNR064C
OG0001773	genemark-HG793127-processed-gene-5.51-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.51&CDS=1-903	YGL254W
OG0001774	genemark-HG793127-processed-gene-6.9-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.9&CDS=1-1392	YJL213W
OG0001775	genemark-HG793127-processed-gene-6.13-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.13&CDS=1-1464	YGL055W
OG0001776	genemark-HG793127-processed-gene-6.14-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.14&CDS=1-822	YBR213W
OG0001777	genemark-HG793127-processed-gene-6.41-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.41&CDS=1-411	YGL054C
OG0001778	genemark-HG793127-processed-gene-6.42-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.42&CDS=1-1008	YLR283W
OG0001779	genemark-HG793127-processed-gene-6.17-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.17&CDS=1-312	YLR275W
OG0001780	genemark-HG793127-processed-gene-6.18-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.18&CDS=1-1965	YLR289W
OG0001781	genemark-HG793127-processed-gene-6.19-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.19&CDS=1-1125	YIR034C
OG0001782	genemark-HG793127-processed-gene-6.20-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.20&CDS=1-1134	YBR155W
OG0001783	genemark-HG793127-processed-gene-6.21-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.21&CDS=1-2934	YOL021C
OG0001784	genemark-HG793127-processed-gene-6.23-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.23&CDS=1-663	YEL024W
OG0001785	genemark-HG793127-processed-gene-6.43-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.43&CDS=1-1596	YEL023C
OG0001786	snap_masked-HG793127-processed-gene-6.79-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-6.79&CDS=1-2238	YGR128C
OG0001787	genemark-HG793127-processed-gene-6.44-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.44&CDS=1-2382	YJR040W
OG0001788	genemark-HG793127-processed-gene-6.26-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.26&CDS=1-432	YBR282W
OG0001789	genemark-HG793127-processed-gene-6.45-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.45&CDS=1-633	YJL065C
OG0001790	genemark-HG793127-processed-gene-6.27-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.27&CDS=1-1119	YJR068W
OG0001791	snap_masked-HG793127-processed-gene-6.83-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-6.83&CDS=1-1650	YPR018W
OG0001792	augustus_masked-HG793127-processed-gene-6.153-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-6.153&CDS=1-1839	YOR370C
OG0001793	genemark-HG793127-processed-gene-6.30-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.30&CDS=1-483	YGR082W
OG0001794	genemark-HG793127-processed-gene-6.50-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.50&CDS=1-3111	YPR097W
OG0001795	genemark-HG793127-processed-gene-6.31-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.31&CDS=1-2595	YPR095C
OG0001796	genemark-HG793127-processed-gene-6.32-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.32&CDS=1-1344	YHR030C
OG0001797	genemark-HG793127-processed-gene-6.34-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.34&CDS=1-2790	YHR027C
OG0001798	maker-HG793127-augustus-gene-6.62-mRNA-1_1&gene=maker-HG793127-augustus-gene-6.62&CDS=1-636	YHR026W
OG0001799	genemark-HG793127-processed-gene-6.53-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.53&CDS=1-1065	YHR025W
OG0001800	genemark-HG793127-processed-gene-6.35-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.35&CDS=1-1452	YHR024C
OG0001801	maker-HG793127-snap-gene-6.6-mRNA-1_1&gene=maker-HG793127-snap-gene-6.6&CDS=1-4311	YHR023W
OG0001802	genemark-HG793127-processed-gene-6.55-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.55&CDS=1-447	YHR051W
OG0001803	snap_masked-HG793127-processed-gene-6.111-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-6.111&CDS=1-1980	YJL041W
OG0001804	genemark-HG793127-processed-gene-6.36-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.36&CDS=1-978	YMR201C
OG0001805	genemark-HG793127-processed-gene-6.38-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.38&CDS=1-891	YJL126W
OG0001806	genemark-HG793127-processed-gene-6.57-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.57&CDS=1-651	YMR202W
OG0001807	genemark-HG793127-processed-gene-7.4-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.4&CDS=1-1359	YNR012W
OG0001808	genemark-HG793127-processed-gene-7.5-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.5&CDS=1-1854	YBL061C
OG0001809	genemark-HG793127-processed-gene-7.6-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.6&CDS=1-1086	YGR044C
OG0001810	genemark-HG793127-processed-gene-7.30-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.30&CDS=1-1140	YLR355C
OG0001811	genemark-HG793127-processed-gene-7.8-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.8&CDS=1-2916	YIR002C
OG0001812	genemark-HG793127-processed-gene-7.9-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.9&CDS=1-540	YER007C-A
OG0001813	augustus_masked-HG793127-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-7.92&CDS=1-1605	YER007W
OG0001814	maker-HG793127-augustus-gene-7.47-mRNA-1_1&gene=maker-HG793127-augustus-gene-7.47&CDS=1-636	YIR005W
OG0001815	genemark-HG793127-processed-gene-7.11-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.11&CDS=1-2118	YER005W
OG0001816	genemark-HG793127-processed-gene-7.12-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.12&CDS=1-1512	YER006W
OG0001817	genemark-HG793127-processed-gene-7.13-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.13&CDS=1-1476	YGR159C
OG0001818	genemark-HG793127-processed-gene-7.14-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.14&CDS=1-1845	YGL045W
OG0001819	genemark-HG793127-processed-gene-7.34-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.34&CDS=1-1032	YDR347W
OG0001820	maker-HG793127-snap-gene-7.54-mRNA-1_1&gene=maker-HG793127-snap-gene-7.54&CDS=1-1155	YER133W
OG0001821	genemark-HG793127-processed-gene-7.18-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.18&CDS=1-603	YGL200C
OG0001822	genemark-HG793127-processed-gene-7.19-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.19&CDS=1-450	YFR011C
OG0001823	genemark-HG793127-processed-gene-7.35-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.35&CDS=1-1458	YFR010W
OG0001824	genemark-HG793127-processed-gene-7.36-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.36&CDS=1-1065	YER182W
OG0001825	genemark-HG793127-processed-gene-7.20-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.20&CDS=1-1398	YHR207C
OG0001826	genemark-HG793127-processed-gene-7.37-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.37&CDS=1-1335	YHR206W
OG0001827	genemark-HG793127-processed-gene-7.38-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.38&CDS=1-2121	YHR205W
OG0001828	genemark-HG793127-processed-gene-7.21-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.21&CDS=1-2229	YHR204W
OG0001829	augustus_masked-HG793127-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-7.83&CDS=1-1395	YMR029C
OG0001830	genemark-HG793127-processed-gene-7.40-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.40&CDS=1-1245	YOL058W
OG0001831	genemark-HG793127-processed-gene-7.24-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.24&CDS=1-1686	YPL030W
OG0001832	genemark-HG793127-processed-gene-7.44-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.44&CDS=1-2106	YPL043W
OG0001833	genemark-HG793127-processed-gene-7.25-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.25&CDS=1-1347	YDR254W
OG0001834	genemark-HG793127-processed-gene-7.45-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.45&CDS=1-2496	YPL045W
OG0001835	genemark-HG793127-processed-gene-7.26-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.26&CDS=1-321	YPL046C
OG0001836	genemark-HG793127-processed-gene-7.46-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.46&CDS=1-2574	YPL084W
OG0001837	maker-HG793127-augustus-gene-7.50-mRNA-1_1&gene=maker-HG793127-augustus-gene-7.50&CDS=1-1206	YDR255C
OG0001838	genemark-HG793127-processed-gene-7.28-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.28&CDS=1-831	YLR220W
OG0001839	genemark-HG793127-processed-gene-8.3-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.3&CDS=1-1113	YML008C
OG0001840	augustus_masked-HG793127-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-8.56&CDS=1-1995	YJL093C
OG0001841	genemark-HG793127-processed-gene-8.4-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.4&CDS=1-1563	YJL091C
OG0001842	genemark-HG793127-processed-gene-8.5-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.5&CDS=1-3639	YEL031W
OG0001843	snap_masked-HG793127-processed-gene-8.129-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-8.129&CDS=1-3519	YJR041C
OG0001844	augustus_masked-HG793127-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-8.61&CDS=1-2298	YJR042W
OG0001845	genemark-HG793127-processed-gene-8.30-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.30&CDS=1-480	YEL027W
OG0001846	genemark-HG793127-processed-gene-8.7-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.7&CDS=1-378	YEL026W
OG0001847	augustus_masked-HG793127-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-8.63&CDS=1-4725	YFR009W
OG0001848	genemark-HG793127-processed-gene-8.31-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.31&CDS=1-3246	YKL197C
OG0001849	genemark-HG793127-processed-gene-8.10-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.10&CDS=1-432	YJR058C
OG0001850	genemark-HG793127-processed-gene-8.32-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.32&CDS=1-471	YJR047C
OG0001851	genemark-HG793127-processed-gene-8.11-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.11&CDS=1-474	YJL011C
OG0001852	snap_masked-HG793127-processed-gene-8.135-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-8.135&CDS=1-1515	YPR163C
OG0001853	genemark-HG793127-processed-gene-8.36-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.36&CDS=1-486	YBL093C
OG0001854	genemark-HG793127-processed-gene-8.14-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.14&CDS=1-393	YBL092W
OG0001855	genemark-HG793127-processed-gene-8.15-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.15&CDS=1-2169	YLR274W
OG0001856	genemark-HG793127-processed-gene-8.37-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.37&CDS=1-1473	YFR006W
OG0001857	genemark-HG793127-processed-gene-8.16-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.16&CDS=1-1443	YFR005C
OG0001858	genemark-HG793127-processed-gene-8.38-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.38&CDS=1-939	YFR004W
OG0001859	augustus_masked-HG793127-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-8.72&CDS=1-2118	YOL143C
OG0001860	genemark-HG793127-processed-gene-8.22-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.22&CDS=1-948	YNR034W
OG0001861	genemark-HG793127-processed-gene-8.23-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.23&CDS=1-477	YAR008W
OG0001862	genemark-HG793127-processed-gene-8.44-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.44&CDS=1-1578	YKL045W
OG0001863	genemark-HG793127-processed-gene-8.24-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.24&CDS=1-1062	YDR435C
OG0001864	genemark-HG793127-processed-gene-8.45-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.45&CDS=1-615	YNR017W
OG0001865	genemark-HG793127-processed-gene-8.25-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.25&CDS=1-6663	YNR016C
OG0001866	genemark-HG793127-processed-gene-8.26-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.26&CDS=1-1164	YCR045C
OG0001867	genemark-HG793127-processed-gene-8.46-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.46&CDS=1-1641	YJR010W
OG0001868	augustus_masked-HG793127-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-8.98&CDS=1-1002	YEL029C
OG0001869	snap_masked-HG793127-processed-gene-8.148-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-8.148&CDS=1-1035	YGR193C
OG0001870	genemark-HG793127-processed-gene-8.27-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.27&CDS=1-1980	YLR002C
OG0001871	maker-HG793127-augustus-gene-9.53-mRNA-1_1&gene=maker-HG793127-augustus-gene-9.53&CDS=1-1959	YIR029W
