	Clavispora_lusitaniae	Saccharomyces_cerevisiae
OG0001321	genemark-NW_003101574.1-processed-gene-12.58-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.58&CDS=1-3243	YBL076C
OG0001322	genemark-NW_003101574.1-processed-gene-12.78-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.78&CDS=1-3012	YPL183C
OG0001323	genemark-NW_003101574.1-processed-gene-12.60-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.60&CDS=1-693	YNL168C
OG0001324	genemark-NW_003101574.1-processed-gene-12.81-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.81&CDS=1-945	YHR144C
OG0001325	genemark-NW_003101574.1-processed-gene-12.61-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.61&CDS=1-5175	YPL006W
OG0001326	snap_masked-NW_003101574.1-processed-gene-12.134-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-12.134&CDS=1-219	YHR143W-A
OG0001327	genemark-NW_003101574.1-processed-gene-12.85-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.85&CDS=1-984	YNL025C
OG0001328	genemark-NW_003101574.1-processed-gene-12.64-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.64&CDS=1-1023	YIL083C
OG0001329	genemark-NW_003101574.1-processed-gene-13.98-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.98&CDS=1-1350	YNL026W
OG0001330	genemark-NW_003101574.1-processed-gene-13.100-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.100&CDS=1-1266	YML005W
OG0001331	augustus_masked-NW_003101574.1-processed-gene-13.162-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-13.162&CDS=1-3312	YNL016W
OG0001332	maker-NW_003101574.1-snap-gene-13.92-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-13.92&CDS=1-1860	YBR287W
OG0001333	genemark-NW_003101574.1-processed-gene-13.134-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.134&CDS=1-747	YJL115W
OG0001334	genemark-NW_003101574.1-processed-gene-13.135-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.135&CDS=1-3783	YER093C
OG0001335	genemark-NW_003101574.1-processed-gene-13.136-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.136&CDS=1-855	YNL075W
OG0001336	genemark-NW_003101574.1-processed-gene-13.137-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.137&CDS=1-2898	YKR050W
OG0001337	maker-NW_003101574.1-snap-gene-13.93-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-13.93&CDS=1-2094	YJL127C
OG0001338	genemark-NW_003101574.1-processed-gene-13.141-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.141&CDS=1-834	YNL032W
OG0001339	snap_masked-NW_003101574.1-processed-gene-13.65-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-13.65&CDS=1-1080	YFL026W
OG0001340	genemark-NW_003101574.1-processed-gene-13.109-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.109&CDS=1-1131	YER027C
OG0001341	augustus_masked-NW_003101574.1-processed-gene-13.175-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-13.175&CDS=1-1734	YDL035C
OG0001342	maker-NW_003101574.1-augustus-gene-13.9-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-13.9&CDS=1-2910	YOR125C
OG0001343	maker-NW_003101574.1-augustus-gene-13.3-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-13.3&CDS=1-2334	YDR477W
OG0001344	genemark-NW_003101574.1-processed-gene-13.115-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.115&CDS=1-1386	YOR025W
OG0001345	genemark-NW_003101574.1-processed-gene-13.116-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.116&CDS=1-1995	YDR479C
OG0001346	snap_masked-NW_003101574.1-processed-gene-13.70-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-13.70&CDS=1-2676	YCL045C
OG0001347	snap_masked-NW_003101574.1-processed-gene-13.36-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-13.36&CDS=1-240	YDR525W-A
OG0001348	genemark-NW_003101574.1-processed-gene-13.148-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.148&CDS=1-1320	YDR527W
OG0001349	genemark-NW_003101574.1-processed-gene-13.149-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.149&CDS=1-585	YML036W
OG0001350	genemark-NW_003101574.1-processed-gene-13.150-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.150&CDS=1-891	YDR460W
OG0001351	genemark-NW_003101574.1-processed-gene-13.123-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.123&CDS=1-1638	YER168C
OG0001352	genemark-NW_003101574.1-processed-gene-13.124-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.124&CDS=1-5829	YDR127W
OG0001353	augustus_masked-NW_003101574.1-processed-gene-13.213-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-13.213&CDS=1-14049	YLR106C
OG0001354	genemark-NW_003101574.1-processed-gene-13.152-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.152&CDS=1-822	YCL047C
OG0001355	genemark-NW_003101574.1-processed-gene-13.128-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.128&CDS=1-4188	YDR097C
OG0001356	snap_masked-NW_003101574.1-processed-gene-13.80-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-13.80&CDS=1-3216	YDR216W
OG0001357	genemark-NW_003101574.1-processed-gene-13.157-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.157&CDS=1-1890	YER173W
OG0001358	genemark-NW_003101574.1-processed-gene-13.158-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.158&CDS=1-2175	YER169W
OG0001359	genemark-NW_003101574.1-processed-gene-13.160-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.160&CDS=1-1677	YPR018W
OG0001360	snap_masked-NW_003101574.1-processed-gene-13.52-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-13.52&CDS=1-1749	YMR313C
OG0001361	genemark-NW_003101574.1-processed-gene-13.161-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.161&CDS=1-816	YMR312W
OG0001362	genemark-NW_003101575.1-processed-gene-0.39-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.39&CDS=1-1359	YMR210W
OG0001363	genemark-NW_003101575.1-processed-gene-0.40-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.40&CDS=1-699	YGL085W
OG0001364	genemark-NW_003101575.1-processed-gene-0.61-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.61&CDS=1-1584	YEL058W
OG0001365	genemark-NW_003101575.1-processed-gene-0.43-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.43&CDS=1-966	YPL266W
OG0001366	genemark-NW_003101575.1-processed-gene-0.65-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.65&CDS=1-1869	YPL263C
OG0001367	genemark-NW_003101575.1-processed-gene-0.66-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.66&CDS=1-1506	YMR131C
OG0001368	genemark-NW_003101575.1-processed-gene-0.44-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.44&CDS=1-2592	YBR055C
OG0001369	genemark-NW_003101575.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.67&CDS=1-1998	YGL086W
OG0001370	genemark-NW_003101575.1-processed-gene-0.45-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.45&CDS=1-411	YGL087C
OG0001371	genemark-NW_003101575.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.68&CDS=1-381	YEL059C-A
OG0001372	genemark-NW_003101575.1-processed-gene-0.69-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.69&CDS=1-1647	YGL084C
OG0001373	maker-NW_003101575.1-snap-gene-0.1-mRNA-1_1&gene=maker-NW_003101575.1-snap-gene-0.1&CDS=1-1944	YDL206W
OG0001374	genemark-NW_003101575.1-processed-gene-0.52-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.52&CDS=1-510	YAL044C
OG0001375	genemark-NW_003101575.1-processed-gene-0.71-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.71&CDS=1-333	YOR327C
OG0001376	genemark-NW_003101575.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-0.53&CDS=1-1047	YLL056C
OG0001377	snap_masked-NW_003101575.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-0.92&CDS=1-1128	YFL039C
OG0001378	genemark-NW_003101575.1-processed-gene-1.36-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.36&CDS=1-1329	YGL164C
OG0001379	genemark-NW_003101575.1-processed-gene-1.51-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.51&CDS=1-1641	YGL166W
OG0001380	augustus_masked-NW_003101575.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-1.23&CDS=1-891	YAL044W-A
OG0001381	genemark-NW_003101575.1-processed-gene-1.56-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.56&CDS=1-825	YLR064W
OG0001382	genemark-NW_003101575.1-processed-gene-1.40-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.40&CDS=1-2100	YPL072W
OG0001383	augustus_masked-NW_003101575.1-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-1.27&CDS=1-2595	YHR207C
OG0001384	genemark-NW_003101575.1-processed-gene-1.41-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.41&CDS=1-3741	YBR247C
OG0001385	genemark-NW_003101575.1-processed-gene-1.63-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.63&CDS=1-969	YNL288W
OG0001386	augustus_masked-NW_003101575.1-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-1.11&CDS=1-3114	YMR038C
OG0001387	genemark-NW_003101575.1-processed-gene-1.45-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.45&CDS=1-2145	YHR074W
OG0001388	genemark-NW_003101575.1-processed-gene-1.64-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.64&CDS=1-1122	YHR075C
OG0001389	snap_masked-NW_003101575.1-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-1.81&CDS=1-888	YJL035C
OG0001390	snap_masked-NW_003101575.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-1.82&CDS=1-8355	YJR004C
OG0001391	genemark-NW_003101575.1-processed-gene-1.48-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.48&CDS=1-1377	YLR005W
OG0001392	genemark-NW_003101575.1-processed-gene-1.65-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.65&CDS=1-3078	YML010W
OG0001393	augustus_masked-NW_003101575.1-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-1.19&CDS=1-549	YML022W
OG0001394	genemark-NW_003101575.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.66&CDS=1-291	YDR424C
OG0001395	genemark-NW_003101575.1-processed-gene-2.75-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.75&CDS=1-5052	YDR443C
OG0001396	snap_masked-NW_003101575.1-processed-gene-2.4-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-2.4&CDS=1-2679	YHR154W
OG0001397	genemark-NW_003101575.1-processed-gene-2.80-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.80&CDS=1-1443	YCR054C
OG0001398	genemark-NW_003101575.1-processed-gene-2.94-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.94&CDS=1-1545	YCR053W
OG0001399	genemark-NW_003101575.1-processed-gene-2.81-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.81&CDS=1-1269	YGR046W
OG0001400	genemark-NW_003101575.1-processed-gene-2.82-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.82&CDS=1-459	YMR263W
OG0001401	genemark-NW_003101575.1-processed-gene-2.83-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.83&CDS=1-1788	YML102W
OG0001402	genemark-NW_003101575.1-processed-gene-2.96-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.96&CDS=1-555	YMR264W
OG0001403	genemark-NW_003101575.1-processed-gene-2.100-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.100&CDS=1-1434	YGR009C
OG0001404	genemark-NW_003101575.1-processed-gene-2.101-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.101&CDS=1-456	YDL208W
OG0001405	genemark-NW_003101575.1-processed-gene-2.102-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.102&CDS=1-2847	YDR238C
OG0001406	genemark-NW_003101575.1-processed-gene-2.88-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.88&CDS=1-2298	YMR075W
OG0001407	genemark-NW_003101575.1-processed-gene-2.89-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.89&CDS=1-1239	YMR062C
OG0001408	genemark-NW_003101575.1-processed-gene-2.105-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.105&CDS=1-927	YDL114W
OG0001409	genemark-NW_003101575.1-processed-gene-2.108-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-2.108&CDS=1-624	YOR115C
OG0001410	genemark-NW_003101575.1-processed-gene-3.75-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.75&CDS=1-843	YPR129W
OG0001411	genemark-NW_003101575.1-processed-gene-3.52-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.52&CDS=1-1185	YPR133C
OG0001412	genemark-NW_003101575.1-processed-gene-3.77-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.77&CDS=1-1029	YPR128C
OG0001413	augustus_masked-NW_003101575.1-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-3.124&CDS=1-2724	YKL149C
OG0001414	genemark-NW_003101575.1-processed-gene-3.80-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.80&CDS=1-879	YKL150W
OG0001415	genemark-NW_003101575.1-processed-gene-3.53-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.53&CDS=1-1050	YKL151C
OG0001416	genemark-NW_003101575.1-processed-gene-3.56-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.56&CDS=1-912	YLR151C
OG0001417	genemark-NW_003101575.1-processed-gene-3.58-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.58&CDS=1-1431	YHR065C
OG0001418	genemark-NW_003101575.1-processed-gene-3.59-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.59&CDS=1-474	YDR308C
OG0001419	maker-NW_003101575.1-augustus-gene-3.3-mRNA-1_1&gene=maker-NW_003101575.1-augustus-gene-3.3&CDS=1-2967	YDR306C
OG0001420	genemark-NW_003101575.1-processed-gene-3.85-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.85&CDS=1-2376	YKL155C
OG0001421	genemark-NW_003101575.1-processed-gene-3.61-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.61&CDS=1-729	YGR235C
OG0001422	genemark-NW_003101575.1-processed-gene-3.86-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.86&CDS=1-1083	YGR257C
OG0001423	genemark-NW_003101575.1-processed-gene-3.87-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.87&CDS=1-4242	YHR186C
OG0001424	genemark-NW_003101575.1-processed-gene-3.64-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.64&CDS=1-1362	YPL092W
OG0001425	snap_masked-NW_003101575.1-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-3.21&CDS=1-1902	YGR166W
OG0001426	genemark-NW_003101575.1-processed-gene-3.66-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.66&CDS=1-2052	YCL057W
OG0001427	genemark-NW_003101575.1-processed-gene-3.89-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.89&CDS=1-1959	YBR121C
OG0001428	genemark-NW_003101575.1-processed-gene-3.91-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.91&CDS=1-1821	YHR078W
OG0001429	genemark-NW_003101575.1-processed-gene-3.67-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.67&CDS=1-720	YDR296W
OG0001430	genemark-NW_003101575.1-processed-gene-3.69-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.69&CDS=1-1320	YKL145W
OG0001431	genemark-NW_003101575.1-processed-gene-3.92-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.92&CDS=1-588	YKL144C
OG0001432	genemark-NW_003101575.1-processed-gene-3.93-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.93&CDS=1-1173	YFR034C
OG0001433	genemark-NW_003101575.1-processed-gene-3.72-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.72&CDS=1-1062	YNL254C
OG0001434	genemark-NW_003101575.1-processed-gene-3.73-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-3.73&CDS=1-2343	YNL256W
OG0001435	genemark-NW_003101575.1-processed-gene-4.4-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.4&CDS=1-3189	YMR196W
OG0001436	genemark-NW_003101575.1-processed-gene-4.7-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.7&CDS=1-651	YMR197C
OG0001437	genemark-NW_003101575.1-processed-gene-4.8-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.8&CDS=1-468	YPL252C
OG0001438	genemark-NW_003101575.1-processed-gene-4.22-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.22&CDS=1-1326	YPL254W
OG0001439	genemark-NW_003101575.1-processed-gene-4.23-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.23&CDS=1-1458	YOR378W
OG0001440	genemark-NW_003101575.1-processed-gene-4.24-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.24&CDS=1-444	YML077W
OG0001441	snap_masked-NW_003101575.1-processed-gene-4.97-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-4.97&CDS=1-186	YML081C-A
OG0001442	maker-NW_003101575.1-snap-gene-4.1-mRNA-1_1&gene=maker-NW_003101575.1-snap-gene-4.1&CDS=1-2016	YIR029W
OG0001443	snap_masked-NW_003101575.1-processed-gene-4.103-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-4.103&CDS=1-444	YLL050C
OG0001444	maker-NW_003101575.1-snap-gene-4.0-mRNA-1_1&gene=maker-NW_003101575.1-snap-gene-4.0&CDS=1-8712	YLR087C
OG0001445	genemark-NW_003101575.1-processed-gene-4.31-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.31&CDS=1-348	YDR115W
OG0001446	genemark-NW_003101575.1-processed-gene-4.17-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.17&CDS=1-4257	YLR086W
OG0001447	genemark-NW_003101575.1-processed-gene-4.32-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.32&CDS=1-1101	YLR405W
OG0001448	genemark-NW_003101575.1-processed-gene-4.33-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.33&CDS=1-1839	YLR399C
OG0001449	genemark-NW_003101575.1-processed-gene-4.34-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.34&CDS=1-2037	YDL074C
OG0001450	genemark-NW_003101575.1-processed-gene-4.18-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.18&CDS=1-2799	YBR229C
OG0001451	genemark-NW_003101575.1-processed-gene-4.35-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.35&CDS=1-804	YLR412W
OG0001452	genemark-NW_003101575.1-processed-gene-4.20-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.20&CDS=1-1191	YKL181W
OG0001453	genemark-NW_003101575.1-processed-gene-4.21-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.21&CDS=1-3219	YLR410W
OG0001454	snap_masked-NW_003101575.1-processed-gene-4.110-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-4.110&CDS=1-6183	YKL182W
OG0001455	genemark-NW_003101575.1-processed-gene-4.37-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.37&CDS=1-951	YJL208C
OG0001456	genemark-NW_003101575.1-processed-gene-5.96-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.96&CDS=1-1362	YKL140W
OG0001457	genemark-NW_003101575.1-processed-gene-5.120-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.120&CDS=1-1341	YMR091C
OG0001458	genemark-NW_003101575.1-processed-gene-5.100-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.100&CDS=1-1812	YJR098C
OG0001459	genemark-NW_003101575.1-processed-gene-5.122-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.122&CDS=1-447	YJR097W
OG0001460	genemark-NW_003101575.1-processed-gene-5.101-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.101&CDS=1-1224	YNL248C
OG0001461	genemark-NW_003101575.1-processed-gene-5.102-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.102&CDS=1-750	YNL246W
OG0001462	genemark-NW_003101575.1-processed-gene-5.103-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.103&CDS=1-1467	YGR255C
OG0001463	genemark-NW_003101575.1-processed-gene-5.104-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.104&CDS=1-1107	YDR058C
OG0001464	genemark-NW_003101575.1-processed-gene-5.105-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.105&CDS=1-1257	YGR159C
OG0001465	genemark-NW_003101575.1-processed-gene-5.106-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.106&CDS=1-2100	YGL045W
OG0001466	genemark-NW_003101575.1-processed-gene-5.107-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.107&CDS=1-2376	YJL029C
OG0001467	augustus_masked-NW_003101575.1-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-5.62&CDS=1-756	YDR007W
OG0001468	genemark-NW_003101575.1-processed-gene-5.127-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.127&CDS=1-1665	YJL008C
OG0001469	genemark-NW_003101575.1-processed-gene-5.109-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.109&CDS=1-573	YER046W
OG0001470	genemark-NW_003101575.1-processed-gene-5.129-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.129&CDS=1-3708	YNR043W
OG0001471	genemark-NW_003101575.1-processed-gene-5.111-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.111&CDS=1-387	YJL003W
OG0001472	genemark-NW_003101575.1-processed-gene-5.112-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.112&CDS=1-462	YCR087C-A
OG0001473	genemark-NW_003101575.1-processed-gene-5.130-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.130&CDS=1-1047	YCR086W
OG0001474	genemark-NW_003101575.1-processed-gene-5.113-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.113&CDS=1-1329	YDR289C
OG0001475	genemark-NW_003101575.1-processed-gene-5.114-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.114&CDS=1-1959	YDR484W
OG0001476	maker-NW_003101575.1-augustus-gene-5.50-mRNA-1_1&gene=maker-NW_003101575.1-augustus-gene-5.50&CDS=1-6351	YDL140C
OG0001477	genemark-NW_003101575.1-processed-gene-5.135-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.135&CDS=1-3027	YNL321W
OG0001478	augustus_masked-NW_003101575.1-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-5.70&CDS=1-345	YGR074W
OG0001479	genemark-NW_003101575.1-processed-gene-5.137-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.137&CDS=1-471	YGR076C
OG0001480	genemark-NW_003101575.1-processed-gene-5.138-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.138&CDS=1-480	YDL004W
OG0001481	genemark-NW_003101575.1-processed-gene-5.118-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.118&CDS=1-1557	YDL003W
OG0001482	genemark-NW_003101575.1-processed-gene-5.119-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.119&CDS=1-705	YDR489W
