	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0001813	augustus_masked-hib_s71-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.47&CDS=1-3213	YPL022W
OG0001814	augustus_masked-hib_s71-processed-gene-13.49-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.49&CDS=1-792	YJL178C
OG0001815	augustus_masked-hib_s71-processed-gene-14.113-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.113&CDS=1-2550	YCL030C
OG0001816	augustus_masked-hib_s71-processed-gene-14.114-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.114&CDS=1-1770	YDR244W
OG0001817	augustus_masked-hib_s71-processed-gene-14.116-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.116&CDS=1-3342	YPL016W
OG0001818	augustus_masked-hib_s71-processed-gene-14.117-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.117&CDS=1-4137	YDR245W
OG0001819	augustus_masked-hib_s71-processed-gene-14.118-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.118&CDS=1-1038	YNL231C
OG0001820	augustus_masked-hib_s71-processed-gene-14.142-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.142&CDS=1-855	YNL232W
OG0001821	augustus_masked-hib_s71-processed-gene-14.143-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.143&CDS=1-3402	YNL233W
OG0001822	augustus_masked-hib_s71-processed-gene-14.144-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.144&CDS=1-1047	YNL234W
OG0001823	augustus_masked-hib_s71-processed-gene-14.120-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.120&CDS=1-756	YGL123W
OG0001824	augustus_masked-hib_s71-processed-gene-14.147-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.147&CDS=1-1275	YGL122C
OG0001825	augustus_masked-hib_s71-processed-gene-14.121-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.121&CDS=1-1578	YIL142W
OG0001826	augustus_masked-hib_s71-processed-gene-14.148-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.148&CDS=1-1668	YLL018C
OG0001827	augustus_masked-hib_s71-processed-gene-14.149-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.149&CDS=1-1467	YOL049W
OG0001828	augustus_masked-hib_s71-processed-gene-14.150-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.150&CDS=1-1194	YOL031C
OG0001829	augustus_masked-hib_s71-processed-gene-14.151-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.151&CDS=1-444	YKR074W
OG0001830	augustus_masked-hib_s71-processed-gene-14.153-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.153&CDS=1-984	YOR061W
OG0001831	augustus_masked-hib_s71-processed-gene-14.154-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.154&CDS=1-852	YNL284C
OG0001832	augustus_masked-hib_s71-processed-gene-14.156-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.156&CDS=1-2193	YHR072W
OG0001833	augustus_masked-hib_s71-processed-gene-14.125-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.125&CDS=1-3486	YGR090W
OG0001834	augustus_masked-hib_s71-processed-gene-14.127-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.127&CDS=1-999	YPR110C
OG0001835	augustus_masked-hib_s71-processed-gene-14.157-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.157&CDS=1-636	YDL018C
OG0001836	maker-hib_s71-snap-gene-14.7-mRNA-1_1&gene=maker-hib_s71-snap-gene-14.7&CDS=1-936	YGR165W
OG0001837	snap_masked-hib_s71-processed-gene-14.77-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-14.77&CDS=1-1788	YDL017W
OG0001838	maker-hib_s71-augustus-gene-14.164-mRNA-1_1&gene=maker-hib_s71-augustus-gene-14.164&CDS=1-4398	YKR081C
OG0001839	snap_masked-hib_s71-processed-gene-14.109-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-14.109&CDS=1-312	YKR083C
OG0001840	maker-hib_s71-snap-gene-14.8-mRNA-1_1&gene=maker-hib_s71-snap-gene-14.8&CDS=1-1068	YOR074C
OG0001841	snap_masked-hib_s71-processed-gene-14.112-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-14.112&CDS=1-672	YBL095W
OG0001842	snap_masked-hib_s71-processed-gene-14.81-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-14.81&CDS=1-2790	YIL031W
OG0001843	augustus_masked-hib_s71-processed-gene-14.134-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.134&CDS=1-1374	YBL098W
OG0001844	augustus_masked-hib_s71-processed-gene-14.135-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.135&CDS=1-1266	YIL022W
OG0001845	augustus_masked-hib_s71-processed-gene-14.136-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.136&CDS=1-1356	YER122C
OG0001846	augustus_masked-hib_s71-processed-gene-14.141-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.141&CDS=1-444	YDR512C
OG0001847	genemark-hib_s71-processed-gene-14.59-mRNA-1_1&gene=genemark-hib_s71-processed-gene-14.59&CDS=1-663	YIL118W
OG0001848	augustus_masked-hib_s71-processed-gene-15.3-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.3&CDS=1-1563	YOR149C
OG0001849	augustus_masked-hib_s71-processed-gene-15.5-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.5&CDS=1-1212	YDR394W
OG0001850	augustus_masked-hib_s71-processed-gene-15.6-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.6&CDS=1-2772	YGR100W
OG0001851	augustus_masked-hib_s71-processed-gene-15.7-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.7&CDS=1-924	YIL021W
OG0001852	augustus_masked-hib_s71-processed-gene-15.27-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.27&CDS=1-822	YIL020C
OG0001853	augustus_masked-hib_s71-processed-gene-15.8-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.8&CDS=1-990	YIL019W
OG0001854	augustus_masked-hib_s71-processed-gene-15.9-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.9&CDS=1-2073	YBL097W
OG0001855	augustus_masked-hib_s71-processed-gene-15.10-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.10&CDS=1-2043	YPR024W
OG0001856	augustus_masked-hib_s71-processed-gene-15.28-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.28&CDS=1-2082	YNL251C
OG0001857	augustus_masked-hib_s71-processed-gene-15.11-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.11&CDS=1-804	YNL252C
OG0001858	augustus_masked-hib_s71-processed-gene-15.29-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.29&CDS=1-1242	YAL042W
OG0001859	genemark-hib_s71-processed-gene-15.53-mRNA-1_1&gene=genemark-hib_s71-processed-gene-15.53&CDS=1-4167	YOR356W
OG0001860	augustus_masked-hib_s71-processed-gene-15.30-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.30&CDS=1-1395	YOR355W
OG0001861	augustus_masked-hib_s71-processed-gene-15.14-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.14&CDS=1-891	YHL013C
OG0001862	augustus_masked-hib_s71-processed-gene-15.15-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.15&CDS=1-771	YAL039C
OG0001863	augustus_masked-hib_s71-processed-gene-15.16-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.16&CDS=1-699	YOL110W
OG0001864	augustus_masked-hib_s71-processed-gene-15.17-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.17&CDS=1-1146	YNL292W
OG0001865	augustus_masked-hib_s71-processed-gene-15.20-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.20&CDS=1-1269	YOL052C
OG0001866	augustus_masked-hib_s71-processed-gene-15.37-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.37&CDS=1-897	YBR085W
OG0001867	augustus_masked-hib_s71-processed-gene-15.39-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.39&CDS=1-453	YDR092W
OG0001868	augustus_masked-hib_s71-processed-gene-15.40-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.40&CDS=1-2757	YMR080C
OG0001869	augustus_masked-hib_s71-processed-gene-15.24-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-15.24&CDS=1-2352	YMR078C
OG0001870	augustus_masked-hib_s71-processed-gene-16.104-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.104&CDS=1-2442	YMR100W
OG0001871	augustus_masked-hib_s71-processed-gene-16.106-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.106&CDS=1-4704	YGR098C
OG0001872	augustus_masked-hib_s71-processed-gene-16.108-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.108&CDS=1-1143	YJL171C
OG0001873	snap_masked-hib_s71-processed-gene-16.30-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-16.30&CDS=1-744	YGL136C
OG0001874	augustus_masked-hib_s71-processed-gene-16.109-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.109&CDS=1-1863	YJR002W
OG0001875	augustus_masked-hib_s71-processed-gene-16.111-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.111&CDS=1-993	YKL051W
OG0001876	augustus_masked-hib_s71-processed-gene-16.112-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.112&CDS=1-2925	YOL021C
OG0001877	augustus_masked-hib_s71-processed-gene-16.132-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.132&CDS=1-606	YDR487C
OG0001878	augustus_masked-hib_s71-processed-gene-16.133-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.133&CDS=1-1275	YOL097C
OG0001879	augustus_masked-hib_s71-processed-gene-16.114-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.114&CDS=1-2595	YOL078W
OG0001880	augustus_masked-hib_s71-processed-gene-16.115-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.115&CDS=1-198	YOL077W-A
OG0001881	maker-hib_s71-augustus-gene-16.151-mRNA-1_1&gene=maker-hib_s71-augustus-gene-16.151&CDS=1-3267	YOL077C
OG0001882	augustus_masked-hib_s71-processed-gene-16.138-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.138&CDS=1-627	YKL119C
OG0001883	augustus_masked-hib_s71-processed-gene-16.118-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.118&CDS=1-1332	YNL040W
OG0001884	augustus_masked-hib_s71-processed-gene-16.139-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.139&CDS=1-936	YBR146W
OG0001885	augustus_masked-hib_s71-processed-gene-16.140-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.140&CDS=1-3177	YCR033W
OG0001886	augustus_masked-hib_s71-processed-gene-16.141-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.141&CDS=1-1452	YJL194W
OG0001887	augustus_masked-hib_s71-processed-gene-16.119-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.119&CDS=1-297	YOL086W-A
OG0001888	augustus_masked-hib_s71-processed-gene-16.121-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.121&CDS=1-639	YBR154C
OG0001889	augustus_masked-hib_s71-processed-gene-16.142-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.142&CDS=1-786	YBR153W
OG0001890	augustus_masked-hib_s71-processed-gene-16.143-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.143&CDS=1-993	YCR036W
OG0001891	augustus_masked-hib_s71-processed-gene-16.144-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.144&CDS=1-2784	YBR079C
OG0001892	augustus_masked-hib_s71-processed-gene-16.145-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.145&CDS=1-3246	YDR361C
OG0001893	augustus_masked-hib_s71-processed-gene-16.123-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.123&CDS=1-2109	YPR031W
OG0001894	augustus_masked-hib_s71-processed-gene-16.124-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.124&CDS=1-1713	YBR083W
OG0001895	augustus_masked-hib_s71-processed-gene-16.148-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.148&CDS=1-1683	YOR128C
OG0001896	augustus_masked-hib_s71-processed-gene-16.149-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.149&CDS=1-1353	YOR301W
OG0001897	maker-hib_s71-augustus-gene-16.153-mRNA-1_1&gene=maker-hib_s71-augustus-gene-16.153&CDS=1-657	YDR381W
OG0001898	snap_masked-hib_s71-processed-gene-16.28-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-16.28&CDS=1-1881	YOR129C
OG0001899	augustus_masked-hib_s71-processed-gene-16.129-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-16.129&CDS=1-849	YDL052C
OG0001900	augustus_masked-hib_s71-processed-gene-17.99-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.99&CDS=1-3888	YLL021W
OG0001901	augustus_masked-hib_s71-processed-gene-17.103-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.103&CDS=1-1140	YDR161W
OG0001902	augustus_masked-hib_s71-processed-gene-17.101-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.101&CDS=1-756	YLR145W
OG0001903	augustus_masked-hib_s71-processed-gene-17.105-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.105&CDS=1-915	YLR146C
OG0001904	augustus_masked-hib_s71-processed-gene-17.127-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.127&CDS=1-1629	YJL201W
OG0001905	augustus_masked-hib_s71-processed-gene-17.107-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.107&CDS=1-2817	YHR027C
OG0001906	augustus_masked-hib_s71-processed-gene-17.128-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.128&CDS=1-588	YHR026W
OG0001907	snap_masked-hib_s71-processed-gene-17.31-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.31&CDS=1-1134	YDR459C
OG0001908	maker-hib_s71-augustus-gene-17.146-mRNA-1_1&gene=maker-hib_s71-augustus-gene-17.146&CDS=1-2616	YPL120W
OG0001909	snap_masked-hib_s71-processed-gene-17.36-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.36&CDS=1-1644	YOR002W
OG0001910	augustus_masked-hib_s71-processed-gene-17.113-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.113&CDS=1-1149	YPL096W
OG0001911	maker-hib_s71-snap-gene-17.97-mRNA-1_1&gene=maker-hib_s71-snap-gene-17.97&CDS=1-1716	YPL097W
OG0001912	snap_masked-hib_s71-processed-gene-17.39-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.39&CDS=1-1080	YOL064C
OG0001913	augustus_masked-hib_s71-processed-gene-17.116-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.116&CDS=1-1323	YMR065W
OG0001914	snap_masked-hib_s71-processed-gene-17.41-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.41&CDS=1-1794	YGL073W
OG0001915	snap_masked-hib_s71-processed-gene-17.21-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.21&CDS=1-2859	YOR335C
OG0001916	augustus_masked-hib_s71-processed-gene-17.137-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.137&CDS=1-885	YMR178W
OG0001917	augustus_masked-hib_s71-processed-gene-17.138-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.138&CDS=1-1065	YOL001W
OG0001918	augustus_masked-hib_s71-processed-gene-17.139-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.139&CDS=1-651	YGR042W
OG0001919	augustus_masked-hib_s71-processed-gene-17.140-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.140&CDS=1-858	YDR237W
OG0001920	augustus_masked-hib_s71-processed-gene-17.122-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.122&CDS=1-1452	YDL207W
OG0001921	augustus_masked-hib_s71-processed-gene-17.141-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.141&CDS=1-3765	YMR076C
OG0001922	augustus_masked-hib_s71-processed-gene-17.124-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.124&CDS=1-2787	YNL023C
OG0001923	augustus_masked-hib_s71-processed-gene-17.142-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.142&CDS=1-849	YOR004W
OG0001924	augustus_masked-hib_s71-processed-gene-17.125-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.125&CDS=1-363	YJR063W
OG0001925	augustus_masked-hib_s71-processed-gene-17.143-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-17.143&CDS=1-951	YJR070C
OG0001926	augustus_masked-hib_s71-processed-gene-18.0-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.0&CDS=1-1647	YJR064W
OG0001927	augustus_masked-hib_s71-processed-gene-18.1-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.1&CDS=1-1257	YJR065C
OG0001928	augustus_masked-hib_s71-processed-gene-18.2-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.2&CDS=1-7377	YKL203C
OG0001929	augustus_masked-hib_s71-processed-gene-18.7-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.7&CDS=1-1098	YOL010W
OG0001930	augustus_masked-hib_s71-processed-gene-18.3-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.3&CDS=1-1473	YMR005W
OG0001931	augustus_masked-hib_s71-processed-gene-18.4-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.4&CDS=1-3486	YLR272C
OG0001932	augustus_masked-hib_s71-processed-gene-18.5-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.5&CDS=1-1776	YOR175C
OG0001933	augustus_masked-hib_s71-processed-gene-18.6-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.6&CDS=1-1146	YOR176W
OG0001934	augustus_masked-hib_s71-processed-gene-18.49-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.49&CDS=1-945	YOR174W
OG0001935	augustus_masked-hib_s71-processed-gene-18.8-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.8&CDS=1-816	YLR271W
OG0001936	augustus_masked-hib_s71-processed-gene-18.11-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.11&CDS=1-4521	YDR334W
OG0001937	augustus_masked-hib_s71-processed-gene-18.12-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.12&CDS=1-333	YHR039C-A
OG0001938	augustus_masked-hib_s71-processed-gene-18.51-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.51&CDS=1-1845	YHR039C
OG0001939	augustus_masked-hib_s71-processed-gene-18.52-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.52&CDS=1-2079	YDR333C
OG0001940	augustus_masked-hib_s71-processed-gene-18.53-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.53&CDS=1-297	YHR087W
OG0001941	augustus_masked-hib_s71-processed-gene-18.54-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.54&CDS=1-2952	YBR074W
OG0001942	genemark-hib_s71-processed-gene-18.107-mRNA-1_1&gene=genemark-hib_s71-processed-gene-18.107&CDS=1-1083	YDR047W
OG0001943	augustus_masked-hib_s71-processed-gene-18.14-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.14&CDS=1-1803	YDR049W
OG0001944	augustus_masked-hib_s71-processed-gene-18.16-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.16&CDS=1-4014	YMR259C
OG0001945	genemark-hib_s71-processed-gene-18.111-mRNA-1_1&gene=genemark-hib_s71-processed-gene-18.111&CDS=1-1020	YBR065C
OG0001946	augustus_masked-hib_s71-processed-gene-18.18-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.18&CDS=1-684	YBR070C
OG0001947	augustus_masked-hib_s71-processed-gene-18.57-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.57&CDS=1-303	YDR045C
OG0001948	augustus_masked-hib_s71-processed-gene-18.21-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.21&CDS=1-2769	YNL313C
OG0001949	augustus_masked-hib_s71-processed-gene-18.24-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.24&CDS=1-1248	YIL160C
OG0001950	snap_masked-hib_s71-processed-gene-18.209-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-18.209&CDS=1-699	YBR256C
OG0001951	augustus_masked-hib_s71-processed-gene-18.27-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.27&CDS=1-585	YER012W
OG0001952	augustus_masked-hib_s71-processed-gene-18.29-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.29&CDS=1-2703	YIR007W
OG0001953	augustus_masked-hib_s71-processed-gene-18.59-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.59&CDS=1-1389	YIR008C
OG0001954	augustus_masked-hib_s71-processed-gene-18.60-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.60&CDS=1-1248	YIR012W
OG0001955	augustus_masked-hib_s71-processed-gene-18.30-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.30&CDS=1-1089	YCL059C
OG0001956	augustus_masked-hib_s71-processed-gene-18.62-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.62&CDS=1-3006	YCL061C
OG0001957	augustus_masked-hib_s71-processed-gene-18.32-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.32&CDS=1-1146	YDR502C
OG0001958	augustus_masked-hib_s71-processed-gene-18.35-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.35&CDS=1-1110	YOR042W
OG0001959	augustus_masked-hib_s71-processed-gene-18.66-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.66&CDS=1-4191	YNL088W
OG0001960	augustus_masked-hib_s71-processed-gene-18.68-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.68&CDS=1-1197	YFL030W
OG0001961	augustus_masked-hib_s71-processed-gene-18.38-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.38&CDS=1-1248	YPR085C
OG0001962	augustus_masked-hib_s71-processed-gene-18.40-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.40&CDS=1-684	YGL085W
OG0001963	augustus_masked-hib_s71-processed-gene-18.73-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.73&CDS=1-1602	YEL058W
OG0001964	augustus_masked-hib_s71-processed-gene-18.43-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.43&CDS=1-963	YPL266W
OG0001965	augustus_masked-hib_s71-processed-gene-18.77-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.77&CDS=1-1860	YPL263C
OG0001966	augustus_masked-hib_s71-processed-gene-18.78-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.78&CDS=1-1500	YMR131C
OG0001967	augustus_masked-hib_s71-processed-gene-18.44-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.44&CDS=1-2607	YBR055C
OG0001968	snap_masked-hib_s71-processed-gene-18.266-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-18.266&CDS=1-1986	YGL086W
OG0001969	augustus_masked-hib_s71-processed-gene-18.45-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.45&CDS=1-411	YGL087C
OG0001970	augustus_masked-hib_s71-processed-gene-18.81-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.81&CDS=1-1752	YGL084C
OG0001971	snap_masked-hib_s71-processed-gene-18.230-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-18.230&CDS=1-1929	YDL206W
OG0001972	snap_masked-hib_s71-processed-gene-18.231-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-18.231&CDS=1-507	YAL044C
OG0001973	maker-hib_s80-augustus-gene-0.1-mRNA-1_1&gene=maker-hib_s80-augustus-gene-0.1&CDS=1-2793	YLL008W
OG0001974	augustus_masked-hib_s80-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-0.26&CDS=1-1995	YLL007C
OG0001975	snap_masked-hib_s80-processed-gene-0.46-mRNA-1_1&gene=snap_masked-hib_s80-processed-gene-0.46&CDS=1-1353	YJR117W
OG0001976	augustus_masked-hib_s80-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-0.27&CDS=1-741	YDL087C
