	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0002524	snap_masked-LN736365.1-processed-gene-6.61-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.61&CDS=1-1203	YER038C
OG0002525	snap_masked-LN736365.1-processed-gene-6.62-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.62&CDS=1-984	YGL225W
OG0002526	snap_masked-LN736365.1-processed-gene-6.27-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.27&CDS=1-2010	YER041W
OG0002527	snap_masked-LN736365.1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.28&CDS=1-543	YER042W
OG0002528	snap_masked-LN736365.1-processed-gene-6.63-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.63&CDS=1-381	YGL226W
OG0002529	snap_masked-LN736365.1-processed-gene-6.29-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.29&CDS=1-267	YGL226C-A
OG0002530	augustus_masked-LN736365.1-processed-gene-6.232-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.232&CDS=1-2622	YGL227W
OG0002531	snap_masked-LN736365.1-processed-gene-6.65-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.65&CDS=1-1347	YER043C
OG0002532	snap_masked-LN736365.1-processed-gene-6.66-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.66&CDS=1-1644	YGL228W
OG0002533	snap_masked-LN736365.1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.67&CDS=1-903	YFR041C
OG0002534	snap_masked-LN736365.1-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.31&CDS=1-651	YFR042W
OG0002535	snap_masked-LN736365.1-processed-gene-6.68-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.68&CDS=1-759	YFR043C
OG0002536	snap_masked-LN736365.1-processed-gene-6.33-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.33&CDS=1-549	YGL231C
OG0002537	augustus_masked-LN736365.1-processed-gene-6.237-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.237&CDS=1-3351	YGL233W
OG0002538	snap_masked-LN736365.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.71&CDS=1-1446	YFR044C
OG0002539	snap_masked-LN736365.1-processed-gene-6.34-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.34&CDS=1-1017	YFR045W
OG0002540	snap_masked-LN736365.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.72&CDS=1-2385	YGL234W
OG0002541	snap_masked-LN736365.1-processed-gene-6.35-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.35&CDS=1-2007	YGL236C
OG0002542	snap_masked-LN736365.1-processed-gene-6.36-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.36&CDS=1-864	YGL237C
OG0002543	augustus_masked-LN736365.1-processed-gene-6.241-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.241&CDS=1-3585	YGL238W
OG0002544	snap_masked-LN736365.1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.76&CDS=1-906	YFR047C
OG0002545	snap_masked-LN736365.1-processed-gene-6.77-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.77&CDS=1-3069	YGL241W
OG0002546	snap_masked-LN736365.1-processed-gene-6.37-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.37&CDS=1-510	YGL242C
OG0002547	snap_masked-LN736365.1-processed-gene-6.78-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.78&CDS=1-1152	YGL243W
OG0002548	snap_masked-LN736365.1-processed-gene-6.79-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.79&CDS=1-1689	YGL244W
OG0002549	snap_masked-LN736365.1-processed-gene-6.38-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.38&CDS=1-1887	YFR048W
OG0002550	snap_masked-LN736365.1-processed-gene-6.80-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.80&CDS=1-2112	YGL245W
OG0002551	snap_masked-LN736365.1-processed-gene-6.39-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.39&CDS=1-1158	YGL246C
OG0002552	genemark-LN736365.1-processed-gene-6.162-mRNA-1_1&gene=genemark-LN736365.1-processed-gene-6.162&CDS=1-549	YGL247W
OG0002553	augustus_masked-LN736365.1-processed-gene-6.211-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.211&CDS=1-378	YFR049W
OG0002554	snap_masked-LN736365.1-processed-gene-6.82-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.82&CDS=1-1080	YGL248W
OG0002555	snap_masked-LN736365.1-processed-gene-6.83-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.83&CDS=1-795	YFR050C
OG0002556	snap_masked-LN736365.1-processed-gene-6.84-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.84&CDS=1-1626	YFR051C
OG0002557	augustus_masked-LN736365.1-processed-gene-6.249-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-6.249&CDS=1-1152	YGL250W
OG0002558	snap_masked-LN736365.1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.41&CDS=1-1743	YGL252C
OG0002559	snap_masked-LN736365.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.42&CDS=1-795	YFR052W
OG0002560	snap_masked-LN736366.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.37&CDS=1-1557	YGL122C
OG0002561	snap_masked-LN736366.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.59&CDS=1-774	YGL123W
OG0002562	augustus_masked-LN736366.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.3&CDS=1-510	YBR230C
OG0002563	snap_masked-LN736366.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.39&CDS=1-1956	YGL124C
OG0002564	snap_masked-LN736366.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.40&CDS=1-2772	YBR229C
OG0002565	snap_masked-LN736366.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.61&CDS=1-903	YBR228W
OG0002566	snap_masked-LN736366.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.41&CDS=1-1515	YBR227C
OG0002567	augustus_masked-LN736366.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.24&CDS=1-2316	YBR225W
OG0002568	snap_masked-LN736366.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.63&CDS=1-1797	YGL125W
OG0002569	augustus_masked-LN736366.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.7&CDS=1-1722	YBR223C
OG0002570	snap_masked-LN736366.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.44&CDS=1-1617	YBR222C
OG0002571	snap_masked-LN736366.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.45&CDS=1-1119	YBR221C
OG0002572	augustus_masked-LN736366.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.10&CDS=1-1632	YBR220C
OG0002573	augustus_masked-LN736366.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.26&CDS=1-795	YGL126W
OG0002574	snap_masked-LN736366.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.47&CDS=1-381	YGL127C
OG0002575	augustus_masked-LN736366.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.27&CDS=1-699	YGL061C
OG0002576	snap_masked-LN736366.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.65&CDS=1-591	YBR217W
OG0002577	augustus_masked-LN736366.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.29&CDS=1-2106	YBR215W
OG0002578	snap_masked-LN736366.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.50&CDS=1-1512	YGL059W
OG0002579	maker-LN736366.1-snap-gene-0.0-mRNA-1_1&gene=maker-LN736366.1-snap-gene-0.0&CDS=1-519	YGL058W
OG0002580	snap_masked-LN736366.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.56&CDS=1-1455	YGL055W
OG0002581	snap_masked-LN736366.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.69&CDS=1-1005	YBR213W
OG0002582	snap_masked-LN736366.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.70&CDS=1-1875	YBR212W
OG0002583	augustus_masked-LN736366.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.20&CDS=1-999	YBR211C
OG0002584	snap_masked-LN736366.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.71&CDS=1-405	YGL054C
OG0002585	maker-LN736366.1-augustus-gene-0.82-mRNA-1_1&gene=maker-LN736366.1-augustus-gene-0.82&CDS=1-4755	YOR191W
OG0002586	snap_masked-LN736366.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.74&CDS=1-1323	YLR300W
OG0002587	augustus_masked-LN736366.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.35&CDS=1-5463	YLR299W
OG0002588	snap_masked-LN736366.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.79&CDS=1-1278	YOR187W
OG0002589	snap_masked-LN736366.1-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.94&CDS=1-690	YLR298C
OG0002590	augustus_masked-LN736366.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.52&CDS=1-1389	YDR082W
OG0002591	snap_masked-LN736366.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.96&CDS=1-2328	YDR081C
OG0002592	snap_masked-LN736366.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.100&CDS=1-3015	YDR080W
OG0002593	snap_masked-LN736366.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.97&CDS=1-216	YDR079C-A
OG0002594	snap_masked-LN736366.1-processed-gene-1.121-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.121&CDS=1-2193	YER157W
OG0002595	augustus_masked-LN736366.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.72&CDS=1-318	YDR079W
OG0002596	genemark-LN736366.1-processed-gene-1.7-mRNA-1_1&gene=genemark-LN736366.1-processed-gene-1.7&CDS=1-1002	YER156C
OG0002597	snap_masked-LN736366.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.102&CDS=1-5916	YER155C
OG0002598	snap_masked-LN736366.1-processed-gene-1.123-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.123&CDS=1-1179	YER154W
OG0002599	snap_masked-LN736366.1-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.103&CDS=1-876	YER153C
OG0002600	snap_masked-LN736366.1-processed-gene-1.104-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.104&CDS=1-1344	YER152C
OG0002601	maker-LN736366.1-snap-gene-1.91-mRNA-1_1&gene=maker-LN736366.1-snap-gene-1.91&CDS=1-774	YDR078C
OG0002602	snap_masked-LN736366.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.106&CDS=1-2412	YER151C
OG0002603	augustus_masked-LN736366.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.75&CDS=1-1203	YDR076W
OG0002604	snap_masked-LN736366.1-processed-gene-1.126-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.126&CDS=1-921	YDR075W
OG0002605	snap_masked-LN736366.1-processed-gene-1.107-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.107&CDS=1-1101	YER149C
OG0002606	snap_masked-LN736366.1-processed-gene-1.127-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.127&CDS=1-690	YER148W
OG0002607	augustus_masked-LN736366.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.61&CDS=1-1839	YER147C
OG0002608	augustus_masked-LN736366.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.78&CDS=1-3051	YDR074W
OG0002609	snap_masked-LN736366.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.109&CDS=1-1542	YDR072C
OG0002610	snap_masked-LN736366.1-processed-gene-1.129-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.129&CDS=1-243	YER146W
OG0002611	snap_masked-LN736366.1-processed-gene-1.110-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.110&CDS=1-585	YDR071C
OG0002612	snap_masked-LN736366.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.111&CDS=1-297	YDR070C
OG0002613	snap_masked-LN736366.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.112&CDS=1-2586	YDR069C
OG0002614	augustus_masked-LN736366.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.80&CDS=1-879	YDR068W
OG0002615	snap_masked-LN736366.1-processed-gene-1.113-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.113&CDS=1-705	YDR067C
OG0002616	genemark-LN736366.1-processed-gene-1.20-mRNA-1_1&gene=genemark-LN736366.1-processed-gene-1.20&CDS=1-939	YER142C
OG0002617	augustus_masked-LN736366.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.81&CDS=1-2874	YER141W
OG0002618	snap_masked-LN736366.1-processed-gene-1.115-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.115&CDS=1-681	YER139C
OG0002619	augustus_masked-LN736366.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-1.82&CDS=1-1359	YDR064W
OG0002620	snap_masked-LN736366.1-processed-gene-1.134-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.134&CDS=1-438	YDR063W
OG0002621	maker-LN736366.1-augustus-gene-1.90-mRNA-1_1&gene=maker-LN736366.1-augustus-gene-1.90&CDS=1-5361	YDR062W
OG0002622	snap_masked-LN736366.1-processed-gene-1.116-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.116&CDS=1-1341	YER136W
OG0002623	snap_masked-LN736366.1-processed-gene-1.117-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.117&CDS=1-288	YBL026W
OG0002624	snap_masked-LN736366.1-processed-gene-1.118-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.118&CDS=1-408	YBL025W
OG0002625	snap_masked-LN736366.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.119&CDS=1-2049	YBL024W
OG0002626	snap_masked-LN736366.1-processed-gene-1.139-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.139&CDS=1-2556	YBL023C
OG0002627	snap_masked-LN736366.1-processed-gene-1.142-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-1.142&CDS=1-513	YBL021C
OG0002628	snap_masked-LN736366.1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.86&CDS=1-1701	YBL020W
OG0002629	snap_masked-LN736366.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.87&CDS=1-1548	YBL019W
OG0002630	snap_masked-LN736366.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.89&CDS=1-309	YBL018C
OG0002631	snap_masked-LN736366.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.88&CDS=1-1053	YBL016W
OG0002632	snap_masked-LN736366.1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.92&CDS=1-960	YPL111W
OG0002633	snap_masked-LN736366.1-processed-gene-2.93-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.93&CDS=1-450	YNL113W
OG0002634	snap_masked-LN736366.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.94&CDS=1-1566	YEL042W
OG0002635	snap_masked-LN736366.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.97&CDS=1-657	YEL038W
OG0002636	snap_masked-LN736366.1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.113&CDS=1-1209	YEL037C
OG0002637	snap_masked-LN736366.1-processed-gene-2.114-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.114&CDS=1-1524	YEL036C
OG0002638	genemark-LN736366.1-processed-gene-2.12-mRNA-1_1&gene=genemark-LN736366.1-processed-gene-2.12&CDS=1-2853	YEL032W
OG0002639	snap_masked-LN736366.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.100&CDS=1-3618	YEL031W
OG0002640	snap_masked-LN736366.1-processed-gene-2.115-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.115&CDS=1-1704	YJR046W
OG0002641	snap_masked-LN736366.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.101&CDS=1-1740	YMR284W
OG0002642	augustus_masked-LN736366.1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-2.68&CDS=1-1491	YMR285C
OG0002643	snap_masked-LN736366.1-processed-gene-2.102-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.102&CDS=1-252	YMR286W
OG0002644	snap_masked-LN736366.1-processed-gene-2.117-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.117&CDS=1-939	YML119W
OG0002645	snap_masked-LN736366.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.118&CDS=1-2817	YMR287C
OG0002646	snap_masked-LN736366.1-processed-gene-2.103-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.103&CDS=1-2247	YIL107C
OG0002647	snap_masked-LN736366.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.120&CDS=1-2070	YIL108W
OG0002648	snap_masked-LN736366.1-processed-gene-2.104-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.104&CDS=1-3432	YIL109C
OG0002649	snap_masked-LN736366.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.121&CDS=1-1170	YNL051W
OG0002650	snap_masked-LN736366.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.125&CDS=1-2106	YNL054W
OG0002651	snap_masked-LN736366.1-processed-gene-2.105-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.105&CDS=1-3291	YGR233C
OG0002652	snap_masked-LN736366.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.126&CDS=1-696	YGR232W
OG0002653	snap_masked-LN736366.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.106&CDS=1-933	YGR231C
OG0002654	snap_masked-LN736366.1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.127&CDS=1-261	YGR230W
OG0002655	snap_masked-LN736366.1-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.107&CDS=1-1911	YGR225W
OG0002656	genemark-LN736366.1-processed-gene-2.20-mRNA-1_1&gene=genemark-LN736366.1-processed-gene-2.20&CDS=1-1626	YHR150W
OG0002657	snap_masked-LN736366.1-processed-gene-2.128-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.128&CDS=1-1515	YHR151C
OG0002658	snap_masked-LN736366.1-processed-gene-2.109-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.109&CDS=1-1515	YGR227W
OG0002659	snap_masked-LN736366.1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.129&CDS=1-1581	YGR229C
OG0002660	snap_masked-LN736366.1-processed-gene-2.110-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.110&CDS=1-1248	YGR223C
OG0002661	snap_masked-LN736366.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.130&CDS=1-810	YGR222W
OG0002662	snap_masked-LN736366.1-processed-gene-2.111-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.111&CDS=1-2004	YHR149C
OG0002663	snap_masked-LN736366.1-processed-gene-2.131-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.131&CDS=1-549	YHR148W
OG0002664	snap_masked-LN736366.1-processed-gene-3.0-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.0&CDS=1-669	YHR147C
OG0002665	snap_masked-LN736366.1-processed-gene-3.1-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.1&CDS=1-804	YGR220C
OG0002666	snap_masked-LN736366.1-processed-gene-3.2-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.2&CDS=1-3252	YGR218W
OG0002667	genemark-LN736366.1-processed-gene-3.43-mRNA-1_1&gene=genemark-LN736366.1-processed-gene-3.43&CDS=1-5946	YGR217W
OG0002668	snap_masked-LN736366.1-processed-gene-3.4-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.4&CDS=1-1809	YGR216C
OG0002669	snap_masked-LN736366.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.22&CDS=1-324	YGR215W
OG0002670	augustus_masked-LN736366.1-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.92&CDS=1-1143	YLR047C
OG0002671	snap_masked-LN736366.1-processed-gene-3.26-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.26&CDS=1-1446	YGR211W
OG0002672	snap_masked-LN736366.1-processed-gene-3.6-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.6&CDS=1-432	YKL208W
OG0002673	snap_masked-LN736366.1-processed-gene-3.8-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.8&CDS=1-795	YKL207W
OG0002674	snap_masked-LN736366.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.9&CDS=1-1161	YJR072C
OG0002675	augustus_masked-LN736366.1-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.111&CDS=1-816	YKL206C
OG0002676	maker-LN736366.1-augustus-gene-3.83-mRNA-1_1&gene=maker-LN736366.1-augustus-gene-3.83&CDS=1-1578	YJR070C
OG0002677	snap_masked-LN736366.1-processed-gene-3.12-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.12&CDS=1-3165	YKL205W
OG0002678	augustus_masked-LN736366.1-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.112&CDS=1-1068	YJR068W
OG0002679	snap_masked-LN736366.1-processed-gene-3.14-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.14&CDS=1-438	YJR067C
OG0002680	snap_masked-LN736366.1-processed-gene-3.28-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.28&CDS=1-7377	YKL203C
OG0002681	snap_masked-LN736366.1-processed-gene-3.15-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.15&CDS=1-1353	YJR065C
OG0002682	snap_masked-LN736366.1-processed-gene-3.29-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.29&CDS=1-1680	YJR064W
OG0002683	snap_masked-LN736366.1-processed-gene-3.30-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.30&CDS=1-375	YJR063W
OG0002684	snap_masked-LN736366.1-processed-gene-3.17-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.17&CDS=1-1263	YJR062C
OG0002685	snap_masked-LN736366.1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.33&CDS=1-951	YJR060W
OG0002686	snap_masked-LN736366.1-processed-gene-3.36-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.36&CDS=1-3096	YKL197C
OG0002687	snap_masked-LN736366.1-processed-gene-3.37-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.37&CDS=1-642	YJR057W
OG0002688	snap_masked-LN736366.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.18&CDS=1-513	YJR056C
OG0002689	snap_masked-LN736366.1-processed-gene-3.19-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.19&CDS=1-900	YML052W
OG0002690	snap_masked-LN736366.1-processed-gene-3.20-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.20&CDS=1-1275	YML051W
OG0002691	snap_masked-LN736366.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.39&CDS=1-459	YJR055W
