	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
OG0002435	snap_masked-NADE0S12-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.13&CDS=1-1149	YGR187C
OG0002436	snap_masked-NADE0S12-processed-gene-1.34-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.34&CDS=1-2100	YGR186W
OG0002437	snap_masked-NADE0S12-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.14&CDS=1-936	YBR251W
OG0002438	augustus_masked-NADE0S12-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-1.124&CDS=1-345	YBR253W
OG0002439	snap_masked-NADE0S12-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.36&CDS=1-495	YBR254C
OG0002440	snap_masked-NADE0S12-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.15&CDS=1-2343	YBR255W
OG0002441	augustus_masked-NADE0S12-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-1.146&CDS=1-942	YBR256C
OG0002442	snap_masked-NADE0S12-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.16&CDS=1-3060	YFR030W
OG0002443	snap_masked-NADE0S12-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.39&CDS=1-3510	YFR031C
OG0002444	snap_masked-NADE0S12-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.40&CDS=1-1197	YFR032C
OG0002445	maker-NADE0S12-snap-gene-1.53-mRNA-1_1&gene=maker-NADE0S12-snap-gene-1.53&CDS=1-543	YFR032C-A
OG0002446	genemark-NADE0S12-processed-gene-1.98-mRNA-1_1&gene=genemark-NADE0S12-processed-gene-1.98&CDS=1-1392	YFR034C
OG0002447	snap_masked-NADE0S12-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.18&CDS=1-1533	YGR123C
OG0002448	snap_masked-NADE0S12-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.44&CDS=1-687	YPR143W
OG0002449	snap_masked-NADE0S12-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.19&CDS=1-2109	YPR141C
OG0002450	snap_masked-NADE0S12-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.45&CDS=1-1107	YPR140W
OG0002451	snap_masked-NADE0S12-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.48&CDS=1-1689	YPR137W
OG0002452	snap_masked-NADE0S12-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.49&CDS=1-2754	YPR135W
OG0002453	snap_masked-NADE0S12-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.50&CDS=1-657	YPR133W-A
OG0002454	snap_masked-NADE0S12-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.20&CDS=1-1167	YPR133C
OG0002455	snap_masked-NADE0S12-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.21&CDS=1-567	YPR131C
OG0002456	snap_masked-NADE0S12-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-1.22&CDS=1-984	YPR128C
OG0002457	augustus_masked-NADE0S12-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-1.134&CDS=1-816	YKR055W
OG0002458	genemark-NADE0S12-processed-gene-2.41-mRNA-1_1&gene=genemark-NADE0S12-processed-gene-2.41&CDS=1-1872	YKR056W
OG0002459	snap_masked-NADE0S12-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.86&CDS=1-1554	YJL137C
OG0002460	snap_masked-NADE0S12-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.87&CDS=1-804	YKR060W
OG0002461	snap_masked-NADE0S12-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.89&CDS=1-4668	YMR247C
OG0002462	snap_masked-NADE0S12-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.91&CDS=1-951	YDR352W
OG0002463	snap_masked-NADE0S12-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.93&CDS=1-1131	YDR354W
OG0002464	snap_masked-NADE0S12-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.94&CDS=1-2646	YDR356W
OG0002465	augustus_masked-NADE0S12-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.23&CDS=1-303	YDR357C
OG0002466	snap_masked-NADE0S12-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.95&CDS=1-1758	YHR108W
OG0002467	snap_masked-NADE0S12-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.115&CDS=1-3021	YDR359C
OG0002468	maker-NADE0S12-augustus-gene-2.40-mRNA-1_1&gene=maker-NADE0S12-augustus-gene-2.40&CDS=1-2763	YDR362C
OG0002469	augustus_masked-NADE0S12-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.10&CDS=1-1380	YDR363W
OG0002470	snap_masked-NADE0S12-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.98&CDS=1-1293	YOR117W
OG0002471	augustus_masked-NADE0S12-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.26&CDS=1-1290	YDR364C
OG0002472	snap_masked-NADE0S12-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.101&CDS=1-633	YDR367W
OG0002473	snap_masked-NADE0S12-processed-gene-2.118-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.118&CDS=1-3537	YDR370C
OG0002474	augustus_masked-NADE0S12-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.13&CDS=1-1728	YDR371W
OG0002475	snap_masked-NADE0S12-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.119&CDS=1-978	YDR372C
OG0002476	snap_masked-NADE0S12-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.104&CDS=1-570	YDR373W
OG0002477	snap_masked-NADE0S12-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.120&CDS=1-816	YDR374C
OG0002478	snap_masked-NADE0S12-processed-gene-2.105-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.105&CDS=1-996	YML021C
OG0002479	snap_masked-NADE0S12-processed-gene-2.123-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.123&CDS=1-564	YML022W
OG0002480	augustus_masked-NADE0S12-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.16&CDS=1-1689	YML023C
OG0002481	augustus_masked-NADE0S12-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.17&CDS=1-840	YML025C
OG0002482	augustus_masked-NADE0S12-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-2.33&CDS=1-1173	YML027W
OG0002483	snap_masked-NADE0S12-processed-gene-2.125-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.125&CDS=1-2781	YML029W
OG0002484	snap_masked-NADE0S12-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.126&CDS=1-474	YML030W
OG0002485	snap_masked-NADE0S12-processed-gene-2.110-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.110&CDS=1-1878	YDR456W
OG0002486	snap_masked-NADE0S12-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.127&CDS=1-1560	YML031W
OG0002487	snap_masked-NADE0S12-processed-gene-2.111-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.111&CDS=1-1494	YML032C
OG0002488	snap_masked-NADE0S12-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.128&CDS=1-2502	YML034W
OG0002489	snap_masked-NADE0S12-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.112&CDS=1-2325	YML035C
OG0002490	snap_masked-NADE0S12-processed-gene-3.5-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.5&CDS=1-1113	YPL168W
OG0002491	snap_masked-NADE0S12-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.6&CDS=1-1989	YOR254C
OG0002492	snap_masked-NADE0S12-processed-gene-3.0-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.0&CDS=1-1344	YJL183W
OG0002493	snap_masked-NADE0S12-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.7&CDS=1-984	YJL180C
OG0002494	augustus_masked-NADE0S12-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-3.46&CDS=1-885	YOR294W
OG0002495	snap_masked-NADE0S12-processed-gene-3.4-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.4&CDS=1-3924	YOR296W
OG0002496	snap_masked-NADE0S12-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.24&CDS=1-1251	YBR287W
OG0002497	snap_masked-NADE0S12-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.25&CDS=1-1626	YBR286W
OG0002498	snap_masked-NADE0S12-processed-gene-3.8-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.8&CDS=1-822	YJL079C
OG0002499	snap_masked-NADE0S12-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.9&CDS=1-1557	YKR016W
OG0002500	augustus_masked-NADE0S12-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-3.70&CDS=1-1623	YKR017C
OG0002501	snap_masked-NADE0S12-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.11&CDS=1-3216	YBL076C
OG0002502	snap_masked-NADE0S12-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.12&CDS=1-537	YER104W
OG0002503	snap_masked-NADE0S12-processed-gene-3.30-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.30&CDS=1-4329	YBL079W
OG0002504	snap_masked-NADE0S12-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.13&CDS=1-630	YER106W
OG0002505	snap_masked-NADE0S12-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.31&CDS=1-1104	YER107C
OG0002506	snap_masked-NADE0S12-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.32&CDS=1-2700	YER109C
OG0002507	snap_masked-NADE0S12-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.33&CDS=1-1116	YPR035W
OG0002508	snap_masked-NADE0S12-processed-gene-3.34-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.34&CDS=1-1650	YPR034W
OG0002509	snap_masked-NADE0S12-processed-gene-3.14-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.14&CDS=1-1545	YPR033C
OG0002510	snap_masked-NADE0S12-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.36&CDS=1-2220	YPR031W
OG0002511	snap_masked-NADE0S12-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.15&CDS=1-2736	YPR029C
OG0002512	augustus_masked-NADE0S12-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-3.81&CDS=1-531	YPR028W
OG0002513	snap_masked-NADE0S12-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.38&CDS=1-3642	YPR026W
OG0002514	snap_masked-NADE0S12-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.17&CDS=1-1128	YPR025C
OG0002515	augustus_masked-NADE0S12-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-3.83&CDS=1-2193	YPR024W
OG0002516	snap_masked-NADE0S12-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.18&CDS=1-1506	YER122C
OG0002517	snap_masked-NADE0S12-processed-gene-3.40-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.40&CDS=1-834	YER120W
OG0002518	snap_masked-NADE0S12-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.41&CDS=1-1251	YBL091C
OG0002519	snap_masked-NADE0S12-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.20&CDS=1-1053	YER118C
OG0002520	genemark-NADE0S12-processed-gene-3.108-mRNA-1_1&gene=genemark-NADE0S12-processed-gene-3.108&CDS=1-396	YER116C
OG0002521	snap_masked-NADE0S12-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.23&CDS=1-2094	YER113C
OG0002522	snap_masked-NADE0S12-processed-gene-3.43-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.43&CDS=1-507	YER112W
OG0002523	snap_masked-NADE0S12-processed-gene-4.1-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.1&CDS=1-3339	YER110C
OG0002524	snap_masked-NADE0S12-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.2&CDS=1-1524	YPR036W
OG0002525	augustus_masked-NADE0S12-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.96&CDS=1-267	YPR036W-A
OG0002526	augustus_masked-NADE0S12-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.99&CDS=1-630	YPR037C
OG0002527	augustus_masked-NADE0S12-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.97&CDS=1-1179	YPR040W
OG0002528	augustus_masked-NADE0S12-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.98&CDS=1-1815	YOR073W
OG0002529	snap_masked-NADE0S12-processed-gene-4.5-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.5&CDS=1-894	YOR074C
OG0002530	snap_masked-NADE0S12-processed-gene-4.6-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.6&CDS=1-1011	YOR075W
OG0002531	snap_masked-NADE0S12-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.7&CDS=1-702	YOR077W
OG0002532	augustus_masked-NADE0S12-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.103&CDS=1-693	YOR078W
OG0002533	augustus_masked-NADE0S12-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.124&CDS=1-945	YOR079C
OG0002534	augustus_masked-NADE0S12-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.104&CDS=1-2139	YOR080W
OG0002535	augustus_masked-NADE0S12-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.105&CDS=1-1356	YOR083W
OG0002536	augustus_masked-NADE0S12-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.106&CDS=1-1149	YOR084W
OG0002537	augustus_masked-NADE0S12-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.107&CDS=1-1035	YOR085W
OG0002538	snap_masked-NADE0S12-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.35&CDS=1-3639	YOR086C
OG0002539	snap_masked-NADE0S12-processed-gene-4.15-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.15&CDS=1-2139	YOR087W
OG0002540	augustus_masked-NADE0S12-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.127&CDS=1-627	YOR089C
OG0002541	snap_masked-NADE0S12-processed-gene-4.36-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.36&CDS=1-1701	YOR090C
OG0002542	snap_masked-NADE0S12-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.16&CDS=1-1011	YOR091W
OG0002543	augustus_masked-NADE0S12-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.111&CDS=1-4713	YAL024C
OG0002544	snap_masked-NADE0S12-processed-gene-4.21-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.21&CDS=1-3990	YAL026C
OG0002545	augustus_masked-NADE0S12-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.129&CDS=1-2520	YAL027W
OG0002546	snap_masked-NADE0S12-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.39&CDS=1-333	YOR327C
OG0002547	snap_masked-NADE0S12-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.23&CDS=1-1731	YOR355W
OG0002548	snap_masked-NADE0S12-processed-gene-4.24-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.24&CDS=1-1881	YOR356W
OG0002549	snap_masked-NADE0S12-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.40&CDS=1-492	YOR357C
OG0002550	maker-NADE0S12-snap-gene-4.0-mRNA-1_1&gene=maker-NADE0S12-snap-gene-4.0&CDS=1-564	YOR096W
OG0002551	snap_masked-NADE0S12-processed-gene-4.27-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.27&CDS=1-927	YNL097C
OG0002552	snap_masked-NADE0S12-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.28&CDS=1-666	YNL099C
OG0002553	snap_masked-NADE0S12-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.41&CDS=1-714	YNL100W
OG0002554	snap_masked-NADE0S12-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.42&CDS=1-2124	YNL101W
OG0002555	snap_masked-NADE0S12-processed-gene-4.43-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.43&CDS=1-4353	YNL102W
OG0002556	snap_masked-NADE0S12-processed-gene-4.44-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.44&CDS=1-1863	YNL103W
OG0002557	snap_masked-NADE0S12-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-4.45&CDS=1-678	YNL107W
OG0002558	snap_masked-NADE0S12-processed-gene-5.99-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.99&CDS=1-957	YOR100C
OG0002559	snap_masked-NADE0S12-processed-gene-5.100-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.100&CDS=1-405	YOR103C
OG0002560	snap_masked-NADE0S12-processed-gene-5.97-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.97&CDS=1-924	YOR104W
OG0002561	snap_masked-NADE0S12-processed-gene-5.102-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.102&CDS=1-537	YBR022W
OG0002562	maker-NADE0S12-augustus-gene-5.0-mRNA-1_1&gene=maker-NADE0S12-augustus-gene-5.0&CDS=1-2655	YBR025C
OG0002563	snap_masked-NADE0S12-processed-gene-5.104-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.104&CDS=1-1617	YBR030W
OG0002564	snap_masked-NADE0S12-processed-gene-5.107-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.107&CDS=1-666	YDR013W
OG0002565	snap_masked-NADE0S12-processed-gene-5.109-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.109&CDS=1-414	YDR014W-A
OG0002566	snap_masked-NADE0S12-processed-gene-5.127-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.127&CDS=1-237	YDR016C
OG0002567	snap_masked-NADE0S12-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.128&CDS=1-3096	YDR017C
OG0002568	snap_masked-NADE0S12-processed-gene-5.129-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.129&CDS=1-1194	YDR019C
OG0002569	snap_masked-NADE0S12-processed-gene-5.130-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.130&CDS=1-666	YDR020C
OG0002570	snap_masked-NADE0S12-processed-gene-5.110-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.110&CDS=1-1197	YDR021W
OG0002571	snap_masked-NADE0S12-processed-gene-5.131-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.131&CDS=1-1839	YKL124W
OG0002572	snap_masked-NADE0S12-processed-gene-5.132-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.132&CDS=1-1665	YKL125W
OG0002573	snap_masked-NADE0S12-processed-gene-5.111-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.111&CDS=1-867	YKL128C
OG0002574	snap_masked-NADE0S12-processed-gene-5.113-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.113&CDS=1-732	YKL130C
OG0002575	snap_masked-NADE0S12-processed-gene-5.115-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.115&CDS=1-2292	YKL134C
OG0002576	maker-NADE0S12-snap-gene-5.147-mRNA-1_1&gene=maker-NADE0S12-snap-gene-5.147&CDS=1-954	YMR116C
OG0002577	snap_masked-NADE0S12-processed-gene-5.116-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.116&CDS=1-2127	YKL135C
OG0002578	snap_masked-NADE0S12-processed-gene-5.136-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.136&CDS=1-318	YKL137W
OG0002579	snap_masked-NADE0S12-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.117&CDS=1-390	YKL138C
OG0002580	snap_masked-NADE0S12-processed-gene-5.118-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.118&CDS=1-204	YKL138C-A
OG0002581	genemark-NADE0S12-processed-gene-5.86-mRNA-1_1&gene=genemark-NADE0S12-processed-gene-5.86&CDS=1-1557	YKL139W
OG0002582	maker-NADE0S12-augustus-gene-5.2-mRNA-1_1&gene=maker-NADE0S12-augustus-gene-5.2&CDS=1-2208	YKL140W
OG0002583	snap_masked-NADE0S12-processed-gene-5.119-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.119&CDS=1-699	YLR025W
OG0002584	augustus_masked-NADE0S12-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-5.42&CDS=1-2235	YLR027C
OG0002585	maker-NADE0S12-augustus-gene-5.4-mRNA-1_1&gene=maker-NADE0S12-augustus-gene-5.4&CDS=1-9249	YGL195W
OG0002586	augustus_masked-NADE0S12-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-5.45&CDS=1-750	YGL198W
OG0002587	snap_masked-NADE0S12-processed-gene-5.122-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.122&CDS=1-1065	YBR087W
OG0002588	snap_masked-NADE0S12-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.106&CDS=1-774	YBR088C
OG0002589	snap_masked-NADE0S12-processed-gene-6.101-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.101&CDS=1-1311	YPR054W
OG0002590	augustus_masked-NADE0S12-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-6.52&CDS=1-3120	YPR055W
OG0002591	snap_masked-NADE0S12-processed-gene-6.103-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.103&CDS=1-993	YPR056W
OG0002592	augustus_masked-NADE0S12-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-6.54&CDS=1-1131	YPR057W
OG0002593	snap_masked-NADE0S12-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.125&CDS=1-894	YPR061C
OG0002594	snap_masked-NADE0S12-processed-gene-6.107-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.107&CDS=1-456	YPR062W
OG0002595	snap_masked-NADE0S12-processed-gene-6.126-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.126&CDS=1-375	YPR063C
OG0002596	augustus_masked-NADE0S12-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-6.58&CDS=1-900	YPR066W
OG0002597	snap_masked-NADE0S12-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.108&CDS=1-621	YPR067W
OG0002598	snap_masked-NADE0S12-processed-gene-6.130-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.130&CDS=1-441	YBR109C
OG0002599	snap_masked-NADE0S12-processed-gene-6.131-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.131&CDS=1-1314	YPR068C
OG0002600	snap_masked-NADE0S12-processed-gene-6.110-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.110&CDS=1-1674	YPR070W
OG0002601	snap_masked-NADE0S12-processed-gene-6.133-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.133&CDS=1-3351	YBR112C
OG0002602	snap_masked-NADE0S12-processed-gene-6.111-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.111&CDS=1-1641	YPR072W
OG0002603	snap_masked-NADE0S12-processed-gene-6.134-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.134&CDS=1-492	YPR073C
OG0002604	snap_masked-NADE0S12-processed-gene-6.135-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.135&CDS=1-2058	YPR074C
OG0002605	augustus_masked-NADE0S12-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-6.84&CDS=1-1227	YPR075C
OG0002606	snap_masked-NADE0S12-processed-gene-6.113-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.113&CDS=1-465	YPR076W
OG0002607	augustus_masked-NADE0S12-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-6.63&CDS=1-951	YPR079W
OG0002608	snap_masked-NADE0S12-processed-gene-6.114-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.114&CDS=1-912	YBR119W
OG0002609	augustus_masked-NADE0S12-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-6.86&CDS=1-1959	YNL048W
OG0002610	snap_masked-NADE0S12-processed-gene-6.140-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.140&CDS=1-1140	YNL051W
OG0002611	snap_masked-NADE0S12-processed-gene-6.141-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.141&CDS=1-1383	YNL053W
