	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0001304	snap_masked-kipT_s22-processed-gene-0.35-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.35&CDS=1-456	YDL208W
OG0001305	snap_masked-kipT_s22-processed-gene-0.37-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.37&CDS=1-2832	YDR238C
OG0001306	snap_masked-kipT_s22-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.13&CDS=1-1131	YJR032W
OG0001307	snap_masked-kipT_s22-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.15&CDS=1-1632	YIL099W
OG0001308	snap_masked-kipT_s22-processed-gene-1.43-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.43&CDS=1-987	YGR163W
OG0001309	genemark-kipT_s22-processed-gene-1.82-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-1.82&CDS=1-1737	YGR225W
OG0001310	genemark-kipT_s22-processed-gene-1.83-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-1.83&CDS=1-1380	YGR227W
OG0001311	snap_masked-kipT_s22-processed-gene-1.60-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.60&CDS=1-1272	YGR229C
OG0001312	snap_masked-kipT_s22-processed-gene-1.46-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.46&CDS=1-609	YBL057C
OG0001313	snap_masked-kipT_s22-processed-gene-1.62-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.62&CDS=1-1632	YBL054W
OG0001314	snap_masked-kipT_s22-processed-gene-1.63-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.63&CDS=1-1542	YER090W
OG0001315	snap_masked-kipT_s22-processed-gene-1.65-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.65&CDS=1-1107	YBL058W
OG0001316	snap_masked-kipT_s22-processed-gene-1.66-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.66&CDS=1-2301	YER091C
OG0001317	snap_masked-kipT_s22-processed-gene-1.67-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.67&CDS=1-1179	YML048W
OG0001318	genemark-kipT_s22-processed-gene-1.106-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-1.106&CDS=1-732	YGR147C
OG0001319	snap_masked-kipT_s22-processed-gene-1.69-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.69&CDS=1-1296	YKL027W
OG0001320	snap_masked-kipT_s22-processed-gene-1.70-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.70&CDS=1-732	YBR261C
OG0001321	snap_masked-kipT_s22-processed-gene-1.50-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.50&CDS=1-522	YOL146W
OG0001322	snap_masked-kipT_s22-processed-gene-1.71-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.71&CDS=1-3174	YOL145C
OG0001323	snap_masked-kipT_s22-processed-gene-1.51-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.51&CDS=1-1305	YBR143C
OG0001324	snap_masked-kipT_s22-processed-gene-1.73-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.73&CDS=1-2571	YBR142W
OG0001325	snap_masked-kipT_s22-processed-gene-1.52-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.52&CDS=1-945	YBR141C
OG0001326	snap_masked-kipT_s22-processed-gene-1.57-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.57&CDS=1-918	YDR337W
OG0001327	genemark-kipT_s22-processed-gene-1.115-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-1.115&CDS=1-576	YJR112W
OG0001328	snap_masked-kipT_s22-processed-gene-1.58-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.58&CDS=1-876	YBL050W
OG0001329	snap_masked-kipT_s22-processed-gene-1.77-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.77&CDS=1-2754	YBR017C
OG0001330	snap_masked-kipT_s22-processed-gene-2.46-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.46&CDS=1-2061	YAR014C
OG0001331	snap_masked-kipT_s22-processed-gene-2.47-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.47&CDS=1-1002	YBR046C
OG0001332	snap_masked-kipT_s22-processed-gene-2.45-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.45&CDS=1-2895	YGR125W
OG0001333	snap_masked-kipT_s22-processed-gene-2.66-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.66&CDS=1-576	YDL046W
OG0001334	augustus_masked-kipT_s22-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-2.5&CDS=1-1476	YPR007C
OG0001335	snap_masked-kipT_s22-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.68&CDS=1-1200	YPL001W
OG0001336	snap_masked-kipT_s22-processed-gene-2.69-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.69&CDS=1-5475	YBR208C
OG0001337	snap_masked-kipT_s22-processed-gene-2.70-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.70&CDS=1-2142	YHL016C
OG0001338	snap_masked-kipT_s22-processed-gene-2.71-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.71&CDS=1-1854	YLR417W
OG0001339	snap_masked-kipT_s22-processed-gene-2.51-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.51&CDS=1-1026	YKL189W
OG0001340	snap_masked-kipT_s22-processed-gene-2.72-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.72&CDS=1-1113	YJR148W
OG0001341	genemark-kipT_s22-processed-gene-2.123-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-2.123&CDS=1-2376	YHR204W
OG0001342	snap_masked-kipT_s22-processed-gene-2.74-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.74&CDS=1-2301	YNL256W
OG0001343	snap_masked-kipT_s22-processed-gene-2.75-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.75&CDS=1-891	YNL254C
OG0001344	snap_masked-kipT_s22-processed-gene-2.52-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.52&CDS=1-1503	YFR034C
OG0001345	snap_masked-kipT_s22-processed-gene-2.53-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.53&CDS=1-588	YKL144C
OG0001346	snap_masked-kipT_s22-processed-gene-2.78-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.78&CDS=1-1335	YKL145W
OG0001347	snap_masked-kipT_s22-processed-gene-2.80-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.80&CDS=1-747	YDR296W
OG0001348	snap_masked-kipT_s22-processed-gene-2.54-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.54&CDS=1-1788	YHR078W
OG0001349	snap_masked-kipT_s22-processed-gene-2.56-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.56&CDS=1-1962	YBR121C
OG0001350	snap_masked-kipT_s22-processed-gene-2.81-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.81&CDS=1-2049	YCL057W
OG0001351	snap_masked-kipT_s22-processed-gene-2.83-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.83&CDS=1-1437	YPL092W
OG0001352	augustus_masked-kipT_s22-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-2.13&CDS=1-4233	YHR186C
OG0001353	snap_masked-kipT_s22-processed-gene-2.59-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.59&CDS=1-1173	YGR257C
OG0001354	snap_masked-kipT_s22-processed-gene-2.86-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.86&CDS=1-660	YGR235C
OG0001355	augustus_masked-kipT_s22-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-2.15&CDS=1-2421	YKL155C
OG0001356	augustus_masked-kipT_s22-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-2.16&CDS=1-1377	YDR306C
OG0001357	snap_masked-kipT_s22-processed-gene-2.89-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.89&CDS=1-477	YDR308C
OG0001358	snap_masked-kipT_s22-processed-gene-2.64-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.64&CDS=1-660	YDR313C
OG0001359	snap_masked-kipT_s22-processed-gene-2.90-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.90&CDS=1-1410	YHR065C
OG0001360	snap_masked-kipT_s22-processed-gene-3.45-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.45&CDS=1-1146	YLR151C
OG0001361	snap_masked-kipT_s22-processed-gene-3.48-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.48&CDS=1-1044	YKL151C
OG0001362	augustus_masked-kipT_s22-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-3.89&CDS=1-3483	YKL150W
OG0001363	snap_masked-kipT_s22-processed-gene-3.49-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.49&CDS=1-1050	YPR128C
OG0001364	snap_masked-kipT_s22-processed-gene-3.73-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.73&CDS=1-1320	YPR133C
OG0001365	snap_masked-kipT_s22-processed-gene-3.51-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.51&CDS=1-879	YPR129W
OG0001366	snap_masked-kipT_s22-processed-gene-3.54-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.54&CDS=1-639	YOR115C
OG0001367	snap_masked-kipT_s22-processed-gene-3.56-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.56&CDS=1-807	YDL114W
OG0001368	snap_masked-kipT_s22-processed-gene-3.78-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.78&CDS=1-1284	YMR062C
OG0001369	snap_masked-kipT_s22-processed-gene-3.79-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.79&CDS=1-2169	YMR075W
OG0001370	snap_masked-kipT_s22-processed-gene-3.59-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.59&CDS=1-780	YEL021W
OG0001371	snap_masked-kipT_s22-processed-gene-3.81-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.81&CDS=1-1080	YJL053W
OG0001372	snap_masked-kipT_s22-processed-gene-3.62-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.62&CDS=1-858	YGL050W
OG0001373	snap_masked-kipT_s22-processed-gene-3.63-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.63&CDS=1-4071	YDR495C
OG0001374	genemark-kipT_s22-processed-gene-3.40-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-3.40&CDS=1-1167	YNR041C
OG0001375	snap_masked-kipT_s22-processed-gene-3.84-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.84&CDS=1-2232	YDL141W
OG0001376	snap_masked-kipT_s22-processed-gene-4.46-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.46&CDS=1-1398	YFL016C
OG0001377	snap_masked-kipT_s22-processed-gene-4.47-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.47&CDS=1-1569	YBL015W
OG0001378	snap_masked-kipT_s22-processed-gene-4.43-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.43&CDS=1-288	YOR265W
OG0001379	augustus_masked-kipT_s22-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-4.5&CDS=1-861	YOR262W
OG0001380	augustus_masked-kipT_s22-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-4.1&CDS=1-1989	YOR261C
OG0001381	snap_masked-kipT_s22-processed-gene-4.50-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.50&CDS=1-2382	YNL085W
OG0001382	snap_masked-kipT_s22-processed-gene-4.52-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.52&CDS=1-987	YDR315C
OG0001383	snap_masked-kipT_s22-processed-gene-4.74-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.74&CDS=1-2037	YHR042W
OG0001384	snap_masked-kipT_s22-processed-gene-4.53-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.53&CDS=1-2598	YER070W
OG0001385	snap_masked-kipT_s22-processed-gene-4.76-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.76&CDS=1-1170	YJR076C
OG0001386	augustus_masked-kipT_s22-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-4.10&CDS=1-735	YJR144W
OG0001387	snap_masked-kipT_s22-processed-gene-4.58-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.58&CDS=1-558	YGR082W
OG0001388	snap_masked-kipT_s22-processed-gene-4.59-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.59&CDS=1-1071	YJR139C
OG0001389	snap_masked-kipT_s22-processed-gene-4.79-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.79&CDS=1-4569	YJR138W
OG0001390	snap_masked-kipT_s22-processed-gene-4.82-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.82&CDS=1-4365	YAL024C
OG0001391	snap_masked-kipT_s22-processed-gene-4.61-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.61&CDS=1-2817	YPR104C
OG0001392	snap_masked-kipT_s22-processed-gene-4.62-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.62&CDS=1-843	YPR103W
OG0001393	snap_masked-kipT_s22-processed-gene-4.84-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.84&CDS=1-345	YPR094W
OG0001394	genemark-kipT_s22-processed-gene-4.130-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-4.130&CDS=1-975	YGR080W
OG0001395	snap_masked-kipT_s22-processed-gene-4.66-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.66&CDS=1-594	YLR251W
OG0001396	snap_masked-kipT_s22-processed-gene-4.67-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.67&CDS=1-2367	YOR014W
OG0001397	maker-kipT_s22-snap-gene-4.137-mRNA-1_1&gene=maker-kipT_s22-snap-gene-4.137&CDS=1-1563	YML056C
OG0001398	maker-kipT_s22-augustus-gene-4.42-mRNA-1_1&gene=maker-kipT_s22-augustus-gene-4.42&CDS=1-1236	YAL025C
OG0001399	snap_masked-kipT_s22-processed-gene-4.73-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-4.73&CDS=1-645	YLR293C
OG0001400	snap_masked-kipT_s22-processed-gene-5.57-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.57&CDS=1-405	YLR298C
OG0001401	genemark-kipT_s22-processed-gene-5.9-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-5.9&CDS=1-573	YLR281C
OG0001402	snap_masked-kipT_s22-processed-gene-5.56-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.56&CDS=1-2190	YLR274W
OG0001403	snap_masked-kipT_s22-processed-gene-5.58-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.58&CDS=1-573	YGR078C
OG0001404	snap_masked-kipT_s22-processed-gene-5.75-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.75&CDS=1-954	YOL073C
OG0001405	snap_masked-kipT_s22-processed-gene-5.77-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.77&CDS=1-1755	YGR103W
OG0001406	augustus_masked-kipT_s22-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-5.107&CDS=1-3615	YPR140W
OG0001407	snap_masked-kipT_s22-processed-gene-5.79-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.79&CDS=1-1914	YPR141C
OG0001408	snap_masked-kipT_s22-processed-gene-5.64-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.64&CDS=1-780	YPR143W
OG0001409	snap_masked-kipT_s22-processed-gene-5.66-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.66&CDS=1-1161	YOR057W
OG0001410	snap_masked-kipT_s22-processed-gene-5.80-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.80&CDS=1-465	YKL122C
OG0001411	snap_masked-kipT_s22-processed-gene-5.68-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.68&CDS=1-1251	YGR193C
OG0001412	snap_masked-kipT_s22-processed-gene-5.83-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.83&CDS=1-756	YNL110C
OG0001413	snap_masked-kipT_s22-processed-gene-5.84-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.84&CDS=1-618	YOR111W
OG0001414	snap_masked-kipT_s22-processed-gene-5.86-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.86&CDS=1-1434	YNL071W
OG0001415	snap_masked-kipT_s22-processed-gene-5.87-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.87&CDS=1-1311	YNL072W
OG0001416	genemark-kipT_s22-processed-gene-5.39-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-5.39&CDS=1-1047	YIL134W
OG0001417	snap_masked-kipT_s22-processed-gene-5.73-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.73&CDS=1-5400	YER155C
OG0001418	snap_masked-kipT_s22-processed-gene-5.93-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.93&CDS=1-1182	YER154W
OG0001419	snap_masked-kipT_s22-processed-gene-5.94-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.94&CDS=1-3279	YLR383W
OG0001420	snap_masked-kipT_s22-processed-gene-5.96-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-5.96&CDS=1-504	YBR137W
OG0001421	snap_masked-kipT_s22-processed-gene-6.43-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.43&CDS=1-252	YPR170W-B
OG0001422	snap_masked-kipT_s22-processed-gene-6.44-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.44&CDS=1-1011	YJR111C
OG0001423	snap_masked-kipT_s22-processed-gene-6.46-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.46&CDS=1-2073	YJR110W
OG0001424	snap_masked-kipT_s22-processed-gene-6.47-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.47&CDS=1-1593	YPR169W
OG0001425	snap_masked-kipT_s22-processed-gene-6.73-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.73&CDS=1-3456	YAR042W
OG0001426	snap_masked-kipT_s22-processed-gene-6.74-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.74&CDS=1-1056	YHR069C
OG0001427	snap_masked-kipT_s22-processed-gene-6.50-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.50&CDS=1-1362	YHR070W
OG0001428	snap_masked-kipT_s22-processed-gene-6.54-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.54&CDS=1-2547	YHR073W
OG0001429	maker-kipT_s22-augustus-gene-6.139-mRNA-1_1&gene=maker-kipT_s22-augustus-gene-6.139&CDS=1-213	YOR020W-A
OG0001430	snap_masked-kipT_s22-processed-gene-6.79-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.79&CDS=1-1227	YDR473C
OG0001431	augustus_masked-kipT_s22-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-6.12&CDS=1-2790	YDR386W
OG0001432	snap_masked-kipT_s22-processed-gene-6.56-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.56&CDS=1-1989	YML031W
OG0001433	snap_masked-kipT_s22-processed-gene-6.80-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.80&CDS=1-1944	YDR456W
OG0001434	snap_masked-kipT_s22-processed-gene-6.57-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.57&CDS=1-1338	YOR307C
OG0001435	snap_masked-kipT_s22-processed-gene-6.81-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.81&CDS=1-912	YMR241W
OG0001436	snap_masked-kipT_s22-processed-gene-6.82-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.82&CDS=1-660	YDR410C
OG0001437	snap_masked-kipT_s22-processed-gene-6.83-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.83&CDS=1-525	YLR370C
OG0001438	snap_masked-kipT_s22-processed-gene-6.63-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.63&CDS=1-711	YBR096W
OG0001439	snap_masked-kipT_s22-processed-gene-6.64-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.64&CDS=1-264	YOR159C
OG0001440	maker-kipT_s22-snap-gene-6.92-mRNA-1_1&gene=maker-kipT_s22-snap-gene-6.92&CDS=1-2634	YPR066W
OG0001441	genemark-kipT_s22-processed-gene-6.135-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-6.135&CDS=1-1287	YGR110W
OG0001442	snap_masked-kipT_s22-processed-gene-6.69-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.69&CDS=1-1527	YBR288C
OG0001443	maker-kipT_s22-augustus-gene-6.140-mRNA-1_1&gene=maker-kipT_s22-augustus-gene-6.140&CDS=1-3615	YKL134C
OG0001444	snap_masked-kipT_s22-processed-gene-7.54-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.54&CDS=1-597	YKR035W-A
OG0001445	snap_masked-kipT_s22-processed-gene-7.55-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.55&CDS=1-675	YHR008C
OG0001446	snap_masked-kipT_s22-processed-gene-7.57-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.57&CDS=1-1578	YOR132W
OG0001447	snap_masked-kipT_s22-processed-gene-7.58-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.58&CDS=1-1458	YDR470C
OG0001448	snap_masked-kipT_s22-processed-gene-7.59-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.59&CDS=1-2370	YNL161W
OG0001449	snap_masked-kipT_s22-processed-gene-7.60-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.60&CDS=1-1767	YCR061W
OG0001450	snap_masked-kipT_s22-processed-gene-7.61-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.61&CDS=1-2874	YMR125W
OG0001451	snap_masked-kipT_s22-processed-gene-7.62-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.62&CDS=1-963	YFL028C
OG0001452	snap_masked-kipT_s22-processed-gene-7.63-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.63&CDS=1-456	YKL067W
OG0001453	snap_masked-kipT_s22-processed-gene-7.64-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.64&CDS=1-1824	YLR055C
OG0001454	snap_masked-kipT_s22-processed-gene-7.88-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.88&CDS=1-1938	YFL027C
OG0001455	snap_masked-kipT_s22-processed-gene-7.89-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.89&CDS=1-954	YHR104W
OG0001456	snap_masked-kipT_s22-processed-gene-7.90-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.90&CDS=1-465	YIL062C
OG0001457	snap_masked-kipT_s22-processed-gene-7.91-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.91&CDS=1-414	YML108W
OG0001458	snap_masked-kipT_s22-processed-gene-7.92-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.92&CDS=1-1659	YBR196C
OG0001459	snap_masked-kipT_s22-processed-gene-7.94-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.94&CDS=1-1137	YBR234C
OG0001460	maker-kipT_s22-snap-gene-7.158-mRNA-1_1&gene=maker-kipT_s22-snap-gene-7.158&CDS=1-201	YDR086C
OG0001461	snap_masked-kipT_s22-processed-gene-7.74-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.74&CDS=1-903	YDR087C
OG0001462	genemark-kipT_s22-processed-gene-7.126-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-7.126&CDS=1-810	YDR088C
OG0001463	snap_masked-kipT_s22-processed-gene-7.95-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.95&CDS=1-1167	YLR181C
OG0001464	snap_masked-kipT_s22-processed-gene-7.96-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.96&CDS=1-444	YOL071W
OG0001465	snap_masked-kipT_s22-processed-gene-7.75-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.75&CDS=1-573	YDR373W
OG0001466	genemark-kipT_s22-processed-gene-7.128-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-7.128&CDS=1-735	YDL043C
OG0001467	snap_masked-kipT_s22-processed-gene-7.77-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.77&CDS=1-819	YDL045C
OG0001468	augustus_masked-kipT_s22-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-7.43&CDS=1-2214	YOL067C
OG0001469	augustus_masked-kipT_s22-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-7.28&CDS=1-2814	YPL091W
OG0001470	genemark-kipT_s22-processed-gene-7.155-mRNA-1_1&gene=genemark-kipT_s22-processed-gene-7.155&CDS=1-306	YLR147C
OG0001471	snap_masked-kipT_s22-processed-gene-7.84-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.84&CDS=1-1794	YLR253W
OG0001472	snap_masked-kipT_s22-processed-gene-7.101-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.101&CDS=1-567	YLR068W
OG0001473	snap_masked-kipT_s22-processed-gene-7.85-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.85&CDS=1-1467	YEL064C
OG0001474	snap_masked-kipT_s22-processed-gene-7.102-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.102&CDS=1-3660	YNL273W
OG0001475	snap_masked-kipT_s22-processed-gene-8.97-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.97&CDS=1-858	YNL289W
OG0001476	maker-kipT_s22-augustus-gene-8.48-mRNA-1_1&gene=maker-kipT_s22-augustus-gene-8.48&CDS=1-1854	YDL045W-A
OG0001477	augustus_masked-kipT_s22-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-8.78&CDS=1-2337	YDR257C
OG0001478	snap_masked-kipT_s22-processed-gene-8.101-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.101&CDS=1-1839	YOL070C
OG0001479	snap_masked-kipT_s22-processed-gene-8.102-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.102&CDS=1-1584	YKL116C
OG0001480	snap_masked-kipT_s22-processed-gene-8.103-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.103&CDS=1-3300	YLR071C
OG0001481	snap_masked-kipT_s22-processed-gene-8.122-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.122&CDS=1-1761	YJR001W
